,player_name,GW,kickoff_time,total_points,goals_scored,goals_conceded,assists,clean_sheets,penalties_saved,penalties_missed,saves,own_goals,red_cards,yellow_cards,minutes,value,bonus,bps,transfers_in,influence,creativity,threat,ict_index,position_DEF,position_FWD,position_GK,position_MID,team_h_Arsenal,team_h_Manchester City,team_h_Newcastle
0,Aaron Cresswell,1,2019-08-10,0,0,5,0,0,0,0,0,0,0,0,90,50,0,7,0,9.0,1.5,0.0,1.1,1,0,0,0,0,0,0
1,Gary Cahill,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
2,Connor Wickham,1,2019-08-10,1,0,0,0,0,0,0,0,0,0,0,7,45,0,1,0,0.0,0.5,2.0,0.2,0,1,0,0,0,0,0
3,Christian Benteke,1,2019-08-10,2,0,0,0,1,0,0,0,0,0,0,82,60,0,9,0,9.6,15.0,2.0,2.7,0,1,0,0,0,0,0
4,Cheikhou Kouyaté,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
5,Andros Townsend,1,2019-08-10,3,0,0,0,1,0,0,0,0,0,0,90,60,0,14,0,10.0,11.7,0.0,2.2,0,0,0,1,0,0,0
6,Yerry Mina,1,2019-08-10,9,0,0,0,1,0,0,0,0,0,0,90,55,3,32,0,19.6,0.8,0.0,2.0,1,0,0,0,0,0,0
7,Tom Davies,1,2019-08-10,1,0,0,0,0,0,0,0,0,0,0,11,55,0,2,0,3.4,0.1,0.0,0.4,0,0,0,1,0,0,0
8,Theo Walcott,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
9,Seamus Coleman,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,0,90,55,0,20,0,20.6,3.3,19.0,4.3,1,0,0,0,0,0,0
10,Richarlison de Andrade,1,2019-08-10,3,0,0,0,1,0,0,0,0,0,0,90,80,0,7,0,12.2,20.3,32.0,6.5,0,0,0,1,0,0,0
11,Morgan Schneiderlin,1,2019-08-10,0,0,0,0,1,0,0,0,0,1,0,75,45,0,1,0,11.4,13.1,0.0,2.5,0,0,0,1,0,0,0
