player_name,position,team,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,shots,xG,xA,key_passes,npg,npxG,xGChain,xGBuildup
Aaron Cresswell,DEF,West Ham,0,0,7,0,1.5,5,0,1.1,9.0,2019-08-10,90,0,0,0,0,0,23399,5,0,0.0,0,0,0,0,50,True,0,1,Man City,2,West Ham,4,2,1030,1000,1150,1030,1030,1040,0,0.0,0.0,0,0,0.0,0.0,0.0
Callum Robinson,MID,Sheffield Utd,0,0,2,0,0.9,1,0,3.5,4.6,2019-08-10,90,0,0,0,0,0,55367,1,1,29.0,2,0,0,0,55,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,2,0.10455305874347688,0.0,0,0,0.10455305874347688,0.10455305874347688,0.08013443648815155
Billy Sharp,FWD,Sheffield Utd,0,3,26,0,0.5,0,1,6.8,32.4,2019-08-10,8,0,0,0,0,0,46529,1,1,35.0,8,0,0,0,60,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,1,0.7662742137908936,0.0,0,1,0.7662742137908936,0.0,0.0
Roberto Pereyra,MID,Watford,0,0,3,0,3.3,2,0,3.6,2.8,2019-08-10,45,0,0,0,0,0,246209,3,0,30.0,1,0,0,0,60,True,0,1,Brighton,3,Watford,2,3,1120,1120,1150,1020,1140,1030,3,0.16380725800991058,0.0,0,0,0.16380725800991058,0.0,0.0
Troy Deeney,FWD,Watford,0,0,6,0,14.5,3,0,3.1,7.6,2019-08-10,90,0,0,0,0,0,174949,3,0,9.0,2,0,0,0,65,True,0,1,Brighton,3,Watford,2,3,1120,1120,1150,1020,1140,1030,1,0.04187359660863876,0.09416097402572632,1,0,0.04187359660863876,0.15166737139225006,0.1097937673330307
Will Hughes,MID,Watford,0,0,1,0,3.3,3,0,1.3,3.6,2019-08-10,90,0,0,0,0,0,13737,3,0,6.0,2,0,0,0,55,True,0,1,Brighton,3,Watford,2,3,1120,1120,1150,1020,1140,1030,1,0.08003648370504379,0.0,0,0,0.08003648370504379,0.1801425963640213,0.10010611265897752
Çaglar Söyüncü,DEF,Leicester,0,0,29,1,0.5,0,0,2.3,20.4,2019-08-11,90,0,0,0,0,0,18040,0,0,2.0,6,0,0,0,45,True,0,1,Wolves,3,Leicester,4,3,1080,1150,1100,1210,1160,1210,0,0.0,0.0,0,0,0.0,0.05955906584858895,0.05955906584858895
Benjamin Chilwell,DEF,Leicester,0,0,23,1,16.7,0,0,3.1,5.2,2019-08-11,90,0,0,0,0,0,315266,0,0,9.0,6,0,0,0,55,True,0,1,Wolves,3,Leicester,4,3,1080,1150,1100,1210,1160,1210,1,0.022704502567648888,0.11139756441116333,1,0,0.022704502567648888,0.11058127135038376,0.08787676692008972
Dominic Calvert-Lewin,FWD,Everton,0,0,5,1,11.2,0,0,1.9,1.4,2019-08-10,68,0,0,0,0,0,104923,0,0,6.0,2,0,0,0,60,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,1,0.059222582727670676,0.01672908291220665,1,0,0.059222582727670676,0.19999024271965027,0.1407676488161087
Gylfi Sigurdsson,MID,Everton,0,0,3,1,13.1,0,0,5.5,4.8,2019-08-10,78,0,0,0,0,0,791565,0,0,37.0,3,0,0,0,80,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,4,0.5671876072883606,0.06730096787214279,1,0,0.5671876072883606,0.5671876072883606,0.0
Jean-Philippe Gbamin,MID,Everton,0,0,6,0,4.6,0,0,1.1,6.8,2019-08-10,45,0,0,0,0,0,4598,0,0,0.0,1,0,0,0,50,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,0,0.0,0.0,0,0,0.0,0.0,0.0
Jordan Pickford,GK,Everton,0,1,25,1,0.0,0,0,2.1,20.8,2019-08-10,90,0,0,0,0,2,513077,0,0,0.0,7,0,0,0,55,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,0,0.0,0.0,0,0,0.0,0.03903314098715782,0.03903314098715782
Lucas Digne,DEF,Everton,0,0,17,1,16.4,0,0,4.5,6.4,2019-08-10,90,0,0,0,0,0,1405926,0,0,22.0,6,0,0,0,60,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,1,0.03903314098715782,0.1407676488161087,1,0,0.03903314098715782,0.17980079352855682,0.1407676488161087
Michael Keane,DEF,Everton,0,2,26,1,0.5,0,0,2.5,24.8,2019-08-10,90,0,0,0,0,0,159291,0,0,0.0,8,0,0,0,55,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,0,0.0,0.0,0,0,0.0,0.03903314098715782,0.03903314098715782
Moise Kean,FWD,Everton,0,0,4,0,1.2,0,0,0.2,1.0,2019-08-10,21,0,0,0,0,0,401577,0,0,0.0,1,0,0,0,70,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,0,0.0,0.0,0,0,0.0,0.0,0.0
Morgan Schneiderlin,MID,Everton,0,0,1,1,13.1,0,0,2.5,11.4,2019-08-10,75,0,0,0,1,0,74476,0,0,0.0,0,0,0,0,45,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,0,0.0,0.03903314098715782,1,0,0.0,0.06304237991571426,0.02400923706591129
Seamus Coleman,DEF,Everton,0,0,20,1,3.3,0,0,4.3,20.6,2019-08-10,90,0,0,0,0,0,192717,0,0,19.0,6,0,0,0,55,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,1,0.4231973290443421,0.0,0,0,0.4231973290443421,0.44720658659935,0.02400923706591129
Tom Davies,MID,Everton,0,0,2,0,0.1,0,0,0.4,3.4,2019-08-10,11,0,0,0,0,0,7729,0,0,0.0,1,0,0,0,55,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,0,0.0,0.0,0,0,0.0,0.0,0.0
Yerry Mina,DEF,Everton,0,3,32,1,0.8,0,0,2.0,19.6,2019-08-10,90,0,0,0,0,0,39761,0,0,0.0,9,0,0,0,55,False,0,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,0,0.0,0.0,0,0,0.0,0.03903314098715782,0.03903314098715782
Bernard Anício Caldeira Duarte,MID,Everton,0,0,4,1,18.5,0,0,3.5,6.8,2019-08-10,90,0,0,0,0,0,29043,0,0,10.0,2,0,0,0,65,False,1,1,Everton,3,Crystal Palace,2,3,1210,1100,1180,1170,1240,1100,0,0.0,0.059222582727670676,1,0,0.0,0.2390233725309372,0.17980079352855682
Chris Basham,DEF,Sheffield Utd,0,0,9,0,1.5,1,0,1.3,9.6,2019-08-10,81,0,0,0,0,0,8809,1,1,2.0,2,0,0,0,45,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,0,0.0,0.0,0,0,0.0,0.3824998438358307,0.3824998438358307
David McGoldrick,FWD,Sheffield Utd,0,0,0,0,5.3,1,0,1.5,2.0,2019-08-10,62,0,0,0,0,0,12742,1,1,8.0,2,0,0,0,55,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,2,0.5640422105789185,0.0,0,0,0.5640422105789185,0.6441766619682312,0.08013443648815155
Dean Henderson,GK,Sheffield Utd,0,0,12,0,0.0,1,0,1.4,13.6,2019-08-10,90,0,0,0,0,2,80682,1,1,0.0,2,0,0,0,45,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,0,0.0,0.0,0,0,0.0,0.0,0.0
Enda Stevens,DEF,Sheffield Utd,0,0,11,0,3.1,1,0,1.5,10.2,2019-08-10,90,0,0,0,0,0,21696,1,1,2.0,2,0,0,0,50,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,0,0.0,0.0,0,0,0.0,0.10455305874347688,0.10455305874347688
Allan Saint-Maximin,MID,Newcastle,0,0,2,0,1.2,0,0,1.8,4.2,2019-08-11,23,0,0,0,0,0,34113,1,0,13.0,1,0,0,0,55,True,0,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,1,0.025801951065659526,0.0,0,0,0.025801951065659526,0.06253622472286224,0.03673427179455757
Fabian Schär,DEF,Newcastle,0,0,12,0,1.7,1,0,3.0,23.4,2019-08-11,90,0,0,0,0,0,99525,1,0,5.0,2,0,0,0,50,True,0,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,1,0.012174292467534542,0.0,0,0,0.012174292467534542,0.050305962562561035,0.03813167288899422
Isaac Hayden,MID,Newcastle,0,0,20,0,12.0,1,0,3.3,21.4,2019-08-11,90,0,0,0,0,0,432483,1,0,0.0,2,0,0,0,45,True,0,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,0,0.0,0.14369338750839233,1,0,0.0,0.15586768090724945,0.012174292467534542
Jamaal Lascelles,DEF,Newcastle,0,0,13,0,0.4,1,0,2.0,19.6,2019-08-11,90,0,0,0,0,0,458877,1,0,0.0,2,0,0,0,45,True,0,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,0,0.0,0.0,0,0,0.0,0.024559978395700455,0.024559978395700455
Javier Manquillo,DEF,Newcastle,0,0,10,0,11.1,1,0,2.2,8.4,2019-08-11,90,0,0,0,0,0,9344,1,0,2.0,2,0,0,0,45,True,0,1,Arsenal,2,Newcastle,3,3,1040,1030,990,980,1100,1090,0,0.0,0.013571692630648613,1,0,0.0,0.02574598416686058,0.012174292467534542
