player_name,position_x,team,assists_x,bonus,bps,clean_sheets,creativity,FPL_ID,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Aaron Cresswell,DEF,West Ham,0,0,7,0,1.5,376,8,5,0,1.1,9.0,2019-08-10,90,Manchester City,0,0,0,0,1,0,23399,5,0,0.0,0,0,0,0,50,True,0,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DL,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341184,0.0,0,0,0,0.0,0.0,0.0
Declan Rice,MID,West Ham,0,0,15,0,1.8,395,8,5,0,1.8,16.0,2019-08-10,90,Manchester City,0,0,0,0,1,0,157759,5,0,0.0,2,0,0,0,50,True,0,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DMC,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341185,0.0,0,0,0,0.0,0.0,0.0
Fabián Balbuena,DEF,West Ham,0,0,6,0,0.4,382,8,5,0,0.6,5.6,2019-08-10,90,Manchester City,0,0,0,0,1,0,27470,5,0,0.0,-1,0,0,0,45,True,1,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DC,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341183,0.0,0,0,0,0.0,0.0,0.0
Issa Diop,DEF,West Ham,0,0,3,0,0.3,381,8,5,0,1.2,5.0,2019-08-10,90,Manchester City,0,0,0,0,1,0,231395,5,0,7.0,0,0,0,0,45,True,0,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.4703182280063629,90,DC,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341182,0.0,0,0,0,0.4703182280063629,0.0,0.0
Jack Wilshere,MID,West Ham,0,0,3,0,2.1,394,8,2,0,0.5,2.6,2019-08-10,55,Manchester City,0,0,0,0,1,0,32147,5,0,0.0,1,0,0,0,50,True,0,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,57,DMC,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341186,0.0,0,0,0,0.0,0.0,0.0
Lukasz Fabianski,GK,West Ham,0,0,18,0,0.0,388,8,5,0,2.8,28.4,2019-08-10,90,Manchester City,0,0,0,0,1,4,286631,5,0,0.0,1,0,0,0,50,True,0,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,GK,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341180,0.0,0,0,0,0.0,0.0,0.0
Manuel Lanzini,MID,West Ham,0,0,16,0,6.8,391,8,5,0,4.2,10.4,2019-08-10,90,Manchester City,0,0,0,0,1,0,58508,5,0,25.0,2,0,0,0,65,True,0,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.07047868520021439,90,AMC,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341188,0.0,0,0,0,0.07047868520021439,0.07047868520021439,0.0
Michail Antonio,MID,West Ham,0,0,2,0,12.3,389,8,1,0,1.6,3.8,2019-08-10,45,Manchester City,0,0,0,0,1,0,96528,5,0,0.0,1,0,0,0,70,True,0,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,47,AML,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341189,0.07705286890268326,0,1,0,0.0,0.07705286890268326,0.0
Pablo Fornals,MID,West Ham,0,0,3,0,1.4,399,8,4,0,0.8,6.6,2019-08-10,45,Manchester City,0,0,0,0,1,0,56910,5,0,0.0,1,0,0,0,65,True,0,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,43,Sub,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341192,0.0,0,0,0,0.0,0.0,0.0
Robert Snodgrass,MID,West Ham,0,0,7,0,15.8,393,8,3,0,1.8,2.2,2019-08-10,34,Manchester City,0,0,0,0,1,0,17010,5,0,0.0,1,0,0,0,55,True,0,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,33,Sub,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341193,0.4703182280063629,0,1,0,0.0,0.0,0.0
Ryan Fredericks,DEF,West Ham,0,0,11,0,1.8,380,8,5,0,1.3,11.4,2019-08-10,90,Manchester City,0,0,0,0,1,0,19613,5,0,0.0,0,0,0,0,45,True,0,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DR,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341181,0.0,0,0,0,0.0,0.07705286890268326,0.07705286890268326
Sébastien Haller,FWD,West Ham,0,0,15,0,7.8,457,8,5,0,4.0,15.0,2019-08-10,90,Manchester City,0,0,0,0,1,0,244666,5,0,17.0,2,0,0,0,75,True,0,1,Manchester City,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.07705286890268326,90,FW,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341190,0.0,0,0,0,0.07705286890268326,0.07705286890268326,0.0
Andriy Yarmolenko,MID,West Ham,0,0,2,0,1.3,392,13,0,0,0.2,0.4,2019-08-17,13,Brighton,0,0,0,0,2,0,10857,1,1,0.0,1,-2195,378,2573,60,False,0,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,12,Sub,Brighton,West Ham,1,1,2019-08-17,11655,2019,341865,0.0,0,0,0,0.0,0.1443605124950409,0.1443605124950409
Angelo Ogbonna,DEF,West Ham,0,0,17,0,0.5,377,13,1,0,3.2,31.2,2019-08-17,90,Brighton,0,0,0,0,2,0,19822,1,1,0.0,2,-2064,506,2570,45,False,0,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DC,Brighton,West Ham,1,1,2019-08-17,11655,2019,341856,0.0,0,0,0,0.0,0.0,0.0
Arthur Masuaku,DEF,West Ham,0,0,15,0,2.8,378,13,1,0,2.0,16.8,2019-08-17,90,Brighton,0,0,0,0,2,0,23018,1,1,0.0,1,-2816,498,3314,45,False,1,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DL,Brighton,West Ham,1,1,2019-08-17,11655,2019,341857,0.0,0,0,0,0.0,0.3768109083175659,0.3768109083175659
Carlos Sánchez,MID,West Ham,0,0,3,0,0.1,397,13,0,0,0.0,0.0,2019-08-17,7,Brighton,0,0,0,0,2,0,27218,1,1,0.0,1,786,4219,3433,45,False,0,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,6,Sub,Brighton,West Ham,1,1,2019-08-17,11655,2019,341864,0.0,0,0,0,0.0,0.0,0.0
Declan Rice,MID,West Ham,0,0,9,0,11.9,395,13,1,0,2.1,8.2,2019-08-17,90,Brighton,0,0,0,0,2,0,166213,1,1,1.0,1,-4577,9259,13836,50,False,1,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.02935667149722576,90,DMC,Brighton,West Ham,1,1,2019-08-17,11655,2019,341858,0.021438853815197945,0,1,0,0.02935667149722576,0.10844215750694276,0.057646632194519036
Issa Diop,DEF,West Ham,0,0,14,0,11.2,381,13,1,0,3.6,20.8,2019-08-17,90,Brighton,0,0,0,0,2,0,227989,1,1,4.0,2,-13527,5493,19020,45,False,0,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DC,Brighton,West Ham,1,1,2019-08-17,11655,2019,341855,0.4077252149581909,0,1,0,0.0,0.0,0.0
Jack Wilshere,MID,West Ham,0,0,1,0,1.8,394,13,0,0,0.1,0.0,2019-08-17,45,Brighton,0,0,0,0,2,0,33564,1,1,0.0,1,-2772,2521,5293,50,False,0,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,47,MC,Brighton,West Ham,1,1,2019-08-17,11655,2019,341861,0.0,0,0,0,0.0,0.0,0.0
Lukasz Fabianski,GK,West Ham,0,0,17,0,0.0,388,13,1,0,2.3,23.2,2019-08-17,90,Brighton,0,0,0,0,2,3,308584,1,1,0.0,3,-1644,19977,21621,50,False,0,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,GK,Brighton,West Ham,1,1,2019-08-17,11655,2019,341853,0.0,0,0,0,0.0,0.0,0.0
Manuel Lanzini,MID,West Ham,1,3,34,0,48.8,391,13,1,0,8.6,34.0,2019-08-17,90,Brighton,0,0,0,0,2,0,77441,1,1,3.0,8,7085,15863,8778,65,False,0,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.021438853815197945,90,MC,Brighton,West Ham,1,1,2019-08-17,11655,2019,341860,0.5314106345176697,1,4,0,0.021438853815197945,0.5714820623397827,0.01863253116607666
Michail Antonio,MID,West Ham,0,0,0,0,1.2,389,13,1,0,6.6,6.4,2019-08-17,45,Brighton,0,0,0,0,2,0,93959,1,1,58.0,1,-8385,3108,11493,70,False,0,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,3,0.4840043783187866,43,Sub,Brighton,West Ham,1,1,2019-08-17,11655,2019,341866,0.0,0,0,0,0.4840043783187866,0.2206396758556366,0.1443605124950409
Pablo Fornals,MID,West Ham,0,0,4,0,2.8,399,13,1,0,1.0,4.6,2019-08-17,76,Brighton,0,0,0,0,2,0,53941,1,1,3.0,2,-5993,1751,7744,65,False,0,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.028871769085526463,78,ML,Brighton,West Ham,1,1,2019-08-17,11655,2019,341862,0.0,0,0,0,0.028871769085526463,0.028871769085526463,0.0
Robert Snodgrass,MID,West Ham,0,0,7,0,5.5,393,13,1,0,4.1,14.2,2019-08-17,90,Brighton,0,0,0,0,2,0,17451,1,1,21.0,2,-1263,690,1953,55,False,0,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.1443605124950409,90,MR,Brighton,West Ham,1,1,2019-08-17,11655,2019,341859,0.0,0,0,0,0.1443605124950409,0.2420785278081894,0.0977180153131485
Ryan Fredericks,DEF,West Ham,0,0,9,0,11.6,380,13,1,0,2.5,11.8,2019-08-17,90,Brighton,0,0,0,0,2,0,21244,1,1,2.0,2,-333,1547,1880,45,False,0,2,West Ham,2,Brighton,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DR,Brighton,West Ham,1,1,2019-08-17,11655,2019,341854,0.01863253116607666,0,1,0,0.0,0.01863253116607666,0.0
Andriy Yarmolenko,MID,West Ham,0,0,9,0,22.8,392,29,1,0,4.8,12.2,2019-08-24,54,Watford,0,0,0,0,3,0,9526,3,1,13.0,1,-1715,288,2003,59,False,0,3,West Ham,3,Watford,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.03803198784589768,59,AMR,Watford,West Ham,1,3,2019-08-24,11667,2019,344085,0.21939408779144287,0,2,0,0.03803198784589768,0.41281819343566895,0.155392125248909
Angelo Ogbonna,DEF,West Ham,0,0,8,0,0.0,377,29,1,0,4.4,23.4,2019-08-24,90,Watford,0,0,0,0,3,0,20311,3,1,21.0,1,-593,1053,1646,45,False,1,3,West Ham,3,Watford,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.013840259052813051,90,DC,Watford,West Ham,1,3,2019-08-24,11667,2019,344081,0.0,0,0,0,0.013840259052813051,0.32947295904159546,0.32947295904159546
Arthur Masuaku,DEF,West Ham,0,0,20,0,15.7,378,29,1,0,4.5,28.4,2019-08-24,90,Watford,0,0,0,0,3,0,22505,3,1,1.0,2,-1380,762,2142,45,False,0,3,West Ham,3,Watford,2,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.018212784081697464,90,DL,Watford,West Ham,1,3,2019-08-24,11667,2019,344082,0.09994586557149887,0,1,0,0.018212784081697464,1.088168382644653,0.9700096845626832
