player_name,position_x,team,assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Aaron Cresswell,DEF,West Ham,0,0,11,0,4.3,376,180,2,0,1.7,12.6,2020-01-29,90,Liverpool,0,0,0,0,24,0,121950,2,0,0.0,1,13909,20400,6491,47,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DC,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386556,0.0,0,0,0,0.0,0.07893389463424683,0.07893389463424683
Angelo Ogbonna,DEF,West Ham,0,0,6,0,0.0,377,180,2,0,2.4,16.8,2020-01-29,90,Liverpool,0,0,0,0,24,0,135455,2,0,7.0,1,13870,21912,8042,45,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.5642509460449219,90,DC,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386555,0.0,0,0,0,0.5642509460449219,0.06391076743602753,0.06391076743602753
Arthur Masuaku,DEF,West Ham,0,0,8,0,4.1,378,180,2,0,3.1,21.0,2020-01-29,90,Liverpool,0,0,0,0,24,0,35475,2,0,6.0,1,272,1388,1116,42,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DL,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386557,0.0,0,0,0,0.0,0.07893389463424683,0.07893389463424683
Declan Rice,MID,West Ham,0,0,15,0,20.1,395,180,2,0,8.2,25.6,2020-01-29,90,Liverpool,0,0,0,0,24,0,124193,2,0,36.0,2,8849,12873,4024,47,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,2,0.09164682030677797,90,MC,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386560,0.06391076743602753,0,1,0,0.09164682030677797,0.15352731943130493,0.015023124404251575
Issa Diop,DEF,West Ham,0,0,3,0,0.1,381,180,2,0,1.0,9.6,2020-01-29,90,Liverpool,0,0,0,0,24,0,160082,2,0,0.0,0,4480,7279,2799,44,True,1,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,DC,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386554,0.0,0,0,0,0.0,0.0,0.0
Manuel Lanzini,MID,West Ham,0,0,11,0,18.8,391,180,2,0,4.5,9.6,2020-01-29,68,Liverpool,0,0,0,0,24,0,64365,2,0,17.0,2,7352,8420,1068,62,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.06391076743602753,71,ML,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386561,0.07500775903463364,0,1,0,0.06391076743602753,0.15394164621829987,0.07893389463424683
Mark Noble,MID,West Ham,0,0,9,0,2.2,396,180,2,0,0.7,4.0,2020-01-29,90,Liverpool,0,0,0,0,24,0,182393,2,0,1.0,1,77604,84695,7091,50,True,1,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.015023124404251575,90,MC,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386559,0.0,0,0,0,0.015023124404251575,0.07893389463424683,0.06391076743602753
Pablo Fornals,MID,West Ham,0,0,1,0,0.0,399,180,0,0,0.2,0.0,2020-01-29,21,Liverpool,0,0,0,0,24,0,35723,2,0,4.0,1,1306,3684,2378,60,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.06850168853998184,19,Sub,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386563,0.0,0,0,0,0.06850168853998184,0.0,0.0
Robert Snodgrass,MID,West Ham,0,0,13,0,29.1,393,180,2,0,4.7,8.4,2020-01-29,90,Liverpool,0,0,0,0,24,0,111699,2,0,9.0,2,58614,62233,3619,52,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,1,0.07500775903463364,90,MR,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386558,0.5813043117523193,0,2,0,0.07500775903463364,0.13891853392124176,0.06391076743602753
Sébastien Haller,FWD,West Ham,0,0,8,0,13.9,457,180,2,0,3.1,14.6,2020-01-29,90,Liverpool,0,0,0,0,24,0,265068,2,0,2.0,2,53847,61865,8018,70,True,0,24,Liverpool,2,West Ham,4,19,West Ham,WHU,2,1030,1000,1150,1030,1030,1040,0,0,0.0,90,FW,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386562,0.015023124404251575,0,1,0,0.0,0.07893389463424683,0.06391076743602753
