,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
17,1,5,0.6025591492652893,90,FW,Burnley,Brighton,1,2,2020-07-26,12022,2019,411254,0,0,0,1,0.6025591492652893,0.6247029900550842,0.022143850103020668,Aaron Connolly
18,0,0,0,61,FW,Brighton,Manchester City,0,5,2020-07-11,11985,2019,407600,0,0,0,0,0,0,0,Aaron Connolly
19,0,1,0.029430026188492775,15,Sub,Brighton,Liverpool,1,3,2020-07-08,11976,2019,406790,0,0,0,0,0.029430026188492775,0.029430026188492775,0,Aaron Connolly
20,0,2,0.09928122162818909,74,FW,Norwich,Brighton,0,1,2020-07-04,11969,2019,405084,0,0,0,0,0.09928122162818909,0.15377025306224823,0.08589117974042892,Aaron Connolly
21,0,1,0.05339200794696808,89,FW,Brighton,Manchester United,0,3,2020-06-30,11956,2019,404139,0,0,0,0,0.05339200794696808,0.05339200794696808,0,Aaron Connolly
22,0,2,0.17354382574558258,88,FW,Leicester,Brighton,0,0,2020-06-23,11945,2019,402052,0.02290208637714386,0,1,0,0.17354382574558258,0.1298188418149948,0,Aaron Connolly
23,0,0,0,14,Sub,Brighton,Arsenal,2,1,2020-06-20,11941,2019,401281,0.31506991386413574,1,1,0,0,0.31506991386413574,0,Aaron Connolly
24,0,0,0,13,Sub,Sheffield United,Brighton,1,1,2020-02-22,11909,2019,387179,0,0,0,0,0,0,0,Aaron Connolly
25,0,0,0,29,Sub,Bournemouth,Brighton,3,1,2020-01-21,11878,2019,386361,0,0,0,0,0,0,0,Aaron Connolly
26,0,1,0.045556169003248215,70,FW,Brighton,Aston Villa,1,1,2020-01-18,11867,2019,386180,0.05611381679773331,0,1,0,0.045556169003248215,0.10166998207569122,0.05611381679773331,Aaron Connolly
27,0,2,0.6146067976951599,41,Sub,Brighton,Chelsea,1,1,2020-01-01,11845,2019,385479,0,0,0,0,0.6146067976951599,0.05386913940310478,0,Aaron Connolly
28,0,1,0.3171525299549103,70,FW,Tottenham,Brighton,2,1,2019-12-26,11831,2019,372418,0,0,0,0,0.3171525299549103,0.3171525299549103,0,Aaron Connolly
29,0,2,0.07271312177181244,43,Sub,Brighton,Sheffield United,0,1,2019-12-21,11815,2019,371465,0,0,0,0,0.07271312177181244,0.13381443917751312,0.06110130995512009,Aaron Connolly
30,0,2,0.11431463807821274,77,FW,Arsenal,Brighton,1,2,2019-12-05,11783,2019,367854,0,0,0,0,0.11431463807821274,0.11431463807821274,0,Aaron Connolly
31,0,1,0.03172766789793968,77,FW,Liverpool,Brighton,2,1,2019-11-30,11776,2019,366229,0,0,0,0,0.03172766789793968,0.03172766789793968,0,Aaron Connolly
32,0,1,0.3686865270137787,50,FW,Manchester United,Brighton,3,1,2019-11-10,11761,2019,363817,0,0,0,0,0.3686865270137787,0,0,Aaron Connolly
33,0,4,0.17469052970409393,90,FW,Brighton,Norwich,2,0,2019-11-02,11746,2019,361506,0,0,0,0,0.17469052970409393,0.18478646874427795,0.024175558239221573,Aaron Connolly
34,0,0,0,84,FW,Brighton,Everton,3,2,2019-10-26,11734,2019,359456,0,0,0,0,0,0.06130719557404518,0.06130719557404518,Aaron Connolly
35,0,2,0.22217799723148346,49,FW,Aston Villa,Brighton,2,1,2019-10-19,11723,2019,357776,0.0630425363779068,0,1,0,0.22217799723148346,0.28522053360939026,0,Aaron Connolly
36,2,6,1.201069712638855,87,FW,Brighton,Tottenham,3,0,2019-10-05,11713,2019,355978,0.10488880425691605,0,2,2,1.201069712638855,1.3341118097305298,0.04346650093793869,Aaron Connolly
37,0,0,0,24,Sub,Chelsea,Brighton,2,0,2019-09-28,11708,2019,354636,0,0,0,0,0,0,0,Aaron Connolly
38,0,1,0.29560187458992004,19,Sub,Newcastle United,Brighton,0,0,2019-09-21,11699,2019,352463,0,0,0,0,0.29560187458992004,0.29560187458992004,0,Aaron Connolly
39,0,2,0.13702180981636047,5,Sub,Brighton,Burnley,1,1,2019-09-14,11685,2019,348994,0,0,0,0,0.13702180981636047,0.13702180981636047,0,Aaron Connolly
40,0,0,0,20,Sub,Manchester City,Brighton,4,0,2019-08-31,11678,2019,347537,0,0,0,0,0,0,0,Aaron Connolly
