,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
30,0,0,0,2,Sub,Liverpool,Bournemouth,2,1,2020-03-07,11928,2019,387629,0,0,0,0,0,0.5706191658973694,0.5706191658973694,Adam Lallana
31,0,2,0.04945412650704384,24,Sub,Watford,Liverpool,3,0,2020-02-29,11921,2019,387560,0,0,0,0,0.04945412650704384,0.05844953656196594,0.008995410054922104,Adam Lallana
32,0,0,0,1,Sub,Liverpool,Southampton,4,0,2020-02-01,11887,2019,386754,0,0,0,0,0,0,0,Adam Lallana
33,0,0,0,22,Sub,Liverpool,Manchester United,2,0,2020-01-19,11865,2019,386264,0,0,0,0,0,0.09319847077131271,0.09319847077131271,Adam Lallana
34,0,0,0,26,Sub,Tottenham,Liverpool,0,1,2020-01-11,11854,2019,385953,0,0,0,0,0,0.050615761429071426,0.050615761429071426,Adam Lallana
35,0,0,0,1,Sub,Liverpool,Sheffield United,2,0,2020-01-02,11847,2019,385724,0,0,0,0,0,0,0,Adam Lallana
36,0,0,0,72,AMR,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29,11836,2019,372898,0.5348300933837891,1,1,0,0,1.168797492980957,0.633967399597168,Adam Lallana
37,0,0,0,7,Sub,Leicester,Liverpool,0,4,2019-12-26,11828,2019,372642,0,0,0,0,0,0,0,Adam Lallana
38,0,0,0,75,AMC,Liverpool,Everton,5,2,2019-12-04,11792,2019,367782,0,0,0,0,0,0.7656450867652893,0.7656450867652893,Adam Lallana
39,0,0,0,20,Sub,Liverpool,Brighton,2,1,2019-11-30,11776,2019,366219,0,0,0,0,0,0,0,Adam Lallana
40,0,2,0.15963099896907806,88,MC,Aston Villa,Liverpool,1,2,2019-11-02,11744,2019,361601,0.11884146183729172,0,3,0,0.15963099896907806,0.3861628472805023,0.16309016942977905,Adam Lallana
41,1,1,0.5995998978614807,18,Sub,Manchester United,Liverpool,1,1,2019-10-20,11729,2019,358695,0,0,0,1,0.5995998978614807,0.6270186901092529,0.027418799698352814,Adam Lallana
42,0,0,0,1,Sub,Liverpool,Leicester,2,1,2019-10-05,11715,2019,356204,0,0,0,0,0,0,0,Adam Lallana
43,0,0,0,3,Sub,Chelsea,Liverpool,1,2,2019-09-22,11701,2019,353134,0,0,0,0,0,0,0,Adam Lallana
44,0,0,0,2,Sub,Liverpool,Arsenal,3,1,2019-08-24,11670,2019,344244,0,0,0,0,0,0,0,Adam Lallana
