goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,90,DC,Burnley,Brighton,1,2,2020-07-26,12022,2019,411245,0,0,0,0,0,0.05974553897976875,0.05974553897976875,Adam Webster
0,2,0.038428764790296555,90,DC,Brighton,Newcastle United,0,0,2020-07-20,12005,2019,410335,0,0,0,0,0.038428764790296555,0.09867414087057114,0.09867414087057114,Adam Webster
0,0,0,90,DC,Southampton,Brighton,1,1,2020-07-16,12002,2019,409468,0,0,0,0,0,0,0,Adam Webster
0,0,0,90,DC,Brighton,Manchester City,0,5,2020-07-11,11985,2019,407592,0,0,0,0,0,0,0,Adam Webster
0,0,0,90,DC,Brighton,Liverpool,1,3,2020-07-08,11976,2019,406779,0,0,0,0,0,0.6273747682571411,0.6273747682571411,Adam Webster
0,0,0,90,DC,Norwich,Brighton,0,1,2020-07-04,11969,2019,405076,0,0,0,0,0,0.10337458550930023,0.10337458550930023,Adam Webster
0,0,0,23,DC,Leicester,Brighton,0,0,2020-06-23,11945,2019,402044,0,0,0,0,0,0,0,Adam Webster
0,0,0,90,DC,Brighton,Arsenal,2,1,2020-06-20,11941,2019,401268,0,0,0,0,0,0.03161260485649109,0.03161260485649109,Adam Webster
0,0,0,90,DC,Wolverhampton Wanderers,Brighton,0,0,2020-03-07,11931,2019,387740,0,0,0,0,0,0,0,Adam Webster
0,0,0,90,DC,Brighton,Crystal Palace,0,1,2020-02-29,11915,2019,387430,0.08208701759576797,0,2,0,0,0.4938313663005829,0.4938313663005829,Adam Webster
0,0,0,90,DC,Sheffield United,Brighton,1,1,2020-02-22,11909,2019,387170,0.5917508602142334,1,1,0,0,0,0,Adam Webster
0,0,0,90,DC,West Ham,Brighton,3,3,2020-02-01,11892,2019,386649,0,0,0,0,0,1.1050828695297241,1.1050828695297241,Adam Webster
0,0,0,90,DC,Bournemouth,Brighton,3,1,2020-01-21,11878,2019,386351,0,0,0,0,0,0.1853596419095993,0.1853596419095993,Adam Webster
0,1,0.5729885697364807,90,DC,Brighton,Aston Villa,1,1,2020-01-18,11867,2019,386172,0.045556169003248215,0,1,0,0.5729885697364807,0.3705732822418213,0.3705732822418213,Adam Webster
0,0,0,90,DC,Everton,Brighton,1,0,2020-01-11,11860,2019,385892,0,0,0,0,0,0.14816725254058838,0.14816725254058838,Adam Webster
0,2,0.07165055721998215,90,DC,Brighton,Chelsea,1,1,2020-01-01,11845,2019,385468,0,0,0,0,0.07165055721998215,0,0,Adam Webster
1,1,0.4537723660469055,90,DC,Tottenham,Brighton,2,1,2019-12-26,11831,2019,372410,0,0,0,1,0.4537723660469055,0.363811194896698,0.363811194896698,Adam Webster
0,1,0.03275527432560921,90,DC,Brighton,Sheffield United,0,1,2019-12-21,11815,2019,371454,0,0,0,0,0.03275527432560921,0.17301470041275024,0.17301470041275024,Adam Webster
0,0,0,90,DC,Crystal Palace,Brighton,1,1,2019-12-16,11806,2019,370779,0,0,0,0,0,0.6148948073387146,0.6148948073387146,Adam Webster
0,0,0,90,DC,Brighton,Wolverhampton Wanderers,2,2,2019-12-08,11795,2019,369216,0,0,0,0,0,0.158364400267601,0.158364400267601,Adam Webster
1,4,0.22502920031547546,90,DC,Arsenal,Brighton,1,2,2019-12-05,11783,2019,367846,0.022557957097887993,0,1,1,0.22502920031547546,0.031266871839761734,0.031266871839761734,Adam Webster
0,1,0.010592395439743996,90,DC,Liverpool,Brighton,2,1,2019-11-30,11776,2019,366222,0,0,0,0,0.010592395439743996,0.41940295696258545,0.408810555934906,Adam Webster
0,0,0,90,DC,Brighton,Leicester,0,2,2019-11-23,11766,2019,364739,0.046261388808488846,0,1,0,0,0.06681783497333527,0.02055644616484642,Adam Webster
0,0,0,35,DC,Brighton,Norwich,2,0,2019-11-02,11746,2019,361498,0,0,0,0,0,0,0,Adam Webster
0,0,0,90,DC,Brighton,Everton,3,2,2019-10-26,11734,2019,359448,0,0,0,0,0,0.037775442004203796,0.037775442004203796,Adam Webster
1,3,0.13536232709884644,90,DC,Aston Villa,Brighton,2,1,2019-10-19,11723,2019,357768,0,0,0,1,0.13536232709884644,0.2543194890022278,0.2204010784626007,Adam Webster
0,0,0,90,DC,Brighton,Tottenham,3,0,2019-10-05,11713,2019,355970,0.13569806516170502,0,1,0,0,0.13569806516170502,0,Adam Webster
0,1,0.037213440984487534,90,DC,Chelsea,Brighton,2,0,2019-09-28,11708,2019,354624,0.011688685975968838,0,1,0,0.037213440984487534,0.13067753612995148,0.11898884922266006,Adam Webster
0,0,0,90,DC,Newcastle United,Brighton,0,0,2019-09-21,11699,2019,352451,0.1587766706943512,0,2,0,0,0.49218523502349854,0.49218523502349854,Adam Webster
0,0,0,90,DC,Brighton,Burnley,1,1,2019-09-14,11685,2019,348984,0,0,0,0,0,0.13130837678909302,0.13130837678909302,Adam Webster
0,0,0,90,DC,Manchester City,Brighton,4,0,2019-08-31,11678,2019,347525,0,0,0,0,0,0.15742921829223633,0.15742921829223633,Adam Webster
