goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,51,ML,Bournemouth,Leicester,4,1,2020-07-12,11984,2019,408205,0,0,0,0,0,0,0,Arnaut Danjuma Groeneveld
0,1,0.2910011112689972,41,Sub,Manchester United,Bournemouth,5,2,2020-07-04,11967,2019,405150,0,0,0,0,0.2910011112689972,0.2910011112689972,0,Arnaut Danjuma Groeneveld
0,1,0.131700336933136,64,ML,Bournemouth,Newcastle United,1,4,2020-07-01,11955,2019,404381,0.047445204108953476,0,1,0,0.131700336933136,0.06730600446462631,0.019860798493027687,Arnaut Danjuma Groeneveld
0,1,0.01710149087011814,20,Sub,Wolverhampton Wanderers,Bournemouth,1,0,2020-06-24,11947,2019,402390,0,0,0,0,0.01710149087011814,0,0,Arnaut Danjuma Groeneveld
0,0,0,42,Sub,Bournemouth,Crystal Palace,0,2,2020-06-20,11942,2019,401459,0.02995988354086876,0,2,0,0,0.04207964241504669,0.025919655337929726,Arnaut Danjuma Groeneveld
0,2,0.11013498902320862,90,MR,Bournemouth,Liverpool,0,3,2019-12-07,11794,2019,368333,0,0,0,0,0.11013498902320862,0.11013498902320862,0,Arnaut Danjuma Groeneveld
0,0,0,66,ML,Crystal Palace,Bournemouth,1,0,2019-12-03,11791,2019,367436,0,0,0,0,0,0.0804503783583641,0.0804503783583641,Arnaut Danjuma Groeneveld
0,2,0.04921723157167435,90,MR,Tottenham,Bournemouth,3,2,2019-11-30,11779,2019,366253,0,0,0,0,0.04921723157167435,0.06692113727331161,0.017703905701637268,Arnaut Danjuma Groeneveld
0,1,0.03786258399486542,42,Sub,Bournemouth,Wolverhampton Wanderers,1,2,2019-11-23,11765,2019,364668,0.06127586588263512,0,1,0,0.03786258399486542,0,0,Arnaut Danjuma Groeneveld
0,0,0,7,Sub,Newcastle United,Bournemouth,2,1,2019-11-09,11756,2019,363214,0,0,0,0,0,0.02855185605585575,0.02855185605585575,Arnaut Danjuma Groeneveld
0,1,0.31053686141967773,64,ML,Watford,Bournemouth,0,0,2019-10-26,11741,2019,359441,0.025229275226593018,0,1,0,0.31053686141967773,0.33576613664627075,0,Arnaut Danjuma Groeneveld
0,3,0.07580658793449402,20,Sub,Bournemouth,Norwich,0,0,2019-10-19,11724,2019,357929,0,0,0,0,0.07580658793449402,0.06057972460985184,0,Arnaut Danjuma Groeneveld
0,1,0.025146106258034706,9,Sub,Arsenal,Bournemouth,1,0,2019-10-06,11722,2019,356940,0,0,0,0,0.025146106258034706,0.025146106258034706,0,Arnaut Danjuma Groeneveld
0,0,0,8,Sub,Bournemouth,West Ham,2,2,2019-09-28,11707,2019,354592,0,0,0,0,0,0.09659646451473236,0.09659646451473236,Arnaut Danjuma Groeneveld
