goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
1,2,0.8308188915252686,89,AMC,Leicester,Manchester United,0,2,2020-07-26,12018,2019,411495,0.08508481085300446,0,1,0,0.06968685239553452,0.15477167069911957,0,Bruno Fernandes
0,1,0.023705139756202698,90,AMC,Manchester United,West Ham,1,1,2020-07-22,12007,2019,410784,0.07853223383426666,0,2,0,0.023705139756202698,0.8014898896217346,0.7144109606742859,Bruno Fernandes
0,6,0.3372870981693268,90,AMC,Crystal Palace,Manchester United,0,2,2020-07-16,11996,2019,409505,0.24226228892803192,0,2,0,0.3372870981693268,0.7750684022903442,0.5218989253044128,Bruno Fernandes
0,0,0,87,AMC,Manchester United,Southampton,2,2,2020-07-13,11987,2019,408390,0.11563802510499954,1,2,0,0,0.4735414683818817,0.35790345072746277,Bruno Fernandes
1,2,1.1782522201538086,76,AMC,Aston Villa,Manchester United,0,3,2020-07-09,11974,2019,407193,0.27326342463493347,1,3,0,0.41708335280418396,1.071173071861267,0.4114174544811249,Bruno Fernandes
1,3,0.45685896277427673,90,AMC,Manchester United,Bournemouth,5,2,2020-07-04,11967,2019,405130,0.5956956744194031,2,5,1,0.45685896277427673,1.247549057006836,0.4090520143508911,Bruno Fernandes
2,4,0.6822574734687805,66,AMC,Brighton,Manchester United,0,3,2020-06-30,11956,2019,404153,0.03914982080459595,0,1,2,0.6822574734687805,0.7153128981590271,0.10427605360746384,Bruno Fernandes
0,2,0.08121129125356674,83,AMC,Manchester United,Sheffield United,3,0,2020-06-24,11950,2019,402311,0.025535842403769493,0,1,0,0.08121129125356674,1.3841838836669922,1.3841838836669922,Bruno Fernandes
1,5,0.8661433458328247,90,AMC,Tottenham,Manchester United,1,1,2020-06-19,11936,2019,400830,0.3639523386955261,0,2,0,0.10497451573610306,0.5046318769454956,0.37258726358413696,Bruno Fernandes
0,3,0.1248433068394661,90,AMC,Manchester United,Manchester City,2,0,2020-03-08,11932,2019,387843,0.22611317038536072,1,3,0,0.1248433068394661,0.2602030336856842,0.12167120724916458,Bruno Fernandes
1,6,0.2695380747318268,90,AMC,Everton,Manchester United,1,1,2020-03-01,11916,2019,387583,0.021774305030703545,0,1,1,0.2695380747318268,0.313861608505249,0.13324756920337677,Bruno Fernandes
1,3,0.8969578146934509,90,AMC,Manchester United,Watford,3,0,2020-02-23,11910,2019,387297,0.5371608138084412,1,4,0,0.1357889473438263,0.5852864980697632,0.26408639550209045,Bruno Fernandes
0,2,0.08217405527830124,90,AMC,Chelsea,Manchester United,0,2,2020-02-17,11896,2019,387092,0.15083752572536469,1,3,0,0.08217405527830124,0.04937770590186119,0,Bruno Fernandes
0,5,0.15603283047676086,90,AMC,Manchester United,Wolverhampton Wanderers,0,0,2020-02-01,11888,2019,386777,0,0,0,0,0.15603283047676086,0.17730948328971863,0.06951027363538742,Bruno Fernandes
