,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,4,Sub,Manchester City,Newcastle United,5,0,2020-07-08,11979,2019,406592,0,0,0,0,0,0,0,Christian Atsu
1,0,0,0,63,ML,Everton,Newcastle United,2,2,2020-01-21,11877,2019,386302,0,0,0,0,0,0,0,Christian Atsu
2,0,0,0,63,Sub,Wolverhampton Wanderers,Newcastle United,1,1,2020-01-11,11853,2019,385818,0,0,0,0,0,0.026228606700897217,0.026228606700897217,Christian Atsu
3,0,0,0,15,Sub,Newcastle United,Everton,1,2,2019-12-28,11838,2019,372710,0,0,0,0,0,0,0,Christian Atsu
4,0,0,0,29,Sub,Manchester United,Newcastle United,4,1,2019-12-26,11829,2019,372612,0.011063965037465096,0,1,0,0,0.011063965037465096,0.011063965037465096,Christian Atsu
5,0,0,0,83,MR,Burnley,Newcastle United,1,0,2019-12-14,11804,2019,369868,0.015598366037011147,0,1,0,0,0.34449121356010437,0.32889285683631897,Christian Atsu
6,0,1,0.051601480692625046,7,Sub,Sheffield United,Newcastle United,0,2,2019-12-05,11786,2019,367828,0,0,0,0,0.051601480692625046,0.051601480692625046,0,Christian Atsu
7,0,0,0,8,Sub,Newcastle United,Manchester City,2,2,2019-11-30,11777,2019,365967,0.019489465281367302,1,1,0,0,0,0,Christian Atsu
8,0,1,0.017599204555153847,9,Sub,Aston Villa,Newcastle United,2,0,2019-11-25,11764,2019,365816,0,0,0,0,0.017599204555153847,0.017599204555153847,0,Christian Atsu
9,0,0,0,1,Sub,Newcastle United,Bournemouth,2,1,2019-11-09,11756,2019,363200,0,0,0,0,0,0,0,Christian Atsu
10,0,0,0,11,Sub,West Ham,Newcastle United,2,3,2019-11-02,11752,2019,361633,0,0,0,0,0,0.05486181378364563,0.05486181378364563,Christian Atsu
11,0,0,0,1,Sub,Newcastle United,Wolverhampton Wanderers,1,1,2019-10-27,11738,2019,360151,0,0,0,0,0,0,0,Christian Atsu
12,0,0,0,5,Sub,Chelsea,Newcastle United,1,0,2019-10-19,11725,2019,357805,0.04057857394218445,0,1,0,0,0.04057857394218445,0,Christian Atsu
13,0,0,0,5,Sub,Newcastle United,Manchester United,1,0,2019-10-06,11721,2019,357150,0,0,0,0,0,0,0,Christian Atsu
14,0,1,0.02872496098279953,90,AML,Leicester,Newcastle United,5,0,2019-09-29,11710,2019,355521,0,0,0,0,0.02872496098279953,0.02872496098279953,0,Christian Atsu
15,0,1,0.11766590178012848,90,ML,Newcastle United,Brighton,0,0,2019-09-21,11699,2019,352445,0,0,0,0,0.11766590178012848,0.18597568571567535,0.06830977648496628,Christian Atsu
16,0,0,0,90,ML,Liverpool,Newcastle United,3,1,2019-09-14,11683,2019,348755,0.16229738295078278,1,3,0,0,0.21979445219039917,0.057497069239616394,Christian Atsu
17,0,1,0.030765175819396973,85,ML,Newcastle United,Watford,1,1,2019-08-31,11679,2019,347547,0.15964460372924805,0,3,0,0.030765175819396973,0.198705792427063,0.02045612968504429,Christian Atsu
18,0,0,0,74,Sub,Tottenham,Newcastle United,0,1,2019-08-25,11672,2019,344728,0.30362963676452637,1,3,0,0,0.35386335849761963,0.13999450206756592,Christian Atsu
