goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.3494037687778473,84,DC,Arsenal,Newcastle United,4,0,2020-02-16,11893,2019,387059,0,0,0,0,0.3494037687778473,0.4313522279262543,0.4313522279262543,Ciaran Clark
0,0,0,90,DC,Newcastle United,Norwich,0,0,2020-02-01,11889,2019,386608,0,0,0,0,0,0,0,Ciaran Clark
0,0,0,71,DC,Everton,Newcastle United,2,2,2020-01-21,11877,2019,386296,0,0,0,0,0,0.043980758637189865,0.043980758637189865,Ciaran Clark
0,0,0,90,DC,Newcastle United,Chelsea,1,0,2020-01-18,11868,2019,386201,0,0,0,0,0,0.02800527773797512,0.02800527773797512,Ciaran Clark
0,0,0,90,DC,Wolverhampton Wanderers,Newcastle United,1,1,2020-01-11,11853,2019,385809,0,0,0,0,0,0,0,Ciaran Clark
0,1,0.03220038488507271,47,DC,Newcastle United,Southampton,2,1,2019-12-08,11798,2019,369025,0,0,0,0,0.03220038488507271,0,0,Ciaran Clark
0,0,0,90,DC,Sheffield United,Newcastle United,0,2,2019-12-05,11786,2019,367819,0,0,0,0,0,0.3167489469051361,0.3167489469051361,Ciaran Clark
0,0,0,90,DC,Newcastle United,Manchester City,2,2,2019-11-30,11777,2019,365959,0,0,0,0,0,0,0,Ciaran Clark
0,0,0,90,DC,Aston Villa,Newcastle United,2,0,2019-11-25,11764,2019,365808,0,0,0,0,0,0.021578770130872726,0.021578770130872726,Ciaran Clark
1,2,0.19909223914146423,90,DC,Newcastle United,Bournemouth,2,1,2019-11-09,11756,2019,363192,0,0,0,1,0.19909223914146423,0.35837823152542114,0.35837823152542114,Ciaran Clark
1,1,0.13063707947731018,90,DC,West Ham,Newcastle United,2,3,2019-11-02,11752,2019,361625,0.05486181378364563,0,1,1,0.13063707947731018,0.5658566951751709,0.5658566951751709,Ciaran Clark
0,0,0,90,DC,Newcastle United,Wolverhampton Wanderers,1,1,2019-10-27,11738,2019,360143,0,0,0,0,0,0.15412777662277222,0.15412777662277222,Ciaran Clark
0,1,0.04057857394218445,90,DC,Chelsea,Newcastle United,1,0,2019-10-19,11725,2019,357796,0,0,0,0,0.04057857394218445,0.07941411435604095,0.03883553668856621,Ciaran Clark
0,0,0,90,DC,Newcastle United,Manchester United,1,0,2019-10-06,11721,2019,357141,0,0,0,0,0,0.04998163506388664,0.04998163506388664,Ciaran Clark
