goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,77,DMC,Arsenal,Watford,3,2,2020-07-26,12014,2019,411206,0.13821053504943848,0,2,0,0,0.19206343591213226,0.09129952639341354,Dani Ceballos
0,1,0.040556181222200394,90,MC,Aston Villa,Arsenal,1,0,2020-07-21,12003,2019,410528,0.008898320607841015,0,1,0,0.040556181222200394,0,0,Dani Ceballos
0,0,0,31,Sub,Arsenal,Liverpool,2,1,2020-07-15,11993,2019,408850,0,0,0,0,0,0,0,Dani Ceballos
0,0,0,90,MC,Tottenham,Arsenal,2,1,2020-07-12,11990,2019,408006,0.0828852429986,0,2,0,0,0.13207408785820007,0.1080690249800682,Dani Ceballos
0,1,0.018689043819904327,84,MC,Arsenal,Leicester,1,1,2020-07-07,11973,2019,406369,0.13512107729911804,0,2,0,0.018689043819904327,0.9486579895019531,0.8677732944488525,Dani Ceballos
0,1,0.03867242485284805,85,MC,Wolverhampton Wanderers,Arsenal,0,2,2020-07-04,11972,2019,405324,0.05575479194521904,0,1,0,0.03867242485284805,0.03867242485284805,0,Dani Ceballos
0,0,0,90,MC,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404411,0.2669660747051239,0,1,0,0,0.7008715271949768,0.4339054822921753,Dani Ceballos
0,0,0,83,MC,Southampton,Arsenal,0,2,2020-06-25,11952,2019,402661,0.01055985502898693,0,1,0,0,0.01055985502898693,0,Dani Ceballos
0,0,0,90,MC,Brighton,Arsenal,2,1,2020-06-20,11941,2019,401289,0.1475454717874527,0,3,0,0,0.16661480069160461,0.05229245126247406,Dani Ceballos
0,0,0,83,Sub,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400564,0,0,0,0,0,0.10939304530620575,0.10939304530620575,Dani Ceballos
0,0,0,90,DMC,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387757,0.01474944967776537,0,1,0,0,0.41895583271980286,0.41895583271980286,Dani Ceballos
0,1,0.029940921813249588,81,DMC,Arsenal,Everton,3,2,2020-02-23,11903,2019,387350,0,0,0,0,0.029940921813249588,0.9517496824264526,0.9517496824264526,Dani Ceballos
0,0,0,83,DMC,Arsenal,Newcastle United,4,0,2020-02-16,11893,2019,387047,0.11995759606361389,0,3,0,0,1.6753376722335815,1.6317085027694702,Dani Ceballos
0,1,0.05546842887997627,90,MC,Arsenal,Wolverhampton Wanderers,1,1,2019-11-02,11743,2019,361475,0.11493384093046188,0,1,0,0.05546842887997627,0.17040227353572845,0.05546842887997627,Dani Ceballos
0,0,0,90,ML,Arsenal,Crystal Palace,2,2,2019-10-27,11733,2019,360286,0.020490605384111404,0,1,0,0,0.04328453168272972,0.04328453168272972,Dani Ceballos
0,1,0.06813902407884598,42,Sub,Sheffield United,Arsenal,1,0,2019-10-21,11730,2019,358975,0,0,0,0,0.06813902407884598,0.1056913509964943,0.037552326917648315,Dani Ceballos
0,0,0,77,AMC,Arsenal,Bournemouth,1,0,2019-10-06,11722,2019,356923,0.20257410407066345,0,3,0,0,0.21248209476470947,0.0779976099729538,Dani Ceballos
0,1,0.05986671894788742,33,Sub,Manchester United,Arsenal,1,1,2019-09-30,11712,2019,355798,0,0,0,0,0.05986671894788742,0.506331741809845,0.44646504521369934,Dani Ceballos
0,1,0.04122905805706978,75,AMC,Arsenal,Aston Villa,3,2,2019-09-22,11702,2019,353088,0.02567869797348976,0,1,0,0.04122905805706978,0.40826040506362915,0.40826040506362915,Dani Ceballos
0,0,0,62,MC,Watford,Arsenal,2,2,2019-09-15,11691,2019,349866,0,0,0,0,0,0.7034085392951965,0.7034085392951965,Dani Ceballos
0,2,0.04734129086136818,25,Sub,Arsenal,Tottenham,2,2,2019-09-01,11682,2019,348106,0.0363868772983551,0,2,0,0.04734129086136818,0.4523296654224396,0.4049883484840393,Dani Ceballos
0,0,0,63,AMC,Liverpool,Arsenal,3,1,2019-08-24,11670,2019,344253,0,0,0,0,0,0.3026132583618164,0.3026132583618164,Dani Ceballos
0,3,0.0701710432767868,84,AMC,Arsenal,Burnley,2,1,2019-08-17,11653,2019,341766,0.19543112814426422,2,3,0,0.0701710432767868,0.4133632481098175,0.20772603154182434,Dani Ceballos
0,0,0,24,Sub,Newcastle United,Arsenal,0,1,2019-08-11,11650,2019,341536,0,0,0,0,0,0,0,Dani Ceballos
