,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
24,1,6,1.5114316940307617,90,FW,Arsenal,Watford,3,2,2020-07-26,12014,2019,411226,0,0,0,1,1.5114316940307617,1.531484603881836,0.053819987922906876,Danny Welbeck
25,0,0,0,21,Sub,Watford,Manchester City,0,4,2020-07-21,12011,2019,410460,0,0,0,0,0,0,0,Danny Welbeck
26,0,3,0.1987304985523224,89,AML,West Ham,Watford,3,1,2020-07-17,12001,2019,409596,0.19971640408039093,0,1,0,0.1987304985523224,0.40779322385787964,0.009346338920295238,Danny Welbeck
27,0,4,0.41701677441596985,90,AML,Watford,Newcastle United,2,1,2020-07-11,11991,2019,407364,0,0,0,0,0.41701677441596985,0.31034937500953674,0.06279585510492325,Danny Welbeck
28,1,3,0.3532772958278656,90,AML,Watford,Norwich,2,1,2020-07-07,11981,2019,406222,0,0,0,1,0.3532772958278656,0.34278303384780884,0.10177574306726456,Danny Welbeck
29,0,1,0.28433698415756226,29,Sub,Chelsea,Watford,3,0,2020-07-04,11964,2019,405480,0,0,0,0,0.28433698415756226,0.28433698415756226,0,Danny Welbeck
30,0,0,0,13,Sub,Watford,Southampton,1,3,2020-06-28,11961,2019,403691,0,0,0,0,0,0,0,Danny Welbeck
31,0,0,0,90,FW,Burnley,Watford,1,0,2020-06-25,11943,2019,402693,0,0,0,0,0,0.017189176753163338,0.017189176753163338,Danny Welbeck
32,0,0,0,18,Sub,Watford,Leicester,1,1,2020-06-20,11935,2019,400912,0,0,0,0,0,0,0,Danny Welbeck
33,0,0,0,13,Sub,Crystal Palace,Watford,1,0,2020-03-07,11926,2019,387669,0,0,0,0,0,0,0,Danny Welbeck
34,0,0,0,13,Sub,Manchester United,Watford,3,0,2020-02-23,11910,2019,387315,0,0,0,0,0,0,0,Danny Welbeck
35,0,0,0,3,Sub,Brighton,Watford,1,1,2020-02-08,11895,2019,386904,0,0,0,0,0,0,0,Danny Welbeck
36,0,0,0,29,Sub,Watford,Everton,2,3,2020-02-01,11891,2019,386673,0,0,0,0,0,0,0,Danny Welbeck
37,0,0,0,3,FW,Tottenham,Watford,1,1,2019-10-19,11731,2019,357832,0,0,0,0,0,0,0,Danny Welbeck
38,0,1,0.4604977071285248,77,FW,Watford,Sheffield United,0,0,2019-10-05,11719,2019,356257,0,0,0,0,0.4604977071285248,0.4604977071285248,0,Danny Welbeck
39,0,4,0.16030408442020416,90,FW,Wolverhampton Wanderers,Watford,2,0,2019-09-28,11705,2019,354716,0.02260003238916397,0,1,0,0.16030408442020416,0.18910951912403107,0.03987191617488861,Danny Welbeck
40,0,0,0,12,Sub,Watford,West Ham,1,3,2019-08-24,11667,2019,344077,0.013110840693116188,0,1,0,0,0.013110840693116188,0,Danny Welbeck
41,0,0,0,21,Sub,Everton,Watford,1,0,2019-08-17,11656,2019,341893,0,0,0,0,0,0,0,Danny Welbeck
