goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,2,0.12356016784906387,90,FW,Sheffield United,Everton,0,1,2020-07-20,12009,2019,410372,0,0,0,0,0.12356016784906387,0.2968880236148834,0.17332786321640015,David McGoldrick
0,1,0.08267119526863098,47,FW,Leicester,Sheffield United,2,0,2020-07-16,11998,2019,409135,0,0,0,0,0.08267119526863098,0.08267119526863098,0,David McGoldrick
2,3,1.1708542108535767,90,FW,Sheffield United,Chelsea,3,0,2020-07-11,11989,2019,407512,0.45071691274642944,0,1,2,1.1708542108535767,1.6215710639953613,0.057496920228004456,David McGoldrick
0,1,0.015348242595791817,90,FW,Burnley,Sheffield United,1,1,2020-07-05,11963,2019,405566,0.13859613239765167,0,3,0,0.015348242595791817,0.21575123071670532,0.09322100132703781,David McGoldrick
0,2,0.10334015637636185,66,FW,Sheffield United,Tottenham,3,1,2020-07-02,11960,2019,404819,0,0,0,0,0.10334015637636185,0.10334015637636185,0,David McGoldrick
0,1,0.02943248488008976,67,FW,Manchester United,Sheffield United,3,0,2020-06-24,11950,2019,402329,0.01527807954698801,0,1,0,0.02943248488008976,0.09775198251008987,0.06831949949264526,David McGoldrick
0,0,0,20,Sub,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400349,0,0,0,0,0,0.02248748205602169,0.02248748205602169,David McGoldrick
0,0,0,18,Sub,Sheffield United,Norwich,1,0,2020-03-07,11929,2019,387681,0,0,0,0,0,0,0,David McGoldrick
0,0,0,14,Sub,Sheffield United,Brighton,1,1,2020-02-22,11909,2019,387163,0.4169483482837677,0,1,0,0,0.7272444367408752,0.31029608845710754,David McGoldrick
0,1,0.04052169993519783,62,FW,Sheffield United,West Ham,1,0,2020-01-10,11855,2019,385749,0,0,0,0,0.04052169993519783,0.04052169993519783,0,David McGoldrick
0,1,0.03300135210156441,67,FW,Liverpool,Sheffield United,2,0,2020-01-02,11847,2019,385736,0,0,0,0,0.03300135210156441,0.03300135210156441,0,David McGoldrick
0,0,0,30,Sub,Manchester City,Sheffield United,2,0,2019-12-29,11837,2019,372944,0,0,0,0,0,0.2940512001514435,0.2940512001514435,David McGoldrick
0,0,0,90,FW,Sheffield United,Watford,1,1,2019-12-26,11830,2019,372570,0.0959496945142746,0,2,0,0,0.640078604221344,0.640078604221344,David McGoldrick
0,3,1.1023091077804565,90,FW,Brighton,Sheffield United,0,1,2019-12-21,11815,2019,371475,0,0,0,0,1.1023091077804565,1.1023091077804565,0.12005231529474258,David McGoldrick
0,3,1.129225730895996,90,FW,Sheffield United,Aston Villa,2,0,2019-12-14,11810,2019,369832,0.3068074882030487,1,1,0,1.129225730895996,1.4360332489013672,0,David McGoldrick
0,3,0.4849900007247925,85,FW,Norwich,Sheffield United,1,2,2019-12-08,11799,2019,369018,0.044866662472486496,0,2,0,0.4849900007247925,0.5298566818237305,0,David McGoldrick
0,1,0.07612130790948868,16,Sub,Sheffield United,Newcastle United,0,2,2019-12-05,11786,2019,367814,0,0,0,0,0.07612130790948868,0.07612130790948868,0,David McGoldrick
0,4,0.520494818687439,75,FW,Wolverhampton Wanderers,Sheffield United,1,1,2019-12-01,11780,2019,366779,0,0,0,0,0.520494818687439,0.464848130941391,0,David McGoldrick
0,3,0.4758942723274231,79,FW,Sheffield United,Manchester United,3,3,2019-11-24,11770,2019,365579,0,0,0,0,0.4758942723274231,0.4758942723274231,0,David McGoldrick
0,1,0.016108719632029533,90,FW,Tottenham,Sheffield United,1,1,2019-11-09,11759,2019,363158,0.20958305895328522,1,4,0,0.016108719632029533,0.26298803091049194,0.1174638494849205,David McGoldrick
0,2,0.10022366791963577,78,FW,Sheffield United,Burnley,3,0,2019-11-02,11750,2019,361646,0.3367941081523895,0,1,0,0.10022366791963577,1.2188481092453003,0.781830370426178,David McGoldrick
0,3,0.8023269772529602,82,FW,West Ham,Sheffield United,1,1,2019-10-26,11742,2019,359414,0.07958772778511047,0,1,0,0.8023269772529602,0.21245725452899933,0.13286952674388885,David McGoldrick
0,0,0,80,FW,Sheffield United,Arsenal,1,0,2019-10-21,11730,2019,358958,0,0,0,0,0,0.028560256585478783,0.028560256585478783,David McGoldrick
0,6,1.196298360824585,90,FW,Sheffield United,Southampton,0,1,2019-09-14,11686,2019,349073,0,0,0,0,1.196298360824585,0.9367380142211914,0.14074084162712097,David McGoldrick
0,0,0,26,Sub,Chelsea,Sheffield United,2,2,2019-08-31,11675,2019,347452,0,0,0,0,0,0.02543010003864765,0.02543010003864765,David McGoldrick
0,0,0,55,FW,Sheffield United,Leicester,1,2,2019-08-24,11665,2019,344017,0,0,0,0,0,0,0,David McGoldrick
0,2,0.6491917371749878,90,FW,Sheffield United,Crystal Palace,1,0,2019-08-18,11660,2019,342461,0,0,0,0,0.6491917371749878,0.6491917371749878,0,David McGoldrick
0,2,0.5640422105789185,64,FW,Bournemouth,Sheffield United,1,1,2019-08-10,11645,2019,341229,0,0,0,0,0.5640422105789185,0.6441766619682312,0.08013443648815155,David McGoldrick
