,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
6,0,0,0,58,DR,Newcastle United,Tottenham,1,3,2020-07-15,12000,2019,408686,0.03338164836168289,0,2,0,0,0.06703103333711624,0.03364938125014305,DeAndre Yedlin
7,0,0,0,90,DR,Manchester City,Newcastle United,5,0,2020-07-08,11979,2019,406582,0,0,0,0,0,0.06025576591491699,0.06025576591491699,DeAndre Yedlin
8,0,0,0,15,Sub,Bournemouth,Newcastle United,1,4,2020-07-01,11955,2019,404402,0,0,0,0,0,0,0,DeAndre Yedlin
9,0,0,0,1,Sub,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401615,0,0,0,0,0,0,0,DeAndre Yedlin
10,0,0,0,56,DR,Newcastle United,Norwich,0,0,2020-02-01,11889,2019,386606,0.12748970091342926,0,1,0,0,0.1533002257347107,0.02581053227186203,DeAndre Yedlin
11,0,0,0,46,Sub,Newcastle United,Leicester,0,3,2020-01-01,11849,2019,385587,0,0,0,0,0,0,0,DeAndre Yedlin
12,0,0,0,90,DMR,Newcastle United,Everton,1,2,2019-12-28,11838,2019,372703,0.01885884255170822,0,1,0,0,0.7679352164268494,0.7679352164268494,DeAndre Yedlin
13,0,0,0,25,Sub,Manchester United,Newcastle United,4,1,2019-12-26,11829,2019,372614,0,0,0,0,0,0,0,DeAndre Yedlin
14,0,0,0,1,Sub,Newcastle United,Crystal Palace,1,0,2019-12-21,11818,2019,371491,0,0,0,0,0,0,0,DeAndre Yedlin
15,0,0,0,90,DR,Aston Villa,Newcastle United,2,0,2019-11-25,11764,2019,365806,0.05332332104444504,0,2,0,0,0.1195359081029892,0.08381178975105286,DeAndre Yedlin
16,1,1,0.7519300580024719,90,DR,Newcastle United,Bournemouth,2,1,2019-11-09,11756,2019,363190,0,0,0,1,0.7519300580024719,0.9052431583404541,0.15331311523914337,DeAndre Yedlin
17,0,0,0,90,DR,West Ham,Newcastle United,2,3,2019-11-02,11752,2019,361623,0,0,0,0,0,0.027533238753676414,0.027533238753676414,DeAndre Yedlin
18,0,0,0,90,DR,Newcastle United,Wolverhampton Wanderers,1,1,2019-10-27,11738,2019,360141,0.03386176750063896,0,1,0,0,0.03386176750063896,0.03386176750063896,DeAndre Yedlin
19,0,0,0,90,DR,Chelsea,Newcastle United,1,0,2019-10-19,11725,2019,357795,0,0,0,0,0,0.03883553668856621,0.03883553668856621,DeAndre Yedlin
20,0,0,0,90,DR,Newcastle United,Manchester United,1,0,2019-10-06,11721,2019,357140,0,0,0,0,0,0.11493775248527527,0.11493775248527527,DeAndre Yedlin
21,0,0,0,13,Sub,Leicester,Newcastle United,5,0,2019-09-29,11710,2019,355523,0,0,0,0,0,0,0,DeAndre Yedlin
