goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,3,0.16617998480796814,14,Sub,Leicester,Manchester United,0,2,2020-07-26,12018,2019,411485,0.11233773082494736,0,1,0,0.16617998480796814,0.22599074244499207,0,Demarai Gray
0,4,0.17653906345367432,41,Sub,Tottenham,Leicester,3,0,2020-07-19,12010,2019,409812,0.10569644719362259,0,3,0,0.17653906345367432,0.17094655334949493,0.05624449998140335,Demarai Gray
1,1,0.3811447322368622,12,Sub,Leicester,Sheffield United,2,0,2020-07-16,11998,2019,409124,0,0,0,1,0.3811447322368622,0.3811447322368622,0,Demarai Gray
0,0,0,10,Sub,Arsenal,Leicester,1,1,2020-07-07,11973,2019,406391,0.5089787244796753,1,2,0,0,0.5089787244796753,0.4650259017944336,Demarai Gray
0,0,0,6,Sub,Everton,Leicester,2,1,2020-07-01,11958,2019,404341,0,0,0,0,0,0.03614174574613571,0.03614174574613571,Demarai Gray
0,1,0.06181371957063675,79,AMR,Leicester,Brighton,0,0,2020-06-23,11945,2019,402035,0,0,0,0,0.06181371957063675,0.031735822558403015,0.031735822558403015,Demarai Gray
0,2,0.04878602549433708,22,Sub,Watford,Leicester,1,1,2020-06-20,11935,2019,400925,0.1346985250711441,1,3,0,0.04878602549433708,0.18348455429077148,0,Demarai Gray
0,1,0.062403399497270584,21,Sub,Leicester,Southampton,1,2,2020-01-11,11861,2019,385861,0,0,0,0,0.062403399497270584,0.062403399497270584,0,Demarai Gray
0,2,0.2400050014257431,24,Sub,Newcastle United,Leicester,0,3,2020-01-01,11849,2019,385602,0,0,0,0,0.2400050014257431,0.2833467721939087,0.04334177076816559,Demarai Gray
1,3,1.2144633531570435,86,MR,West Ham,Leicester,1,2,2019-12-28,11842,2019,372827,0.4531303644180298,0,1,1,0.4532945156097412,0.9664404392242432,0.15575642883777618,Demarai Gray
0,0,0,20,Sub,Manchester City,Leicester,3,1,2019-12-21,11817,2019,371643,0,0,0,0,0,0,0,Demarai Gray
0,1,0.07169371843338013,52,Sub,Leicester,Norwich,1,1,2019-12-14,11807,2019,369807,0,0,0,0,0.07169371843338013,0.10987839102745056,0.10987839102745056,Demarai Gray
0,0,0,11,Sub,Brighton,Leicester,0,2,2019-11-23,11766,2019,364763,0,0,0,0,0,0,0,Demarai Gray
0,2,0.06505264341831207,30,Sub,Leicester,Arsenal,2,0,2019-11-09,11762,2019,363312,0.28150853514671326,0,1,0,0.06505264341831207,0.7498228549957275,0.6847702264785767,Demarai Gray
0,0,0,15,Sub,Crystal Palace,Leicester,0,2,2019-11-03,11747,2019,362136,0.12301022559404373,1,1,0,0,0.12301022559404373,0,Demarai Gray
0,0,0,14,Sub,Southampton,Leicester,0,9,2019-10-25,11740,2019,359110,0,0,0,0,0,0,0,Demarai Gray
0,0,0,22,Sub,Leicester,Burnley,2,1,2019-10-19,11728,2019,357849,0.03326524421572685,0,1,0,0,0.15628837049007416,0.123023122549057,Demarai Gray
0,0,0,3,Sub,Leicester,Newcastle United,5,0,2019-09-29,11710,2019,355509,0,0,0,0,0,0,0,Demarai Gray
0,0,0,5,Sub,Leicester,Tottenham,2,1,2019-09-21,11694,2019,352030,0,0,0,0,0,0,0,Demarai Gray
0,1,0.019859569147229195,70,MR,Manchester United,Leicester,1,0,2019-09-14,11684,2019,349029,0.036228884011507034,0,2,0,0.019859569147229195,0.05608845502138138,0.036228884011507034,Demarai Gray
0,2,0.25925543904304504,23,Sub,Leicester,Bournemouth,3,1,2019-08-31,11677,2019,347494,0.44510120153427124,0,1,0,0.25925543904304504,0.7737439274787903,0.06938732415437698,Demarai Gray
