,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
36,0,1,0.022194726392626762,90,ML,Burnley,Brighton,1,2,2020-07-26,12022,2019,411239,0.18385271728038788,0,4,0,0.022194726392626762,0.16220124065876007,0.07667414844036102,Dwight McNeil
37,0,3,0.15637752413749695,90,ML,Norwich,Burnley,0,2,2020-07-18,12008,2019,409686,0.18671536445617676,0,3,0,0.15637752413749695,0.7107821702957153,0.44173288345336914,Dwight McNeil
38,0,1,0.0180091243237257,90,ML,Burnley,Wolverhampton Wanderers,1,1,2020-07-15,11994,2019,408632,0,0,0,0,0.0180091243237257,0.07095399498939514,0.05294486880302429,Dwight McNeil
39,0,1,0.033464234322309494,90,ML,Liverpool,Burnley,1,1,2020-07-11,11986,2019,407437,0.035387296229600906,0,1,0,0.033464234322309494,0.0688515305519104,0,Dwight McNeil
40,0,0,0,90,ML,West Ham,Burnley,0,1,2020-07-08,11982,2019,406536,0.1435810625553131,0,2,0,0,0.2594898045063019,0.18042443692684174,Dwight McNeil
41,0,1,0.1136314794421196,90,MR,Burnley,Sheffield United,1,1,2020-07-05,11963,2019,405549,0,0,0,0,0.1136314794421196,0.5671094059944153,0.4534779489040375,Dwight McNeil
42,0,4,0.19055795669555664,90,AMC,Crystal Palace,Burnley,0,1,2020-06-29,11957,2019,403943,0,0,0,0,0.19055795669555664,0.15529873967170715,0,Dwight McNeil
43,0,1,0.020596636459231377,90,ML,Burnley,Watford,1,0,2020-06-25,11943,2019,402679,0.18284128606319427,1,2,0,0.020596636459231377,0.4368673264980316,0.25402602553367615,Dwight McNeil
44,0,1,0.030340753495693207,90,ML,Manchester City,Burnley,5,0,2020-06-22,11939,2019,401960,0,0,0,0,0.030340753495693207,0,0,Dwight McNeil
45,0,2,0.09021326154470444,90,ML,Burnley,Tottenham,1,1,2020-03-07,11924,2019,387788,0.0924554094672203,0,2,0,0.09021326154470444,0.1253564953804016,0.047525811940431595,Dwight McNeil
46,0,0,0,90,ML,Newcastle United,Burnley,0,0,2020-02-29,11918,2019,387475,0.0876597985625267,0,1,0,0,0.0876597985625267,0,Dwight McNeil
47,1,3,0.14670780301094055,90,ML,Burnley,Bournemouth,3,0,2020-02-22,11907,2019,387214,0.8028539419174194,1,3,1,0.14670780301094055,0.6072919964790344,0.017638592049479485,Dwight McNeil
48,0,0,0,90,ML,Southampton,Burnley,1,2,2020-02-15,11901,2019,386982,0.14734706282615662,0,2,0,0,0.5926703810691833,0.44532328844070435,Dwight McNeil
49,0,3,0.1165492907166481,90,ML,Burnley,Arsenal,0,0,2020-02-02,11884,2019,386805,1.3767435550689697,0,5,0,0.1165492907166481,1.5203568935394287,0.027064045891165733,Dwight McNeil
50,0,1,0.05229710787534714,90,ML,Manchester United,Burnley,0,2,2020-01-22,11879,2019,386522,0,0,0,0,0.05229710787534714,0,0,Dwight McNeil
51,0,1,0.04765615612268448,90,ML,Burnley,Leicester,2,1,2020-01-19,11866,2019,386234,0.04795866459608078,0,1,0,0.04765615612268448,0.0692932978272438,0.0692932978272438,Dwight McNeil
52,0,2,0.08419864624738693,90,ML,Chelsea,Burnley,3,0,2020-01-11,11858,2019,385923,0.31466808915138245,0,1,0,0.08419864624738693,0.12305441498756409,0.12305441498756409,Dwight McNeil
53,0,1,0.015213031321763992,90,ML,Burnley,Aston Villa,1,2,2020-01-01,11846,2019,385501,0.24686555564403534,0,1,0,0.015213031321763992,0.4798838198184967,0.21780525147914886,Dwight McNeil
54,0,1,0.028775611892342567,90,ML,Burnley,Manchester United,0,2,2019-12-28,11835,2019,372844,0.016270386055111885,0,1,0,0.028775611892342567,0.016270386055111885,0,Dwight McNeil
55,0,0,0,90,ML,Everton,Burnley,1,0,2019-12-26,11827,2019,372527,0.055618539452552795,0,3,0,0,0.03301399201154709,0,Dwight McNeil
56,0,0,0,85,ML,Bournemouth,Burnley,0,1,2019-12-21,11814,2019,371446,0,0,0,0,0,0,0,Dwight McNeil
57,0,1,0.021505841985344887,90,ML,Burnley,Newcastle United,1,0,2019-12-14,11804,2019,369858,0.13750657439231873,0,2,0,0.021505841985344887,0.15652650594711304,0.07251526415348053,Dwight McNeil
58,0,0,0,90,MR,Tottenham,Burnley,5,0,2019-12-07,11800,2019,368375,0.6947411298751831,0,2,0,0,0.7472720742225647,0.052530962973833084,Dwight McNeil
59,0,2,0.12199954688549042,77,ML,Burnley,Manchester City,1,4,2019-12-03,11784,2019,367477,0,0,0,0,0.12199954688549042,0.11720607429742813,0.04720917344093323,Dwight McNeil
60,0,3,0.13953910768032074,90,ML,Burnley,Crystal Palace,0,2,2019-11-30,11773,2019,366158,0.12060345709323883,0,2,0,0.13953910768032074,0.13953910768032074,0,Dwight McNeil
61,0,0,0,90,ML,Watford,Burnley,0,3,2019-11-23,11771,2019,364732,0.35274064540863037,0,2,0,0,0.33636030554771423,0.33636030554771423,Dwight McNeil
62,0,1,0.01844743639230728,90,ML,Burnley,West Ham,3,0,2019-11-09,11753,2019,363087,0.594919741153717,1,4,0,0.01844743639230728,0.4559551477432251,0.030806543305516243,Dwight McNeil
63,0,0,0,62,ML,Sheffield United,Burnley,3,0,2019-11-02,11750,2019,361658,0,0,0,0,0,0,0,Dwight McNeil
64,1,2,0.054539840668439865,90,ML,Burnley,Chelsea,2,4,2019-10-26,11735,2019,359594,0.12330835312604904,0,2,1,0.054539840668439865,0.1778481900691986,0,Dwight McNeil
65,0,2,0.09066883474588394,90,MR,Leicester,Burnley,2,1,2019-10-19,11728,2019,357855,0.05851050466299057,1,1,0,0.09066883474588394,0.1491793394088745,0,Dwight McNeil
66,0,0,0,90,ML,Burnley,Everton,1,0,2019-10-05,11714,2019,356171,0,0,0,0,0,0.2437136322259903,0.2437136322259903,Dwight McNeil
67,0,2,0.09979123622179031,90,ML,Aston Villa,Burnley,2,2,2019-09-28,11706,2019,354576,0.13561026751995087,0,2,0,0.09979123622179031,0.3627319037914276,0.3627319037914276,Dwight McNeil
68,0,0,0,81,ML,Burnley,Norwich,2,0,2019-09-21,11696,2019,352249,1.1652730703353882,1,2,0,0,1.2762677669525146,0.11099474132061005,Dwight McNeil
69,0,1,0.03571879863739014,90,ML,Brighton,Burnley,1,1,2019-09-14,11685,2019,349003,0,0,0,0,0.03571879863739014,0.04423243924975395,0.04423243924975395,Dwight McNeil
70,0,2,0.030618082731962204,90,ML,Burnley,Liverpool,0,3,2019-08-31,11680,2019,347686,0.05921008437871933,0,1,0,0.030618082731962204,0.06370813399553299,0.033090051263570786,Dwight McNeil
71,0,1,0.05875927582383156,88,ML,Wolverhampton Wanderers,Burnley,1,1,2019-08-25,11668,2019,344696,0.06449872255325317,1,2,0,0.05875927582383156,0.13240478932857513,0.05009305477142334,Dwight McNeil
72,0,4,0.1005621999502182,90,ML,Arsenal,Burnley,2,1,2019-08-17,11653,2019,341780,0.13468872010707855,0,1,0,0.1005621999502182,0.21223706007003784,0,Dwight McNeil
73,0,0,0,87,ML,Burnley,Southampton,3,0,2019-08-10,11646,2019,341242,0,0,0,0,0,0,0,Dwight McNeil
