goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,28,Sub,Arsenal,Watford,3,2,2020-07-26,12014,2019,411215,0.39650723338127136,0,1,0,0,0.7330248355865479,0.3365176022052765,Eddie Nketiah
0,2,0.4952239394187927,90,FWR,Aston Villa,Arsenal,1,0,2020-07-21,12003,2019,410530,0,0,0,0,0.4952239394187927,0.142166867852211,0.035457540303468704,Eddie Nketiah
0,0,0,4,Sub,Arsenal,Leicester,1,1,2020-07-07,11973,2019,406377,0,0,0,0,0,0,0,Eddie Nketiah
0,3,0.18123561143875122,85,FW,Wolverhampton Wanderers,Arsenal,0,2,2020-07-04,11972,2019,405327,0,0,0,0,0.18123561143875122,0.12548083066940308,0,Eddie Nketiah
0,0,0,12,Sub,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404419,0.055163104087114334,0,1,0,0,0.055163104087114334,0,Eddie Nketiah
1,2,0.9490118026733398,82,FW,Southampton,Arsenal,0,2,2020-06-25,11952,2019,402665,0,0,0,1,0.9490118026733398,0.9490118026733398,0,Eddie Nketiah
0,0,0,7,Sub,Brighton,Arsenal,2,1,2020-06-20,11941,2019,401296,0,0,0,0,0,0.02071155235171318,0.02071155235171318,Eddie Nketiah
0,1,0.10939304530620575,70,FW,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400561,0.015001966618001461,0,1,0,0.10939304530620575,0.12439501285552979,0.10939304530620575,Eddie Nketiah
0,1,0.35016900300979614,60,FW,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387762,0.09922292828559875,0,1,0,0.35016900300979614,0.4493919312953949,0,Eddie Nketiah
1,3,0.6804041862487793,90,FW,Arsenal,Everton,3,2,2020-02-23,11903,2019,387355,0,0,0,1,0.6804041862487793,0.6804041862487793,0,Eddie Nketiah
0,2,0.656898021697998,86,FW,Arsenal,Newcastle United,4,0,2020-02-16,11893,2019,387052,0,0,0,0,0.656898021697998,0.7332264184951782,0.07632841914892197,Eddie Nketiah
0,0,0,1,Sub,Burnley,Arsenal,0,0,2020-02-02,11884,2019,386821,0,0,0,0,0,0,0,Eddie Nketiah
0,1,0.056393690407276154,14,Sub,Arsenal,Sheffield United,1,1,2020-01-18,11863,2019,386155,0.06527946889400482,0,1,0,0.056393690407276154,0.12167315930128098,0,Eddie Nketiah
