,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
2,0,0,0,1,Sub,West Ham,Aston Villa,1,1,2020-07-26,12013,2019,411453,0,0,0,0,0,0,0,Felipe Anderson
3,0,1,0.015571894124150276,15,Sub,Tottenham,West Ham,2,0,2020-06-23,11944,2019,402211,0.12086856365203857,0,1,0,0.015571894124150276,0.07996387034654617,0.07996387034654617,Felipe Anderson
4,0,0,0,68,AML,West Ham,Wolverhampton Wanderers,0,2,2020-06-20,11934,2019,401371,0,0,0,0,0,0,0,Felipe Anderson
5,0,0,0,2,Sub,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387777,0,0,0,0,0,0,0,Felipe Anderson
6,0,0,0,1,Sub,West Ham,Southampton,3,1,2020-02-29,11922,2019,387517,0,0,0,0,0,0,0,Felipe Anderson
7,0,1,0.03857600316405296,66,AML,Liverpool,West Ham,3,2,2020-02-24,11911,2019,387395,0,0,0,0,0.03857600316405296,0.08711265027523041,0.08711265027523041,Felipe Anderson
8,0,1,0.35838770866394043,90,AMC,Sheffield United,West Ham,1,0,2020-01-10,11855,2019,385763,0.08720740675926208,0,2,0,0.35838770866394043,0.506943941116333,0.061348821967840195,Felipe Anderson
9,1,2,0.3737668991088867,71,AMC,West Ham,Bournemouth,4,0,2020-01-01,11843,2019,385612,0,0,0,1,0.3737668991088867,0.5329512357711792,0.15918435156345367,Felipe Anderson
10,0,0,0,90,AML,West Ham,Leicester,1,2,2019-12-28,11842,2019,372817,0.2087569683790207,1,3,0,0,0.32645735144615173,0.21009643375873566,Felipe Anderson
11,0,0,0,15,Sub,Crystal Palace,West Ham,2,1,2019-12-26,11826,2019,372503,0,0,0,0,0,0.1244545504450798,0.1244545504450798,Felipe Anderson
12,0,1,0.03344891592860222,75,AMC,West Ham,Arsenal,1,3,2019-12-09,11802,2019,369418,0.09754476696252823,0,1,0,0.03344891592860222,0.18292675912380219,0.05193307623267174,Felipe Anderson
13,0,0,0,90,AMC,Wolverhampton Wanderers,West Ham,2,0,2019-12-04,11787,2019,367659,0.13467547297477722,0,3,0,0,0.11391440778970718,0.09405463188886642,Felipe Anderson
14,0,0,0,73,AMC,Chelsea,West Ham,0,1,2019-11-30,11774,2019,366201,0,0,0,0,0,0.5865234732627869,0.5865234732627869,Felipe Anderson
15,0,0,0,48,ML,West Ham,Tottenham,2,3,2019-11-23,11772,2019,364441,0,0,0,0,0,0.018898824229836464,0.018898824229836464,Felipe Anderson
16,0,0,0,59,ML,Burnley,West Ham,3,0,2019-11-09,11753,2019,363100,0,0,0,0,0,0.05546601861715317,0.05546601861715317,Felipe Anderson
17,0,1,0.02295086719095707,90,ML,West Ham,Newcastle United,2,3,2019-11-02,11752,2019,361617,0.22628231346607208,0,3,0,0.02295086719095707,0.2853081524372101,0.18694350123405457,Felipe Anderson
18,0,2,0.6534293293952942,67,ML,West Ham,Sheffield United,1,1,2019-10-26,11742,2019,359400,0,0,0,0,0.6534293293952942,0.7797263264656067,0.1262969821691513,Felipe Anderson
19,0,0,0,49,ML,Everton,West Ham,2,0,2019-10-19,11727,2019,357551,0,0,0,0,0,0,0,Felipe Anderson
20,0,2,0.1165713295340538,90,ML,West Ham,Crystal Palace,1,2,2019-10-05,11720,2019,356395,0.08195558935403824,0,1,0,0.1165713295340538,0.3393450379371643,0.14081813395023346,Felipe Anderson
21,0,3,0.45981818437576294,90,ML,Bournemouth,West Ham,2,2,2019-09-28,11707,2019,354604,0.06760738790035248,1,2,0,0.45981818437576294,0.7419978976249695,0.21457234025001526,Felipe Anderson
22,0,1,0.08770202100276947,71,ML,West Ham,Manchester United,2,0,2019-09-22,11700,2019,352865,0.13231095671653748,1,2,0,0.08770202100276947,0.2785092890262604,0.058496300131082535,Felipe Anderson
23,0,1,0.038863617926836014,71,ML,Aston Villa,West Ham,0,0,2019-09-16,11692,2019,350200,0.0584644116461277,0,1,0,0.038863617926836014,0.2093174010515213,0.1704537719488144,Felipe Anderson
24,0,3,0.14265772700309753,90,ML,West Ham,Norwich,2,0,2019-08-31,11674,2019,347407,0.285891056060791,0,3,0,0.14265772700309753,1.3313289880752563,1.1306856870651245,Felipe Anderson
25,0,4,0.2931022047996521,82,AML,Watford,West Ham,1,3,2019-08-24,11667,2019,344087,1.1459128856658936,1,3,0,0.2931022047996521,1.5198042392730713,0.25742608308792114,Felipe Anderson
26,0,0,0,67,AMR,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341187,0,0,0,0,0,0,0,Felipe Anderson
