goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,7,DC,Crystal Palace,Chelsea,2,3,2020-07-07,11977,2019,406243,0,0,0,0,0,0,0,Gary Cahill
0,1,0.03780099004507065,90,DC,Leicester,Crystal Palace,3,0,2020-07-04,11965,2019,405173,0,0,0,0,0.03780099004507065,0.30487582087516785,0.30487582087516785,Gary Cahill
0,3,0.1656569093465805,90,DC,Crystal Palace,Burnley,0,1,2020-06-29,11957,2019,403923,0,0,0,0,0.1656569093465805,0.01876506768167019,0,Gary Cahill
0,0,0,90,DC,Liverpool,Crystal Palace,4,0,2020-06-24,11951,2019,402536,0,0,0,0,0,0,0,Gary Cahill
0,2,0.13639312982559204,90,DC,Bournemouth,Crystal Palace,0,2,2020-06-20,11942,2019,401464,0,0,0,0,0.13639312982559204,0,0,Gary Cahill
0,0,0,90,DC,Crystal Palace,Watford,1,0,2020-03-07,11926,2019,387646,0,0,0,0,0,0.12896139919757843,0.12896139919757843,Gary Cahill
0,2,0.5415289402008057,90,DC,Brighton,Crystal Palace,0,1,2020-02-29,11915,2019,387444,0,0,0,0,0.5415289402008057,0.29383566975593567,0.29383566975593567,Gary Cahill
0,2,0.29499495029449463,90,DC,Crystal Palace,Newcastle United,1,0,2020-02-22,11905,2019,387182,0,0,0,0,0.29499495029449463,0.0733199492096901,0.0733199492096901,Gary Cahill
0,1,0.020652437582612038,90,DC,Everton,Crystal Palace,3,1,2020-02-08,11897,2019,386867,0,0,0,0,0.020652437582612038,0.01998870074748993,0.01998870074748993,Gary Cahill
0,2,0.07445533573627472,90,DC,Crystal Palace,Sheffield United,0,1,2020-02-01,11885,2019,386691,0,0,0,0,0.07445533573627472,0.15666791796684265,0.11580932140350342,Gary Cahill
0,0,0,90,DC,Crystal Palace,Southampton,0,2,2020-01-21,11882,2019,386310,0,0,0,0,0,0,0,Gary Cahill
0,1,0.011965873651206493,90,DC,Manchester City,Crystal Palace,2,2,2020-01-18,11864,2019,386053,0.36361387372016907,1,1,0,0.011965873651206493,0,0,Gary Cahill
0,0,0,90,DC,Crystal Palace,Arsenal,1,1,2020-01-11,11859,2019,385771,0,0,0,0,0,0,0,Gary Cahill
0,0,0,90,DC,Watford,Crystal Palace,0,0,2019-12-07,11801,2019,368398,0,0,0,0,0,0.06023170426487923,0.06023170426487923,Gary Cahill
0,0,0,90,DC,Crystal Palace,Liverpool,1,2,2019-11-23,11767,2019,364767,0,0,0,0,0,0,0,Gary Cahill
0,0,0,90,DC,Chelsea,Crystal Palace,2,0,2019-11-09,11754,2019,362903,0,0,0,0,0,0.058904923498630524,0.058904923498630524,Gary Cahill
0,0,0,90,DC,Crystal Palace,Leicester,0,2,2019-11-03,11747,2019,362112,0,0,0,0,0,0,0,Gary Cahill
0,1,0.04276049882173538,90,DC,Arsenal,Crystal Palace,2,2,2019-10-27,11733,2019,360293,0,0,0,0,0.04276049882173538,0.1426149159669876,0.1426149159669876,Gary Cahill
0,0,0,90,DC,Crystal Palace,Manchester City,0,2,2019-10-19,11726,2019,358088,0,0,0,0,0,0.016874214634299278,0.016874214634299278,Gary Cahill
0,1,0.03371811285614967,90,DC,West Ham,Crystal Palace,1,2,2019-10-05,11720,2019,356402,0.039140790700912476,0,1,0,0.03371811285614967,0,0,Gary Cahill
0,1,0.09618794918060303,90,DC,Crystal Palace,Norwich,2,0,2019-09-28,11709,2019,354723,0,0,0,0,0.09618794918060303,0.06786825507879257,0.06786825507879257,Gary Cahill
0,1,0.011683600954711437,90,DC,Crystal Palace,Wolverhampton Wanderers,1,1,2019-09-22,11697,2019,353361,0.02890094742178917,0,1,0,0.011683600954711437,0,0,Gary Cahill
0,1,0.04535503312945366,90,DC,Tottenham,Crystal Palace,4,0,2019-09-14,11687,2019,349109,0,0,0,0,0.04535503312945366,0,0,Gary Cahill
0,1,0.07396306842565536,90,DC,Crystal Palace,Aston Villa,1,0,2019-08-31,11676,2019,347457,0,0,0,0,0.07396306842565536,0.17397549748420715,0.17397549748420715,Gary Cahill
0,1,0.023381168022751808,90,DC,Manchester United,Crystal Palace,1,2,2019-08-24,11669,2019,344108,0,0,0,0,0.023381168022751808,0.29461678862571716,0.29461678862571716,Gary Cahill
