goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,2,0.07282660156488419,36,AML,Watford,Liverpool,3,0,2020-02-29,11921,2019,387542,0.09070292115211487,0,1,0,0.07282660156488419,0.16352951526641846,0.09070292115211487,Gerard Deulofeu
0,3,0.10094952583312988,90,AML,Manchester United,Watford,3,0,2020-02-23,11910,2019,387312,0,0,0,0,0.10094952583312988,0.14874523878097534,0.09786976128816605,Gerard Deulofeu
0,1,0.05436132475733757,87,AML,Brighton,Watford,1,1,2020-02-08,11895,2019,386901,0.05818586423993111,0,1,0,0.05436132475733757,0.11254718899726868,0,Gerard Deulofeu
0,2,0.17723779380321503,86,AML,Watford,Everton,2,3,2020-02-01,11891,2019,386669,0.1663110852241516,1,2,0,0.17723779380321503,0.36923709511756897,0.11138593405485153,Gerard Deulofeu
0,4,0.4653048813343048,90,AML,Aston Villa,Watford,2,1,2020-01-21,11873,2019,386412,0.5839221477508545,1,1,0,0.4653048813343048,1.1283551454544067,0.6630502939224243,Gerard Deulofeu
0,3,0.192372128367424,90,AML,Watford,Tottenham,0,0,2020-01-18,11871,2019,386019,0.016964446753263474,0,1,0,0.192372128367424,0.20933657884597778,0,Gerard Deulofeu
0,4,0.680383563041687,90,AML,Bournemouth,Watford,0,3,2020-01-12,11857,2019,385977,0.11675975471735,0,1,0,0.680383563041687,0.8691617250442505,0.07201842218637466,Gerard Deulofeu
1,3,0.44372546672821045,77,AML,Watford,Wolverhampton Wanderers,2,1,2020-01-01,11852,2019,385529,0.2119183987379074,1,2,1,0.44372546672821045,0.5799694061279297,0.039693139493465424,Gerard Deulofeu
0,0,0,90,AML,Watford,Aston Villa,3,0,2019-12-28,11841,2019,372761,0.3063313364982605,0,6,0,0,0.3327679932117462,0.11852438747882843,Gerard Deulofeu
1,4,0.49911245703697205,90,AML,Sheffield United,Watford,1,1,2019-12-26,11830,2019,372582,0.09749861806631088,0,1,1,0.49911245703697205,0.4594055712223053,0,Gerard Deulofeu
0,1,0.11772105097770691,90,AML,Watford,Manchester United,2,0,2019-12-22,11821,2019,372126,0.14222142100334167,0,1,0,0.11772105097770691,0.30316030979156494,0.04321782663464546,Gerard Deulofeu
0,1,0.2758903205394745,90,AML,Liverpool,Watford,2,0,2019-12-14,11808,2019,369570,0,0,0,0,0.2758903205394745,0.4332854747772217,0.1573951691389084,Gerard Deulofeu
0,3,0.11181724816560745,90,FWL,Watford,Crystal Palace,0,0,2019-12-07,11801,2019,368393,0.74308180809021,0,3,0,0.11181724816560745,0.8662555813789368,0.07817796617746353,Gerard Deulofeu
0,0,0,79,FW,Leicester,Watford,2,0,2019-12-04,11785,2019,367631,0.1119663417339325,0,1,0,0,0.1119663417339325,0,Gerard Deulofeu
0,0,0,69,FW,Southampton,Watford,2,1,2019-11-30,11778,2019,366395,0,0,0,0,0,0,0,Gerard Deulofeu
0,3,0.19389885663986206,90,FW,Watford,Burnley,0,3,2019-11-23,11771,2019,364719,0.21452532708644867,0,4,0,0.19389885663986206,0.381550669670105,0.0992511510848999,Gerard Deulofeu
1,3,0.35711559653282166,73,FW,Norwich,Watford,0,2,2019-11-08,11757,2019,362827,0.14359702169895172,1,1,1,0.35711559653282166,0.5304025411605835,0.17328694462776184,Gerard Deulofeu
1,2,0.8065674901008606,90,FW,Watford,Chelsea,1,2,2019-11-02,11751,2019,361757,0.12244221568107605,0,2,0,0.04539862647652626,0.15540610253810883,0.06426273286342621,Gerard Deulofeu
0,2,0.39895951747894287,90,FW,Watford,Bournemouth,0,0,2019-10-26,11741,2019,359429,0,0,0,0,0.39895951747894287,0.36643117666244507,0,Gerard Deulofeu
0,3,0.20320187509059906,87,Sub,Tottenham,Watford,1,1,2019-10-19,11731,2019,357834,0.11755958944559097,0,1,0,0.20320187509059906,0.21984243392944336,0.11755958944559097,Gerard Deulofeu
0,0,0,31,Sub,Watford,Sheffield United,0,0,2019-10-05,11719,2019,356259,0.2612278461456299,0,1,0,0,0,0,Gerard Deulofeu
0,1,0.03818441554903984,51,FWL,Wolverhampton Wanderers,Watford,2,0,2019-09-28,11705,2019,354717,0.07362809777259827,0,1,0,0.03818441554903984,0.19152215123176575,0.07970964163541794,Gerard Deulofeu
0,3,0.24306049942970276,80,FW,Manchester City,Watford,8,0,2019-09-21,11695,2019,352293,0,0,0,0,0.24306049942970276,0.2035112828016281,0,Gerard Deulofeu
0,7,0.24930314719676971,90,AML,Watford,Arsenal,2,2,2019-09-15,11691,2019,349854,0.689337432384491,1,8,0,0.24930314719676971,1.1323496103286743,0.43239155411720276,Gerard Deulofeu
0,0,0,5,Sub,Newcastle United,Watford,1,1,2019-08-31,11679,2019,347564,0,0,0,0,0,0.040350522845983505,0.040350522845983505,Gerard Deulofeu
0,7,0.5014814734458923,78,AML,Watford,West Ham,1,3,2019-08-24,11667,2019,344073,0.07677055895328522,0,2,0,0.5014814734458923,1.6762125492095947,1.114411473274231,Gerard Deulofeu
0,0,0,81,FW,Everton,Watford,1,0,2019-08-17,11656,2019,341890,0.4413891136646271,0,2,0,0,0.4185620844364166,0,Gerard Deulofeu
0,1,0.029757287353277206,47,AMC,Watford,Brighton,0,3,2019-08-10,11648,2019,341295,0,0,0,0,0.029757287353277206,0.1097937673330307,0.08003648370504379,Gerard Deulofeu
