goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.02706790529191494,62,AMC,Crystal Palace,Tottenham,1,1,2020-07-26,12020,2019,411313,0.12868504226207733,1,3,0,0.02706790529191494,0.11358266323804855,0,Giovani Lo Celso
0,0,0,80,MC,Tottenham,Leicester,3,0,2020-07-19,12010,2019,409788,0.0474020279943943,0,1,0,0,0.4695342779159546,0.4221322536468506,Giovani Lo Celso
0,1,0.062265198677778244,66,AMC,Newcastle United,Tottenham,1,3,2020-07-15,12000,2019,408707,0.19650700688362122,1,2,0,0.062265198677778244,0.15758681297302246,0.015717171132564545,Giovani Lo Celso
0,1,0.024678504094481468,86,MC,Tottenham,Arsenal,2,1,2020-07-12,11990,2019,407992,0.07447440922260284,0,1,0,0.024678504094481468,0.11674167960882187,0.017588764429092407,Giovani Lo Celso
0,0,0,47,MC,Bournemouth,Tottenham,0,0,2020-07-09,11975,2019,407039,0,0,0,0,0,0.11838497966527939,0.11838497966527939,Giovani Lo Celso
0,1,0.07957535982131958,90,MC,Tottenham,Everton,1,0,2020-07-06,11971,2019,406129,0.031461603939533234,0,1,0,0.07957535982131958,0.2032042145729065,0.09216725826263428,Giovani Lo Celso
0,2,0.13990741968154907,90,DMC,Sheffield United,Tottenham,3,1,2020-07-02,11960,2019,404828,0.012171663343906403,0,1,0,0.13990741968154907,0.7551103234291077,0.6512612104415894,Giovani Lo Celso
0,0,0,90,DMC,Tottenham,West Ham,2,0,2020-06-23,11944,2019,402190,0.21173013746738434,0,3,0,0,0.8539724349975586,0.7076460123062134,Giovani Lo Celso
0,0,0,17,Sub,Tottenham,Manchester United,1,1,2020-06-19,11936,2019,400820,0,0,0,0,0,0.019950563088059425,0.019950563088059425,Giovani Lo Celso
0,2,0.049341436475515366,42,Sub,Burnley,Tottenham,1,1,2020-03-07,11924,2019,387804,0.025195535272359848,0,1,0,0.049341436475515366,0.20086030662059784,0.16715943813323975,Giovani Lo Celso
0,1,0.08684282004833221,90,MC,Tottenham,Wolverhampton Wanderers,2,3,2020-03-01,11920,2019,387595,0.14057543873786926,0,2,0,0.08684282004833221,0.28022462129592896,0.21832458674907684,Giovani Lo Celso
0,0,0,90,MR,Chelsea,Tottenham,2,1,2020-02-22,11906,2019,387144,0.045472219586372375,0,1,0,0,0.13650795817375183,0.13650795817375183,Giovani Lo Celso
0,2,0.10703293979167938,27,Sub,Aston Villa,Tottenham,2,3,2020-02-16,11894,2019,387039,0.33575212955474854,0,2,0,0.10703293979167938,0.14277514815330505,0,Giovani Lo Celso
0,0,0,90,DMC,Tottenham,Manchester City,2,0,2020-02-02,11890,2019,386827,0.0581556037068367,0,1,0,0,0.36325791478157043,0.30510228872299194,Giovani Lo Celso
0,0,0,90,DMC,Tottenham,Norwich,2,1,2020-01-22,11880,2019,386477,0.22802354395389557,0,4,0,0,1.1618627309799194,1.0458368062973022,Giovani Lo Celso
0,0,0,82,MC,Watford,Tottenham,0,0,2020-01-18,11871,2019,386028,0,0,0,0,0,0.6529980301856995,0.6529980301856995,Giovani Lo Celso
0,1,0.5545483231544495,18,Sub,Tottenham,Liverpool,0,1,2020-01-11,11854,2019,385939,0,0,0,0,0.5545483231544495,0.6342190504074097,0.07967071980237961,Giovani Lo Celso
0,1,0.0557020902633667,66,Sub,Southampton,Tottenham,1,0,2020-01-01,11851,2019,385574,0.01781083270907402,0,1,0,0.0557020902633667,0.0557020902633667,0,Giovani Lo Celso
0,2,0.0674934983253479,76,MC,Norwich,Tottenham,2,2,2019-12-28,11839,2019,372800,0.04105621576309204,0,1,0,0.0674934983253479,0.3070622384548187,0.1985125094652176,Giovani Lo Celso
0,0,0,32,Sub,Tottenham,Brighton,2,1,2019-12-26,11831,2019,372405,0,0,0,0,0,0.1207207664847374,0.1207207664847374,Giovani Lo Celso
0,0,0,2,Sub,Manchester United,Tottenham,2,1,2019-12-04,11788,2019,367743,0,0,0,0,0,0.01842801459133625,0.01842801459133625,Giovani Lo Celso
0,0,0,1,Sub,Tottenham,Bournemouth,3,2,2019-11-30,11779,2019,366245,0,0,0,0,0,0,0,Giovani Lo Celso
0,2,0.10461597144603729,90,AMR,Tottenham,Sheffield United,1,1,2019-11-09,11759,2019,363141,0.0754338800907135,0,2,0,0.10461597144603729,0.8359560370445251,0.7961088418960571,Giovani Lo Celso
0,0,0,15,Sub,Everton,Tottenham,1,1,2019-11-03,11748,2019,362358,0,0,0,0,0,0,0,Giovani Lo Celso
0,0,0,1,Sub,Liverpool,Tottenham,2,1,2019-10-27,11736,2019,360329,0,0,0,0,0,0.07020454108715057,0.07020454108715057,Giovani Lo Celso
0,0,0,9,Sub,Arsenal,Tottenham,2,2,2019-09-01,11682,2019,348118,0,0,0,0,0,0,0,Giovani Lo Celso
0,1,0.020456328988075256,25,Sub,Tottenham,Newcastle United,0,1,2019-08-25,11672,2019,344713,0.03738454356789589,0,2,0,0.020456328988075256,0.14320862293243408,0.08536774665117264,Giovani Lo Celso
0,0,0,3,Sub,Manchester City,Tottenham,2,2,2019-08-17,11659,2019,342142,0,0,0,0,0,0,0,Giovani Lo Celso
