goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.11233773082494736,14,Sub,Leicester,Manchester United,0,2,2020-07-26,12018,2019,411484,0,0,0,0,0.11233773082494736,0.11233773082494736,0,Harvey Barnes
0,1,0.035068951547145844,86,FWL,Tottenham,Leicester,3,0,2020-07-19,12010,2019,409808,0.03154747933149338,0,1,0,0.035068951547145844,0.3379707932472229,0.30290186405181885,Harvey Barnes
0,3,1.1399447917938232,78,FWL,Leicester,Sheffield United,2,0,2020-07-16,11998,2019,409123,0.014429239556193352,0,1,0,1.1399447917938232,1.4692809581756592,0.3293361961841583,Harvey Barnes
0,1,0.09384339302778244,14,Sub,Bournemouth,Leicester,4,1,2020-07-12,11984,2019,408225,0,0,0,0,0.09384339302778244,0.09384339302778244,0,Harvey Barnes
0,2,0.03976850211620331,27,Sub,Arsenal,Leicester,1,1,2020-07-07,11973,2019,406392,0,0,0,0,0.03976850211620331,0.5961959958076477,0.5564274787902832,Harvey Barnes
0,0,0,12,Sub,Leicester,Crystal Palace,3,0,2020-07-04,11965,2019,405167,0.7247501015663147,2,2,0,0,0.7247501015663147,0,Harvey Barnes
0,1,0.015754984691739082,49,ML,Everton,Leicester,2,1,2020-07-01,11958,2019,404337,0,0,0,0,0.015754984691739082,0.015754984691739082,0,Harvey Barnes
0,0,0,15,Sub,Leicester,Brighton,0,0,2020-06-23,11945,2019,402041,0,0,0,0,0,0.01860755681991577,0.01860755681991577,Harvey Barnes
0,1,0.03377855196595192,68,ML,Watford,Leicester,1,1,2020-06-20,11935,2019,400922,0,0,0,0,0.03377855196595192,0.05202089622616768,0.01824234426021576,Harvey Barnes
2,4,0.6703269481658936,90,ML,Leicester,Aston Villa,4,0,2020-03-09,11927,2019,387872,0.02136494405567646,0,1,2,0.6703269481658936,0.8297962546348572,0.20260393619537354,Harvey Barnes
0,4,0.164217010140419,90,ML,Norwich,Leicester,1,0,2020-02-28,11919,2019,387423,0.2613011300563812,0,4,0,0.164217010140419,0.4316750764846802,0.19404667615890503,Harvey Barnes
0,0,0,42,Sub,Leicester,Manchester City,0,1,2020-02-22,11904,2019,387274,0,0,0,0,0,0.13563187420368195,0.13563187420368195,Harvey Barnes
0,1,0.07998254150152206,90,ML,Wolverhampton Wanderers,Leicester,0,0,2020-02-14,11902,2019,386955,0,0,0,0,0.07998254150152206,0.10308978706598282,0.023107245564460754,Harvey Barnes
1,4,0.7077667713165283,90,ML,Leicester,Chelsea,2,2,2020-02-01,11886,2019,386587,0.06837084889411926,0,1,1,0.7077667713165283,0.8572187423706055,0.14945200085639954,Harvey Barnes
1,2,1.0985690355300903,88,ML,Leicester,West Ham,4,1,2020-01-22,11876,2019,386454,0.343705415725708,1,4,1,1.0985690355300903,1.5961086750030518,0.29819804430007935,Harvey Barnes
1,3,0.5521820187568665,90,ML,Burnley,Leicester,2,1,2020-01-19,11866,2019,386247,0.21740905940532684,0,3,1,0.5521820187568665,0.9172787666320801,0.16244973242282867,Harvey Barnes
0,1,0.02732631005346775,60,ML,Leicester,Southampton,1,2,2020-01-11,11861,2019,385857,0,0,0,0,0.02732631005346775,0.02732631005346775,0,Harvey Barnes
0,1,0.07756823301315308,4,Sub,West Ham,Leicester,1,2,2019-12-28,11842,2019,372834,0.08262740075588226,0,1,0,0.07756823301315308,0.16019563376903534,0,Harvey Barnes
0,0,0,59,MR,Leicester,Liverpool,0,4,2019-12-26,11828,2019,372621,0.04115528240799904,0,1,0,0,0.04115528240799904,0,Harvey Barnes
0,1,0.5260995030403137,66,ML,Manchester City,Leicester,3,1,2019-12-21,11817,2019,371640,0.26358768343925476,1,1,0,0.5260995030403137,0.8153551816940308,0.025667963549494743,Harvey Barnes
0,3,0.12176781892776489,39,Sub,Leicester,Norwich,1,1,2019-12-14,11807,2019,369806,0,0,0,0,0.12176781892776489,0.0806238204240799,0,Harvey Barnes
0,3,1.0599302053451538,23,Sub,Aston Villa,Leicester,1,4,2019-12-08,11793,2019,369074,0,0,0,0,1.0599302053451538,1.1710609197616577,0.11113065481185913,Harvey Barnes
0,3,0.6253706812858582,82,ML,Leicester,Watford,2,0,2019-12-04,11785,2019,367617,0,0,0,0,0.6253706812858582,0.7811761498451233,0.35810577869415283,Harvey Barnes
0,0,0,84,ML,Leicester,Everton,2,1,2019-12-01,11775,2019,367039,0,0,0,0,0,0.16388623416423798,0.16388623416423798,Harvey Barnes
0,4,0.29424920678138733,79,ML,Brighton,Leicester,0,2,2019-11-23,11766,2019,364759,0.39997798204421997,0,2,0,0.29424920678138733,1.1107494831085205,0.7492910623550415,Harvey Barnes
0,2,0.1653374880552292,74,ML,Leicester,Arsenal,2,0,2019-11-09,11762,2019,363309,0.0450107604265213,0,1,0,0.1653374880552292,0.8483572602272034,0.6380090117454529,Harvey Barnes
0,1,0.060703448951244354,86,ML,Crystal Palace,Leicester,0,2,2019-11-03,11747,2019,362132,0,0,0,0,0.060703448951244354,0.17608875036239624,0.11538530141115189,Harvey Barnes
0,3,0.23012393712997437,74,ML,Southampton,Leicester,0,9,2019-10-25,11740,2019,359108,0.6681907176971436,1,4,0,0.23012393712997437,1.610519528388977,0.9160059690475464,Harvey Barnes
0,4,0.15723128616809845,80,ML,Leicester,Burnley,2,1,2019-10-19,11728,2019,357845,0.17989496886730194,2,3,0,0.15723128616809845,0.41133788228034973,0.13770867884159088,Harvey Barnes
0,0,0,48,MR,Liverpool,Leicester,2,1,2019-10-05,11715,2019,356211,0,0,0,0,0,0,0,Harvey Barnes
0,1,0.05622342973947525,61,ML,Leicester,Newcastle United,5,0,2019-09-29,11710,2019,355507,0.6065820455551147,1,2,0,0.05622342973947525,0.8288958668708801,0.7134290337562561,Harvey Barnes
0,3,0.2460220456123352,85,ML,Leicester,Tottenham,2,1,2019-09-21,11694,2019,352027,0.08330082893371582,0,2,0,0.2460220456123352,0.395036906003952,0.08380921930074692,Harvey Barnes
0,0,0,20,Sub,Manchester United,Leicester,1,0,2019-09-14,11684,2019,349035,0,0,0,0,0,0,0,Harvey Barnes
0,1,0.04628530144691467,74,ML,Leicester,Bournemouth,3,1,2019-08-31,11677,2019,347491,0.03222838416695595,0,1,0,0.04628530144691467,0.07851368188858032,0,Harvey Barnes
1,1,0.02524409629404545,25,Sub,Sheffield United,Leicester,1,2,2019-08-24,11665,2019,344035,0,0,0,1,0.02524409629404545,0,0,Harvey Barnes
0,1,0.01759561151266098,28,Sub,Leicester,Wolverhampton Wanderers,0,0,2019-08-11,11651,2019,341550,0,0,0,0,0.01759561151266098,0.10194521397352219,0.0843496024608612,Harvey Barnes
