goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.05888017639517784,86,DMR,Tottenham,Arsenal,2,1,2020-07-12,11990,2019,408004,0.04459459334611893,0,1,0,0.05888017639517784,0.1766686886548996,0.13207408785820007,Héctor Bellerín
0,1,0.08088469505310059,90,DMR,Arsenal,Leicester,1,1,2020-07-07,11973,2019,406367,0.27258816361427307,0,1,0,0.08088469505310059,0.8577165603637695,0.5042437314987183,Héctor Bellerín
0,0,0,12,Sub,Wolverhampton Wanderers,Arsenal,0,2,2020-07-04,11972,2019,405330,0,0,0,0,0,0,0,Héctor Bellerín
0,0,0,79,DMR,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404409,0,0,0,0,0,0.053304895758628845,0.053304895758628845,Héctor Bellerín
0,1,0.0879654735326767,90,DR,Southampton,Arsenal,0,2,2020-06-25,11952,2019,402657,0,0,0,0,0.0879654735326767,0.12429627031087875,0.03633079677820206,Héctor Bellerín
0,0,0,90,DR,Brighton,Arsenal,2,1,2020-06-20,11941,2019,401283,0,0,0,0,0,0,0,Héctor Bellerín
0,0,0,90,DR,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400552,0,0,0,0,0,0.10939304530620575,0.10939304530620575,Héctor Bellerín
0,0,0,1,Sub,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387764,0,0,0,0,0,0,0,Héctor Bellerín
0,1,0.045410990715026855,90,DR,Arsenal,Everton,3,2,2020-02-23,11903,2019,387346,0,0,0,0,0.045410990715026855,0.613815426826477,0.5684044361114502,Héctor Bellerín
0,0,0,90,DR,Arsenal,Newcastle United,4,0,2020-02-16,11893,2019,387043,0,0,0,0,0,0.7850885391235352,0.7850885391235352,Héctor Bellerín
0,1,0.0870005264878273,90,DR,Burnley,Arsenal,0,0,2020-02-02,11884,2019,386809,0,0,0,0,0.0870005264878273,1.1310218572616577,1.1310218572616577,Héctor Bellerín
1,1,0.035346582531929016,90,DR,Chelsea,Arsenal,2,2,2020-01-21,11881,2019,386432,0,0,0,1,0.035346582531929016,0.035346582531929016,0,Héctor Bellerín
0,0,0,90,DR,Arsenal,Brighton,1,2,2019-12-05,11783,2019,367831,0,0,0,0,0,0.06594338268041611,0.06594338268041611,Héctor Bellerín
0,0,0,86,MR,Arsenal,Southampton,2,2,2019-11-23,11763,2019,364824,0,0,0,0,0,0,0,Héctor Bellerín
0,1,0.03701617196202278,90,MR,Leicester,Arsenal,2,0,2019-11-09,11762,2019,363317,0.13279984891414642,0,1,0,0.03701617196202278,0.23776549100875854,0.06794946640729904,Héctor Bellerín
