goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
1,4,0.2470487505197525,90,ML,West Ham,Aston Villa,1,1,2020-07-26,12013,2019,411465,0.03760701045393944,0,1,1,0.2470487505197525,0.3591059744358063,0.18424604833126068,Jack Grealish
0,1,0.021080465987324715,90,FWL,Aston Villa,Arsenal,1,0,2020-07-21,12003,2019,410517,0.3559814989566803,0,3,0,0.021080465987324715,0.3543385863304138,0,Jack Grealish
0,5,0.17720316350460052,90,FWL,Everton,Aston Villa,1,1,2020-07-16,11997,2019,409110,0.3819155991077423,0,2,0,0.17720316350460052,0.6020264029502869,0.10061382502317429,Jack Grealish
0,2,0.12573860585689545,90,FWL,Aston Villa,Crystal Palace,2,0,2020-07-12,11983,2019,407818,0.07468461990356445,0,3,0,0.12573860585689545,0.18304871022701263,0.025256536900997162,Jack Grealish
0,2,0.07554712146520615,90,AMC,Aston Villa,Manchester United,0,3,2020-07-09,11974,2019,407179,0,0,0,0,0.07554712146520615,0.11209934204816818,0.03655221685767174,Jack Grealish
0,2,0.34440097212791443,90,MC,Liverpool,Aston Villa,2,0,2020-07-05,11966,2019,405776,0.10346417129039764,0,2,0,0.34440097212791443,0.4822203516960144,0.07616980373859406,Jack Grealish
0,2,0.08528944104909897,90,AMC,Aston Villa,Wolverhampton Wanderers,0,1,2020-06-27,11954,2019,402913,0.09305062890052795,0,3,0,0.08528944104909897,0.18713144958019257,0.14832770824432373,Jack Grealish
0,0,0,90,MC,Newcastle United,Aston Villa,1,1,2020-06-24,11949,2019,402416,0.19822613894939423,0,4,0,0,0.5396184325218201,0.47349387407302856,Jack Grealish
0,0,0,90,FWL,Aston Villa,Chelsea,1,2,2020-06-21,11933,2019,401668,0.04586518928408623,0,1,0,0,0,0,Jack Grealish
0,0,0,90,FWL,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400332,0.14886246621608734,0,3,0,0,0.051637496799230576,0,Jack Grealish
0,0,0,90,ML,Leicester,Aston Villa,4,0,2020-03-09,11927,2019,387886,0,0,0,0,0,0.18647314608097076,0.18647314608097076,Jack Grealish
0,1,0.0390281155705452,90,AMC,Southampton,Aston Villa,2,0,2020-02-22,11908,2019,387257,0.30448150634765625,0,1,0,0.0390281155705452,0.34350961446762085,0.30448150634765625,Jack Grealish
0,3,0.1769437938928604,90,FWL,Aston Villa,Tottenham,2,3,2020-02-16,11894,2019,387024,0.9644492864608765,1,5,0,0.1769437938928604,0.6694148778915405,0.07595192641019821,Jack Grealish
