,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
31,0,4,0.7365666031837463,82,FW,Burnley,Brighton,1,2,2020-07-26,12022,2019,411241,0,0,0,0,0.7365666031837463,0.13680829107761383,0,Jay Rodriguez
32,0,6,0.4305437207221985,90,FW,Norwich,Burnley,0,2,2020-07-18,12008,2019,409688,0,0,0,0,0.4305437207221985,0.3605354130268097,0.039165496826171875,Jay Rodriguez
33,0,2,0.1498127430677414,53,FW,Burnley,Wolverhampton Wanderers,1,1,2020-07-15,11994,2019,408634,0.02525482513010502,0,1,0,0.1498127430677414,0.17506755888462067,0,Jay Rodriguez
34,1,3,0.14808443188667297,90,FW,Liverpool,Burnley,1,1,2020-07-11,11986,2019,407439,0,0,0,1,0.14808443188667297,0.08680582046508789,0,Jay Rodriguez
35,1,1,0.10052355378866196,90,FW,West Ham,Burnley,0,1,2020-07-08,11982,2019,406538,0.032617054879665375,0,1,1,0.10052355378866196,0.29337966442108154,0.1602390557527542,Jay Rodriguez
36,0,2,0.07007090002298355,90,FW,Burnley,Sheffield United,1,1,2020-07-05,11963,2019,405554,0.5690093040466309,1,1,0,0.07007090002298355,0.508251965045929,0.438181072473526,Jay Rodriguez
37,1,4,0.538075864315033,82,FW,Burnley,Watford,1,0,2020-06-25,11943,2019,402681,0,0,0,1,0.538075864315033,0.851810872554779,0.3137350082397461,Jay Rodriguez
38,0,0,0,65,FW,Manchester City,Burnley,5,0,2020-06-22,11939,2019,401962,0,0,0,0,0,0,0,Jay Rodriguez
39,0,4,0.654055655002594,70,FW,Burnley,Tottenham,1,1,2020-03-07,11924,2019,387790,0,0,0,0,0.654055655002594,0.1068301722407341,0.033873848617076874,Jay Rodriguez
40,0,3,0.4178145229816437,90,FW,Newcastle United,Burnley,0,0,2020-02-29,11918,2019,387477,0,0,0,0,0.4178145229816437,0.38212713599205017,0.04120101034641266,Jay Rodriguez
41,1,5,1.1829195022583008,90,FW,Burnley,Bournemouth,3,0,2020-02-22,11907,2019,387216,0.02909279614686966,0,1,0,0.42175060510635376,0.3890010714530945,0.02909279614686966,Jay Rodriguez
42,0,3,0.5562435388565063,90,FW,Southampton,Burnley,1,2,2020-02-15,11901,2019,386984,0,0,0,0,0.5562435388565063,0.5562435388565063,0,Jay Rodriguez
43,0,4,0.6992723345756531,90,FW,Burnley,Arsenal,0,0,2020-02-02,11884,2019,386807,0,0,0,0,0.6992723345756531,0.6429073810577393,0,Jay Rodriguez
44,1,1,0.056976377964019775,90,FW,Manchester United,Burnley,0,2,2020-01-22,11879,2019,386524,0,0,0,1,0.056976377964019775,0.056976377964019775,0,Jay Rodriguez
45,0,1,0.009812398813664913,90,FW,Burnley,Leicester,2,1,2020-01-19,11866,2019,386236,0,0,0,0,0.009812398813664913,0.009812398813664913,0,Jay Rodriguez
