,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
33,0,2,0.17469815909862518,90,FW,Crystal Palace,Tottenham,1,1,2020-07-26,12020,2019,411301,0.5299330353736877,1,3,0,0.17469815909862518,0.18746158480644226,0.08460979163646698,Jordan Ayew
34,0,1,0.0978129506111145,90,FW,Wolverhampton Wanderers,Crystal Palace,2,0,2020-07-20,12012,2019,410413,0.03313686326146126,0,1,0,0.0978129506111145,0.13094981014728546,0.03313686326146126,Jordan Ayew
35,0,2,0.10641588270664215,90,FW,Crystal Palace,Manchester United,0,2,2020-07-16,11996,2019,409492,0.03430955484509468,0,1,0,0.10641588270664215,0.2116752564907074,0.14559021592140198,Jordan Ayew
36,0,0,0,72,ML,Aston Villa,Crystal Palace,2,0,2020-07-12,11983,2019,407832,0.08509370684623718,0,1,0,0,0.1945829838514328,0.1945829838514328,Jordan Ayew
37,0,1,0.09718794375658035,84,ML,Crystal Palace,Chelsea,2,3,2020-07-07,11977,2019,406250,0,0,0,0,0.09718794375658035,0.8140050172805786,0.8140050172805786,Jordan Ayew
38,0,1,0.040787678211927414,90,MR,Leicester,Crystal Palace,3,0,2020-07-04,11965,2019,405175,0,0,0,0,0.040787678211927414,0.040787678211927414,0,Jordan Ayew
39,0,4,0.4457647204399109,90,FW,Crystal Palace,Burnley,0,1,2020-06-29,11957,2019,403931,0.10773996263742447,0,1,0,0.4457647204399109,0.07315538078546524,0,Jordan Ayew
40,0,0,0,86,FW,Liverpool,Crystal Palace,4,0,2020-06-24,11951,2019,402543,0.023432796820998192,0,1,0,0,0.03964511677622795,0.01621231995522976,Jordan Ayew
41,1,1,0.4005964398384094,90,FWR,Bournemouth,Crystal Palace,0,2,2020-06-20,11942,2019,401470,0.06757227331399918,0,1,1,0.4005964398384094,0.4350132346153259,0.03441678732633591,Jordan Ayew
42,1,3,0.21903851628303528,90,FWR,Crystal Palace,Watford,1,0,2020-03-07,11926,2019,387652,0,0,0,1,0.21903851628303528,0.2378273755311966,0.038667649030685425,Jordan Ayew
43,1,1,0.31214118003845215,90,ML,Brighton,Crystal Palace,0,1,2020-02-29,11915,2019,387451,0.01755502074956894,0,1,1,0.31214118003845215,0.3296962082386017,0,Jordan Ayew
44,0,7,0.4227743148803711,90,FWR,Crystal Palace,Newcastle United,1,0,2020-02-22,11905,2019,387188,0,0,0,0,0.4227743148803711,0.37749534845352173,0.0655592828989029,Jordan Ayew
45,0,0,0,90,MR,Everton,Crystal Palace,3,1,2020-02-08,11897,2019,386870,0,0,0,0,0,0.045666228979825974,0.045666228979825974,Jordan Ayew
46,0,0,0,90,MR,Crystal Palace,Sheffield United,0,1,2020-02-01,11885,2019,386693,0.12340272217988968,0,2,0,0,0.12340272217988968,0.026221588253974915,Jordan Ayew
47,0,1,0.11330186575651169,90,MR,Crystal Palace,Southampton,0,2,2020-01-21,11882,2019,386312,0.3298039436340332,0,1,0,0.11330186575651169,0.4431058168411255,0,Jordan Ayew
48,0,0,0,90,MR,Manchester City,Crystal Palace,2,2,2020-01-18,11864,2019,386055,0,0,0,0,0,0.16390959918498993,0.16390959918498993,Jordan Ayew
49,1,1,0.0892941951751709,90,FW,Crystal Palace,Arsenal,1,1,2020-01-11,11859,2019,385778,0.023662332445383072,0,1,1,0.0892941951751709,0.023662332445383072,0,Jordan Ayew
50,0,2,0.11049343645572662,90,FW,Norwich,Crystal Palace,1,1,2020-01-01,11850,2019,385654,0.016875026747584343,0,1,0,0.11049343645572662,0.14688678085803986,0.019518323242664337,Jordan Ayew
51,0,1,0.03763863816857338,90,FW,Southampton,Crystal Palace,1,1,2019-12-28,11840,2019,372750,0,0,0,0,0.03763863816857338,0.03763863816857338,0,Jordan Ayew
52,1,3,0.9946569204330444,90,FW,Crystal Palace,West Ham,2,1,2019-12-26,11826,2019,372486,0.7410606741905212,1,3,1,0.9946569204330444,1.712857723236084,0,Jordan Ayew
53,0,1,0.016443079337477684,90,FWR,Newcastle United,Crystal Palace,1,0,2019-12-21,11818,2019,371502,0.226056769490242,0,4,0,0.016443079337477684,0.5771674513816833,0.43285322189331055,Jordan Ayew
54,0,1,0.06678923219442368,90,FWR,Crystal Palace,Brighton,1,1,2019-12-16,11806,2019,370771,0.050707969814538956,0,1,0,0.06678923219442368,0.1787097007036209,0.12800173461437225,Jordan Ayew
