goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,90,DC,Newcastle United,Liverpool,1,3,2020-07-26,12016,2019,411400,0,0,0,0,0,0.25918370485305786,0.25918370485305786,Joseph Gomez
0,0,0,90,DC,Liverpool,Chelsea,5,3,2020-07-22,12006,2019,410838,0,0,0,0,0,0.5037288069725037,0.5037288069725037,Joseph Gomez
0,0,0,90,DC,Arsenal,Liverpool,2,1,2020-07-15,11993,2019,408856,0.041912052780389786,0,1,0,0,0.41642728447914124,0.37451523542404175,Joseph Gomez
0,0,0,90,DC,Liverpool,Burnley,1,1,2020-07-11,11986,2019,407418,0,0,0,0,0,0.30513423681259155,0.30513423681259155,Joseph Gomez
0,0,0,90,DC,Brighton,Liverpool,1,3,2020-07-08,11976,2019,406794,0,0,0,0,0,0.18455292284488678,0.18455292284488678,Joseph Gomez
0,0,0,90,DC,Liverpool,Aston Villa,2,0,2020-07-05,11966,2019,405757,0,0,0,0,0,0.9262128472328186,0.9262128472328186,Joseph Gomez
0,0,0,49,DC,Manchester City,Liverpool,4,0,2020-07-02,11959,2019,404950,0,0,0,0,0,0.1235065907239914,0.1235065907239914,Joseph Gomez
0,0,0,90,DC,Liverpool,Crystal Palace,4,0,2020-06-24,11951,2019,402520,0,0,0,0,0,1.0265532732009888,1.0265532732009888,Joseph Gomez
0,0,0,48,Sub,Everton,Liverpool,0,0,2020-06-21,11940,2019,401780,0,0,0,0,0,0.07866119593381882,0.07866119593381882,Joseph Gomez
0,0,0,90,DC,Liverpool,Bournemouth,2,1,2020-03-07,11928,2019,387620,0,0,0,0,0,0.4457674026489258,0.4457674026489258,Joseph Gomez
0,1,0.018379155546426773,90,DC,Liverpool,West Ham,3,2,2020-02-24,11911,2019,387376,0,0,0,0,0.018379155546426773,0.22624854743480682,0.20786938071250916,Joseph Gomez
0,0,0,90,DC,Norwich,Liverpool,0,1,2020-02-15,11899,2019,387003,0,0,0,0,0,0.11156285554170609,0.11156285554170609,Joseph Gomez
0,0,0,90,DC,Liverpool,Southampton,4,0,2020-02-01,11887,2019,386744,0,0,0,0,0,0.1525898426771164,0.1525898426771164,Joseph Gomez
0,0,0,90,DC,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386567,0,0,0,0,0,0.11454663425683975,0.11454663425683975,Joseph Gomez
0,0,0,90,DC,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386541,0,0,0,0,0,0,0,Joseph Gomez
0,0,0,90,DC,Liverpool,Manchester United,2,0,2020-01-19,11865,2019,386254,0,0,0,0,0,0.1547209769487381,0.1547209769487381,Joseph Gomez
0,0,0,90,DC,Tottenham,Liverpool,0,1,2020-01-11,11854,2019,385943,0,0,0,0,0,0.10651008784770966,0.10651008784770966,Joseph Gomez
0,0,0,90,DC,Liverpool,Sheffield United,2,0,2020-01-02,11847,2019,385715,0,0,0,0,0,0.2748410105705261,0.2748410105705261,Joseph Gomez
0,0,0,90,DC,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29,11836,2019,372894,0,0,0,0,0,1.089500904083252,1.089500904083252,Joseph Gomez
0,0,0,90,DC,Leicester,Liverpool,0,4,2019-12-26,11828,2019,372632,0.02398870326578617,0,1,0,0,0.4523395001888275,0.4283508062362671,Joseph Gomez
0,0,0,90,DC,Liverpool,Watford,2,0,2019-12-14,11808,2019,369550,0,0,0,0,0,0.20985443890094757,0.20985443890094757,Joseph Gomez
0,0,0,90,DR,Bournemouth,Liverpool,0,3,2019-12-07,11794,2019,368343,0.07562977075576782,0,2,0,0,1.0220247507095337,0.9546523690223694,Joseph Gomez
0,0,0,4,Sub,Liverpool,Everton,5,2,2019-12-04,11792,2019,367786,0,0,0,0,0,0.16970974206924438,0.16970974206924438,Joseph Gomez
0,0,0,1,Sub,Crystal Palace,Liverpool,1,2,2019-11-23,11767,2019,364790,0,0,0,0,0,0.0941171944141388,0.0941171944141388,Joseph Gomez
0,0,0,1,Sub,Liverpool,Manchester City,3,1,2019-11-10,11755,2019,364058,0,0,0,0,0,0,0,Joseph Gomez
0,0,0,2,Sub,Liverpool,Tottenham,2,1,2019-10-27,11736,2019,360317,0,0,0,0,0,0,0,Joseph Gomez
0,0,0,1,Sub,Chelsea,Liverpool,1,2,2019-09-22,11701,2019,353135,0,0,0,0,0,0,0,Joseph Gomez
0,0,0,90,DC,Liverpool,Norwich,4,1,2019-08-09,11643,2019,341155,0.02203359641134739,0,1,0,0,0.02203359641134739,0,Joseph Gomez
