goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
1,2,0.8015587329864502,90,ML,Everton,Bournemouth,1,3,2020-07-26,12019,2019,411344,0.3299254775047302,1,2,0,0.04046409949660301,0.11980723589658737,0.06379146128892899,Joshua King
0,0,0,71,FW,Bournemouth,Southampton,0,2,2020-07-19,12004,2019,409762,0.0703195333480835,0,1,0,0,0.0703195333480835,0,Joshua King
0,2,0.11501007527112961,79,ML,Manchester City,Bournemouth,2,1,2020-07-15,11999,2019,408678,0,0,0,0,0.11501007527112961,0.6324756145477295,0.5578606724739075,Joshua King
0,1,0.04425426572561264,90,FW,Bournemouth,Tottenham,0,0,2020-07-09,11975,2019,407030,0.5775204300880432,0,2,0,0.04425426572561264,0.5775204300880432,0,Joshua King
1,1,0.7611688375473022,90,FW,Manchester United,Bournemouth,5,2,2020-07-04,11967,2019,405147,0.37975114583969116,1,2,0,0,0.37975114583969116,0,Joshua King
0,1,0.05656526982784271,90,FW,Bournemouth,Newcastle United,1,4,2020-07-01,11955,2019,404382,0.015260625630617142,0,1,0,0.05656526982784271,0.07772655785083771,0.062465932220220566,Joshua King
0,1,0.016872059553861618,51,ML,Bournemouth,Crystal Palace,0,2,2020-06-20,11942,2019,401457,0,0,0,0,0.016872059553861618,0.016872059553861618,0,Joshua King
1,1,0.8364960551261902,69,FWL,Bournemouth,Chelsea,2,2,2020-02-29,11914,2019,387489,0.051167313009500504,0,1,1,0.8364960551261902,1.0556405782699585,0.16797713935375214,Joshua King
0,0,0,71,FWL,Burnley,Bournemouth,3,0,2020-02-22,11907,2019,387230,0.8328660726547241,0,3,0,0,0.36019331216812134,0.05701126903295517,Joshua King
0,0,0,15,Sub,Sheffield United,Bournemouth,2,1,2020-02-09,11900,2019,386929,0,0,0,0,0,0,0,Joshua King
0,1,0.04515501484274864,74,FW,Brighton,Bournemouth,2,0,2019-12-28,11834,2019,372694,0.11463005095720291,0,1,0,0.04515501484274864,0.15978506207466125,0,Joshua King
0,1,0.20411896705627441,67,ML,Bournemouth,Arsenal,1,1,2019-12-26,11824,2019,372431,0,0,0,0,0.20411896705627441,0.5148328542709351,0.31071385741233826,Joshua King
0,0,0,90,FW,Bournemouth,Burnley,0,1,2019-12-21,11814,2019,371435,0,0,0,0,0,0.0186663419008255,0.0186663419008255,Joshua King
0,2,0.25625303387641907,77,FW,Chelsea,Bournemouth,0,1,2019-12-14,11805,2019,369765,0.06344583630561829,0,1,0,0.25625303387641907,0.31969887018203735,0,Joshua King
0,2,0.691317617893219,90,FW,Newcastle United,Bournemouth,2,1,2019-11-09,11756,2019,363212,0.05789313092827797,0,1,0,0.691317617893219,0.13099880516529083,0.016952360048890114,Joshua King
1,2,1.2484220266342163,90,FW,Bournemouth,Manchester United,1,0,2019-11-02,11745,2019,361257,0.07646617293357849,0,1,1,1.2484220266342163,1.414229154586792,0.08934091031551361,Joshua King
0,1,0.04897158592939377,90,FW,Watford,Bournemouth,0,0,2019-10-26,11741,2019,359442,0.33513450622558594,0,2,0,0.04897158592939377,0.3841060996055603,0,Joshua King
0,0,0,27,Sub,Bournemouth,Norwich,0,0,2019-10-19,11724,2019,357930,0.06057972460985184,0,2,0,0,0.06057972460985184,0,Joshua King
0,1,0.02540065534412861,90,ML,Arsenal,Bournemouth,1,0,2019-10-06,11722,2019,356937,0.016168419271707535,0,1,0,0.02540065534412861,0.016168419271707535,0,Joshua King
1,1,0.4102705121040344,90,ML,Bournemouth,West Ham,2,2,2019-09-28,11707,2019,354589,0.34655675292015076,1,1,1,0.4102705121040344,0.34655675292015076,0.34655675292015076,Joshua King
0,1,0.04974799603223801,90,ML,Southampton,Bournemouth,1,3,2019-09-20,11693,2019,351928,0,0,0,0,0.04974799603223801,0.40781018137931824,0.35806217789649963,Joshua King
0,1,0.02501874603331089,90,ML,Bournemouth,Everton,3,1,2019-09-15,11690,2019,349629,0.6575824618339539,1,4,0,0.02501874603331089,0.13317686319351196,0,Joshua King
0,0,0,82,FW,Leicester,Bournemouth,3,1,2019-08-31,11677,2019,347505,0.033732809126377106,0,2,0,0,0.34298670291900635,0.3274158239364624,Joshua King
0,1,0.032616984099149704,90,MR,Bournemouth,Manchester City,1,3,2019-08-25,11671,2019,344486,0.08005651831626892,0,1,0,0.032616984099149704,0.5779089331626892,0.4652354419231415,Joshua King
1,2,0.8370158672332764,90,AMC,Aston Villa,Bournemouth,1,2,2019-08-17,11654,2019,341835,0,0,0,0,0.07584700733423233,0.2555399537086487,0.17969293892383575,Joshua King
0,1,0.02785542607307434,90,AMC,Bournemouth,Sheffield United,1,1,2019-08-10,11645,2019,341216,0.03404170274734497,0,1,0,0.02785542607307434,0,0,Joshua King
