goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,8,Sub,Hoffenheim,Eintracht Frankfurt,1,2,2020-01-18,12557,2019,397700,0,0,0,0,0,0,0,Jürgen Locadia
0,1,0.5775130987167358,25,Sub,Hoffenheim,Borussia Dortmund,2,1,2019-12-20,12549,2019,371133,0,0,0,0,0.5775130987167358,0.5967021584510803,0.019189024344086647,Jürgen Locadia
1,3,0.4122849702835083,28,Sub,Hoffenheim,Augsburg,2,4,2019-12-13,12531,2019,369449,0,0,0,1,0.4122849702835083,0.45640408992767334,0.04411910101771355,Jürgen Locadia
0,2,0.1899777203798294,61,FW,Hoffenheim,Fortuna Duesseldorf,1,1,2019-11-30,12518,2019,366132,0,0,0,0,0.1899777203798294,0.5295887589454651,0.3396110236644745,Jürgen Locadia
0,3,0.3556629419326782,90,FW,Hoffenheim,Mainz 05,1,5,2019-11-24,12506,2019,365606,0,0,0,0,0.3556629419326782,0.058975543826818466,0,Jürgen Locadia
1,3,0.9079352021217346,90,FW,FC Cologne,Hoffenheim,1,2,2019-11-08,12498,2019,362716,0.032204993069171906,0,2,0,0.15015849471092224,0.2466602921485901,0.06429679691791534,Jürgen Locadia
1,1,0.22610434889793396,69,FW,Hoffenheim,Paderborn,3,0,2019-11-01,12489,2019,361123,0,0,0,1,0.22610434889793396,0.7074272632598877,0.48132291436195374,Jürgen Locadia
1,2,0.4831989109516144,62,FW,Hertha Berlin,Hoffenheim,2,3,2019-10-26,12482,2019,359275,0,0,0,1,0.4831989109516144,0.4831989109516144,0,Jürgen Locadia
0,1,0.011120844632387161,22,Sub,Hoffenheim,Borussia M.Gladbach,0,3,2019-09-28,12453,2019,354427,0,0,0,0,0.011120844632387161,0.011120844632387161,0,Jürgen Locadia
0,3,0.10468722134828568,43,Sub,Hoffenheim,Freiburg,0,3,2019-09-15,12437,2019,349774,0.02187197469174862,0,1,0,0.10468722134828568,0.13717180490493774,0.13717180490493774,Jürgen Locadia
0,1,0.05894821137189865,24,Sub,Bayer Leverkusen,Hoffenheim,0,0,2019-08-31,12426,2019,347314,0,0,0,0,0.05894821137189865,0.05894821137189865,0,Jürgen Locadia
0,1,0.34161651134490967,19,Sub,Brighton,Southampton,0,2,2019-08-24,11666,2019,344048,0,0,0,0,0.34161651134490967,0.022537758573889732,0.022537758573889732,Jürgen Locadia
0,1,0.05808527395129204,65,FWL,Watford,Brighton,0,3,2019-08-10,11648,2019,341311,0,0,0,0,0.05808527395129204,0.07916262000799179,0.021077346056699753,Jürgen Locadia
