goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,90,DC,Chelsea,Wolverhampton Wanderers,2,0,2020-07-26,12021,2019,411261,0,0,0,0,0,0.10532858967781067,0.10532858967781067,Kurt Zouma
0,0,0,90,DC,Liverpool,Chelsea,5,3,2020-07-22,12006,2019,410852,0,0,0,0,0,1.426956295967102,1.426956295967102,Kurt Zouma
0,1,0.0716678723692894,90,DC,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408472,0,0,0,0,0.0716678723692894,0.36312079429626465,0.36312079429626465,Kurt Zouma
0,0,0,90,DC,Sheffield United,Chelsea,3,0,2020-07-11,11989,2019,407520,0,0,0,0,0,0.2787879407405853,0.2787879407405853,Kurt Zouma
0,1,0.33937469124794006,90,DC,Crystal Palace,Chelsea,2,3,2020-07-07,11977,2019,406259,0,0,0,0,0.33937469124794006,0.4810052216053009,0.4810052216053009,Kurt Zouma
0,1,0.07774598151445389,90,DC,Chelsea,Watford,3,0,2020-07-04,11964,2019,405454,0,0,0,0,0.07774598151445389,0.5462966561317444,0.5462966561317444,Kurt Zouma
0,0,0,90,DC,Chelsea,Everton,4,0,2020-03-08,11925,2019,387809,0,0,0,0,0,0.11742798238992691,0.11742798238992691,Kurt Zouma
0,0,0,41,Sub,Chelsea,Manchester United,0,2,2020-02-17,11896,2019,387081,0,0,0,0,0,0.023344554007053375,0.023344554007053375,Kurt Zouma
0,0,0,90,DC,Brighton,Chelsea,1,1,2020-01-01,11845,2019,385482,0.12191382795572281,0,1,0,0,0.1392829865217209,0.1392829865217209,Kurt Zouma
0,0,0,90,DC,Arsenal,Chelsea,1,2,2019-12-29,11833,2019,372878,0,0,0,0,0,0.01402264554053545,0.01402264554053545,Kurt Zouma
0,0,0,48,DC,Chelsea,Southampton,0,2,2019-12-26,11825,2019,372450,0,0,0,0,0,0,0,Kurt Zouma
0,0,0,90,DC,Tottenham,Chelsea,0,2,2019-12-22,11820,2019,372270,0,0,0,0,0,0,0,Kurt Zouma
0,1,0.14123070240020752,90,DC,Chelsea,Bournemouth,0,1,2019-12-14,11805,2019,369743,0,0,0,0,0.14123070240020752,0.6503292918205261,0.6503292918205261,Kurt Zouma
0,0,0,90,DC,Everton,Chelsea,3,1,2019-12-07,11796,2019,368124,0,0,0,0,0,0.22303460538387299,0.22303460538387299,Kurt Zouma
0,1,0.01698794960975647,90,DC,Chelsea,Aston Villa,2,1,2019-12-04,11789,2019,367667,0,0,0,0,0.01698794960975647,0.16213509440422058,0.16213509440422058,Kurt Zouma
0,2,0.5209488272666931,90,DC,Chelsea,West Ham,0,1,2019-11-30,11774,2019,366180,0,0,0,0,0.5209488272666931,0.3771993815898895,0.3771993815898895,Kurt Zouma
0,0,0,90,DC,Manchester City,Chelsea,2,1,2019-11-23,11769,2019,364920,0,0,0,0,0,0.052258145064115524,0.052258145064115524,Kurt Zouma
0,0,0,90,DC,Chelsea,Crystal Palace,2,0,2019-11-09,11754,2019,362888,0,0,0,0,0,0.3608076274394989,0.3608076274394989,Kurt Zouma
0,0,0,90,DC,Watford,Chelsea,1,2,2019-11-02,11751,2019,361764,0,0,0,0,0,0.6075108647346497,0.6075108647346497,Kurt Zouma
0,0,0,90,DC,Burnley,Chelsea,2,4,2019-10-26,11735,2019,359601,0,0,0,0,0,0.13396455347537994,0.13396455347537994,Kurt Zouma
0,1,0.020448168739676476,90,DC,Chelsea,Newcastle United,1,0,2019-10-19,11725,2019,357782,0,0,0,0,0.020448168739676476,0.1984671652317047,0.1984671652317047,Kurt Zouma
0,1,0.05994085222482681,90,DC,Southampton,Chelsea,1,4,2019-10-06,11718,2019,356875,0,0,0,0,0.05994085222482681,0.029090922325849533,0.029090922325849533,Kurt Zouma
0,0,0,49,Sub,Chelsea,Liverpool,1,2,2019-09-22,11701,2019,353120,0,0,0,0,0,0.6485933661460876,0.6485933661460876,Kurt Zouma
0,1,0.07470806688070297,42,Sub,Wolverhampton Wanderers,Chelsea,2,5,2019-09-14,11688,2019,349062,0,0,0,0,0.07470806688070297,1.6662110090255737,1.6662110090255737,Kurt Zouma
0,1,0.02865384705364704,90,DC,Chelsea,Sheffield United,2,2,2019-08-31,11675,2019,347428,0,0,0,0,0.02865384705364704,0.11378306895494461,0.11378306895494461,Kurt Zouma
0,0,0,90,DC,Norwich,Chelsea,2,3,2019-08-24,11664,2019,343829,0,0,0,0,0,0.48432788252830505,0.48432788252830505,Kurt Zouma
0,2,0.044521357864141464,90,DC,Chelsea,Leicester,1,1,2019-08-18,11661,2019,342566,0,0,0,0,0.044521357864141464,0.12439170479774475,0.11500752717256546,Kurt Zouma
0,2,0.07348120957612991,90,DC,Manchester United,Chelsea,4,0,2019-08-11,11652,2019,341636,0,0,0,0,0.07348120957612991,0.07442363351583481,0.07442363351583481,Kurt Zouma
