,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
11,0,0,0,43,Sub,Leicester,Sheffield United,2,0,2020-07-16,11998,2019,409137,0,0,0,0,0,0,0,Lys Mousset
12,0,1,0.45071691274642944,25,Sub,Sheffield United,Chelsea,3,0,2020-07-11,11989,2019,407514,0,0,0,0,0.45071691274642944,0.45071691274642944,0,Lys Mousset
13,0,1,0.033384084701538086,38,Sub,Sheffield United,Wolverhampton Wanderers,1,0,2020-07-08,11980,2019,406551,0,0,0,0,0.033384084701538086,0.033384084701538086,0,Lys Mousset
14,0,0,0,17,Sub,Burnley,Sheffield United,1,1,2020-07-05,11963,2019,405568,0,0,0,0,0,0,0,Lys Mousset
15,1,1,0.7325485944747925,24,Sub,Sheffield United,Tottenham,3,1,2020-07-02,11960,2019,404821,0,0,0,1,0.7325485944747925,0.7325485944747925,0,Lys Mousset
16,0,0,0,49,FW,Manchester United,Sheffield United,3,0,2020-06-24,11950,2019,402328,0,0,0,0,0,0,0,Lys Mousset
17,0,1,0.02248748205602169,9,Sub,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400348,0,0,0,0,0.02248748205602169,0.02248748205602169,0,Lys Mousset
18,0,1,0.1411525458097458,13,Sub,Sheffield United,Bournemouth,2,1,2020-02-09,11900,2019,386916,0.5210928320884705,1,1,0,0.1411525458097458,0.6622453927993774,0,Lys Mousset
19,0,2,0.11983349919319153,25,Sub,Crystal Palace,Sheffield United,0,1,2020-02-01,11885,2019,386713,0.37200927734375,0,1,0,0.11983349919319153,0.49184277653694153,0.46466565132141113,Lys Mousset
20,0,1,0.10105728358030319,30,Sub,Sheffield United,Manchester City,0,1,2020-01-21,11875,2019,386373,0,0,0,0,0.10105728358030319,0.6871718168258667,0.5861145853996277,Lys Mousset
21,0,2,0.40989208221435547,58,FW,Arsenal,Sheffield United,1,1,2020-01-18,11863,2019,386165,0,0,0,0,0.40989208221435547,0.06404503434896469,0,Lys Mousset
22,0,2,0.3794096112251282,28,Sub,Sheffield United,West Ham,1,0,2020-01-10,11855,2019,385752,0,0,0,0,0.3794096112251282,0.4193267524242401,0.03991715610027313,Lys Mousset
23,0,0,0,66,FW,Liverpool,Sheffield United,2,0,2020-01-02,11847,2019,385735,0,0,0,0,0,0,0,Lys Mousset
24,0,4,0.7942596077919006,84,FW,Manchester City,Sheffield United,2,0,2019-12-29,11837,2019,372942,0.030842509120702744,0,1,0,0.7942596077919006,0.8251020908355713,0,Lys Mousset
25,0,1,0.08741734176874161,22,Sub,Sheffield United,Watford,1,1,2019-12-26,11830,2019,372572,0.6087157130241394,0,1,0,0.08741734176874161,0.6282594203948975,0.6282594203948975,Lys Mousset
26,0,1,0.04713393375277519,26,Sub,Brighton,Sheffield United,0,1,2019-12-21,11815,2019,371478,0,0,0,0,0.04713393375277519,0.04713393375277519,0,Lys Mousset
27,0,0,0,63,FW,Sheffield United,Aston Villa,2,0,2019-12-14,11810,2019,369831,0,0,0,0,0,0,0,Lys Mousset
28,0,2,0.052194301038980484,67,FW,Norwich,Sheffield United,1,2,2019-12-08,11799,2019,369017,0,0,0,0,0.052194301038980484,0.052194301038980484,0,Lys Mousset
29,0,1,0.03549015149474144,25,Sub,Sheffield United,Newcastle United,0,2,2019-12-05,11786,2019,367813,0,0,0,0,0.03549015149474144,0.03549015149474144,0,Lys Mousset
30,1,2,0.3815808892250061,88,FW,Wolverhampton Wanderers,Sheffield United,1,1,2019-12-01,11780,2019,366778,0.44610795378685,0,2,1,0.3815808892250061,0.7147485613822937,0,Lys Mousset
31,1,1,0.0498456209897995,69,FW,Sheffield United,Manchester United,3,3,2019-11-24,11770,2019,365578,0.3794364929199219,0,1,1,0.0498456209897995,0.42928212881088257,0,Lys Mousset
32,0,4,0.358877032995224,89,FW,Tottenham,Sheffield United,1,1,2019-11-09,11759,2019,363157,0,0,0,0,0.358877032995224,0.25220268964767456,0,Lys Mousset
33,0,3,0.5361711978912354,68,FW,Sheffield United,Burnley,3,0,2019-11-02,11750,2019,361645,1.228472113609314,3,4,0,0.5361711978912354,1.6278830766677856,0,Lys Mousset
34,1,1,0.05886021628975868,26,Sub,West Ham,Sheffield United,1,1,2019-10-26,11742,2019,359417,0,0,0,1,0.05886021628975868,0.05886021628975868,0,Lys Mousset
35,1,1,0.6645467877388,58,FW,Sheffield United,Arsenal,1,0,2019-10-21,11730,2019,358957,0,0,0,1,0.6645467877388,0,0,Lys Mousset
36,0,1,0.01925392635166645,28,Sub,Watford,Sheffield United,0,0,2019-10-05,11719,2019,356272,0,0,0,0,0.01925392635166645,0.03761743754148483,0.018363509327173233,Lys Mousset
37,0,0,0,29,Sub,Sheffield United,Liverpool,0,1,2019-09-28,11703,2019,354342,0,0,0,0,0,0.5992377400398254,0.5992377400398254,Lys Mousset
38,1,1,0.441739946603775,26,Sub,Everton,Sheffield United,0,2,2019-09-21,11698,2019,352238,0,0,0,1,0.441739946603775,0.441739946603775,0,Lys Mousset
39,0,2,0.15513049066066742,17,Sub,Sheffield United,Southampton,0,1,2019-09-14,11686,2019,349075,0,0,0,0,0.15513049066066742,0.15513049066066742,0,Lys Mousset
40,0,0,0,10,Sub,Chelsea,Sheffield United,2,2,2019-08-31,11675,2019,347451,0.02543010003864765,0,1,0,0,0.15262775123119354,0.12719765305519104,Lys Mousset
