,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
13,0,0,0,90,GK,Newcastle United,Liverpool,1,3,2020-07-26,12016,2019,411381,0,0,0,0,0,0,0,Martin Dubravka
14,0,0,0,90,GK,Brighton,Newcastle United,0,0,2020-07-20,12005,2019,410349,0,0,0,0,0,0,0,Martin Dubravka
15,0,0,0,90,GK,Newcastle United,Tottenham,1,3,2020-07-15,12000,2019,408685,0,0,0,0,0,0.0171064343303442,0.0171064343303442,Martin Dubravka
16,0,0,0,90,GK,Watford,Newcastle United,2,1,2020-07-11,11991,2019,407368,0,0,0,0,0,0,0,Martin Dubravka
17,0,0,0,90,GK,Manchester City,Newcastle United,5,0,2020-07-08,11979,2019,406581,0,0,0,0,0,0,0,Martin Dubravka
18,0,0,0,90,GK,Newcastle United,West Ham,2,2,2020-07-05,11968,2019,405603,0,0,0,0,0,0.0895644873380661,0.0895644873380661,Martin Dubravka
19,0,0,0,90,GK,Bournemouth,Newcastle United,1,4,2020-07-01,11955,2019,404389,0,0,0,0,0,0.43635880947113037,0.43635880947113037,Martin Dubravka
20,0,0,0,90,GK,Newcastle United,Aston Villa,1,1,2020-06-24,11949,2019,402395,0,0,0,0,0,0,0,Martin Dubravka
21,0,0,0,90,GK,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401601,0,0,0,0,0,0.4231778085231781,0.4231778085231781,Martin Dubravka
22,0,0,0,90,GK,Southampton,Newcastle United,0,1,2020-03-07,11930,2019,387711,0,0,0,0,0,0,0,Martin Dubravka
23,0,0,0,90,GK,Newcastle United,Burnley,0,0,2020-02-29,11918,2019,387455,0,0,0,0,0,0.10776595026254654,0.10776595026254654,Martin Dubravka
24,0,0,0,90,GK,Crystal Palace,Newcastle United,1,0,2020-02-22,11905,2019,387193,0,0,0,0,0,0,0,Martin Dubravka
25,0,0,0,90,GK,Arsenal,Newcastle United,4,0,2020-02-16,11893,2019,387056,0,0,0,0,0,0,0,Martin Dubravka
26,0,0,0,90,GK,Newcastle United,Norwich,0,0,2020-02-01,11889,2019,386605,0,0,0,0,0,0,0,Martin Dubravka
27,0,0,0,90,GK,Everton,Newcastle United,2,2,2020-01-21,11877,2019,386293,0,0,0,0,0,0,0,Martin Dubravka
28,0,0,0,90,GK,Newcastle United,Chelsea,1,0,2020-01-18,11868,2019,386198,0,0,0,0,0,0,0,Martin Dubravka
29,0,0,0,90,GK,Wolverhampton Wanderers,Newcastle United,1,1,2020-01-11,11853,2019,385806,0,0,0,0,0,0.020833658054471016,0.020833658054471016,Martin Dubravka
30,0,0,0,90,GK,Newcastle United,Leicester,0,3,2020-01-01,11849,2019,385575,0,0,0,0,0,0,0,Martin Dubravka
31,0,0,0,90,GK,Newcastle United,Everton,1,2,2019-12-28,11838,2019,372699,0,0,0,0,0,0.13693594932556152,0.13693594932556152,Martin Dubravka
32,0,0,0,90,GK,Manchester United,Newcastle United,4,1,2019-12-26,11829,2019,372601,0,0,0,0,0,0,0,Martin Dubravka
33,0,0,0,90,GK,Newcastle United,Crystal Palace,1,0,2019-12-21,11818,2019,371480,0,0,0,0,0,0,0,Martin Dubravka
34,0,0,0,90,GK,Burnley,Newcastle United,1,0,2019-12-14,11804,2019,369862,0,0,0,0,0,0,0,Martin Dubravka
35,0,0,0,90,GK,Newcastle United,Southampton,2,1,2019-12-08,11798,2019,369022,0,0,0,0,0,0,0,Martin Dubravka
36,0,0,0,90,GK,Sheffield United,Newcastle United,0,2,2019-12-05,11786,2019,367816,0,0,0,0,0,0.3167489469051361,0.3167489469051361,Martin Dubravka
37,0,0,0,90,GK,Newcastle United,Manchester City,2,2,2019-11-30,11777,2019,365956,0,0,0,0,0,0.09005223959684372,0.09005223959684372,Martin Dubravka
38,0,0,0,90,GK,Aston Villa,Newcastle United,2,0,2019-11-25,11764,2019,365805,0,0,0,0,0,0,0,Martin Dubravka
39,0,0,0,90,GK,Newcastle United,Bournemouth,2,1,2019-11-09,11756,2019,363189,0,0,0,0,0,0.3657883405685425,0.3657883405685425,Martin Dubravka
40,0,0,0,90,GK,West Ham,Newcastle United,2,3,2019-11-02,11752,2019,361622,0,0,0,0,0,0,0,Martin Dubravka
41,0,0,0,90,GK,Newcastle United,Wolverhampton Wanderers,1,1,2019-10-27,11738,2019,360140,0,0,0,0,0,0.018554922193288803,0.018554922193288803,Martin Dubravka
42,0,0,0,90,GK,Chelsea,Newcastle United,1,0,2019-10-19,11725,2019,357794,0,0,0,0,0,0,0,Martin Dubravka
43,0,0,0,90,GK,Newcastle United,Manchester United,1,0,2019-10-06,11721,2019,357139,0,0,0,0,0,0.32696032524108887,0.32696032524108887,Martin Dubravka
44,0,0,0,90,GK,Leicester,Newcastle United,5,0,2019-09-29,11710,2019,355512,0,0,0,0,0,0,0,Martin Dubravka
45,0,0,0,90,GK,Newcastle United,Brighton,0,0,2019-09-21,11699,2019,352436,0,0,0,0,0,0,0,Martin Dubravka
46,0,0,0,90,GK,Liverpool,Newcastle United,3,1,2019-09-14,11683,2019,348746,0,0,0,0,0,0.06468107551336288,0.06468107551336288,Martin Dubravka
