goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,90,GK,Burnley,Brighton,1,2,2020-07-26,12022,2019,411244,0,0,0,0,0,0.022143850103020668,0.022143850103020668,Mat Ryan
0,0,0,90,GK,Brighton,Newcastle United,0,0,2020-07-20,12005,2019,410333,0,0,0,0,0,0.08527910709381104,0.08527910709381104,Mat Ryan
0,0,0,90,GK,Southampton,Brighton,1,1,2020-07-16,12002,2019,409467,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Brighton,Manchester City,0,5,2020-07-11,11985,2019,407590,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Brighton,Liverpool,1,3,2020-07-08,11976,2019,406777,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Norwich,Brighton,0,1,2020-07-04,11969,2019,405074,0,0,0,0,0,0.03789990022778511,0.03789990022778511,Mat Ryan
0,0,0,90,GK,Brighton,Manchester United,0,3,2020-06-30,11956,2019,404129,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Leicester,Brighton,0,0,2020-06-23,11945,2019,402042,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Brighton,Arsenal,2,1,2020-06-20,11941,2019,401266,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Wolverhampton Wanderers,Brighton,0,0,2020-03-07,11931,2019,387738,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Brighton,Crystal Palace,0,1,2020-02-29,11915,2019,387428,0,0,0,0,0,0.02469896525144577,0.02469896525144577,Mat Ryan
0,0,0,90,GK,Sheffield United,Brighton,1,1,2020-02-22,11909,2019,387166,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Brighton,Watford,1,1,2020-02-08,11895,2019,386878,0,0,0,0,0,0.39073657989501953,0.39073657989501953,Mat Ryan
0,0,0,90,GK,West Ham,Brighton,3,3,2020-02-01,11892,2019,386647,0,0,0,0,0,0.9922357201576233,0.9922357201576233,Mat Ryan
0,0,0,90,GK,Bournemouth,Brighton,3,1,2020-01-21,11878,2019,386348,0,0,0,0,0,0.0950414314866066,0.0950414314866066,Mat Ryan
0,0,0,90,GK,Brighton,Aston Villa,1,1,2020-01-18,11867,2019,386170,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Everton,Brighton,1,0,2020-01-11,11860,2019,385890,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Brighton,Chelsea,1,1,2020-01-01,11845,2019,385466,0,0,0,0,0,0.05386913940310478,0.05386913940310478,Mat Ryan
0,0,0,90,GK,Brighton,Bournemouth,2,0,2019-12-28,11834,2019,372671,0,0,0,0,0,0.06804349273443222,0.06804349273443222,Mat Ryan
0,0,0,90,GK,Tottenham,Brighton,2,1,2019-12-26,11831,2019,372408,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Brighton,Sheffield United,0,1,2019-12-21,11815,2019,371452,0,0,0,0,0,0.07534898072481155,0.07534898072481155,Mat Ryan
0,0,0,90,GK,Crystal Palace,Brighton,1,1,2019-12-16,11806,2019,370776,0,0,0,0,0,0.18509532511234283,0.18509532511234283,Mat Ryan
0,0,0,90,GK,Brighton,Wolverhampton Wanderers,2,2,2019-12-08,11795,2019,369214,0,0,0,0,0,0.049534521996974945,0.049534521996974945,Mat Ryan
0,0,0,90,GK,Arsenal,Brighton,1,2,2019-12-05,11783,2019,367844,0,0,0,0,0,0.031266871839761734,0.031266871839761734,Mat Ryan
0,0,0,90,GK,Liverpool,Brighton,2,1,2019-11-30,11776,2019,366220,0,0,0,0,0,0.32428789138793945,0.32428789138793945,Mat Ryan
0,0,0,90,GK,Brighton,Leicester,0,2,2019-11-23,11766,2019,364736,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Manchester United,Brighton,3,1,2019-11-10,11761,2019,363807,0,0,0,0,0,0.08993158489465714,0.08993158489465714,Mat Ryan
0,0,0,90,GK,Brighton,Norwich,2,0,2019-11-02,11746,2019,361496,0,0,0,0,0,0.3358357846736908,0.3358357846736908,Mat Ryan
0,0,0,90,GK,Brighton,Everton,3,2,2019-10-26,11734,2019,359446,0,0,0,0,0,0.10598288476467133,0.10598288476467133,Mat Ryan
0,0,0,90,GK,Aston Villa,Brighton,2,1,2019-10-19,11723,2019,357766,0,0,0,0,0,0.16824223101139069,0.16824223101139069,Mat Ryan
0,0,0,90,GK,Brighton,Tottenham,3,0,2019-10-05,11713,2019,355968,0,0,0,0,0,0.2565367519855499,0.2565367519855499,Mat Ryan
0,0,0,90,GK,Chelsea,Brighton,2,0,2019-09-28,11708,2019,354623,0,0,0,0,0,0.11898884922266006,0.11898884922266006,Mat Ryan
0,0,0,90,GK,Newcastle United,Brighton,0,0,2019-09-21,11699,2019,352450,0,0,0,0,0,0.2594687044620514,0.2594687044620514,Mat Ryan
0,0,0,90,GK,Brighton,Burnley,1,1,2019-09-14,11685,2019,348981,0,0,0,0,0,0.10433162748813629,0.10433162748813629,Mat Ryan
0,0,0,90,GK,Manchester City,Brighton,4,0,2019-08-31,11678,2019,347524,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Brighton,Southampton,0,2,2019-08-24,11666,2019,344036,0,0,0,0,0,0.04615219682455063,0.04615219682455063,Mat Ryan
0,0,0,90,GK,Brighton,West Ham,1,1,2019-08-17,11655,2019,341839,0,0,0,0,0,0,0,Mat Ryan
0,0,0,90,GK,Watford,Brighton,0,3,2019-08-10,11648,2019,341301,0,0,0,0,0,0.3946564495563507,0.3946564495563507,Mat Ryan
