goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,8,Sub,Aston Villa,Crystal Palace,2,0,2020-07-12,11983,2019,407834,0,0,0,0,0,0.09068728983402252,0.09068728983402252,Max Meyer
0,0,0,1,Sub,Crystal Palace,Chelsea,2,3,2020-07-07,11977,2019,406253,0.03189102187752724,0,1,0,0,0.03189102187752724,0,Max Meyer
0,0,0,12,Sub,Crystal Palace,Burnley,0,1,2020-06-29,11957,2019,403932,0.08149485290050507,0,2,0,0,0.08149485290050507,0,Max Meyer
0,1,0.024883432313799858,76,Sub,Liverpool,Crystal Palace,4,0,2020-06-24,11951,2019,402544,0,0,0,0,0.024883432313799858,0.04109575226902962,0.01621231995522976,Max Meyer
0,0,0,19,Sub,Everton,Crystal Palace,3,1,2020-02-08,11897,2019,386875,0,0,0,0,0,0,0,Max Meyer
0,0,0,9,Sub,Crystal Palace,Sheffield United,0,1,2020-02-01,11885,2019,386699,0,0,0,0,0,0,0,Max Meyer
0,0,0,25,Sub,Crystal Palace,Southampton,0,2,2020-01-21,11882,2019,386318,0,0,0,0,0,0.05541239678859711,0.05541239678859711,Max Meyer
0,1,0.023662332445383072,70,MR,Crystal Palace,Arsenal,1,1,2020-01-11,11859,2019,385773,0,0,0,0,0.023662332445383072,0.023662332445383072,0,Max Meyer
0,1,0.07223068177700043,61,MR,Norwich,Crystal Palace,1,1,2020-01-01,11850,2019,385649,0,0,0,0,0.07223068177700043,0.13590647280216217,0.06367579102516174,Max Meyer
0,0,0,85,MR,Southampton,Crystal Palace,1,1,2019-12-28,11840,2019,372745,0,0,0,0,0,0,0,Max Meyer
0,1,0.022859837859869003,75,FWR,Crystal Palace,West Ham,2,1,2019-12-26,11826,2019,372485,0.08461391180753708,0,1,0,0.022859837859869003,0.08461391180753708,0,Max Meyer
0,1,0.07627296447753906,4,Sub,Newcastle United,Crystal Palace,1,0,2019-12-21,11818,2019,371505,0,0,0,0,0.07627296447753906,0,0,Max Meyer
0,1,0.011676118709146976,22,Sub,Crystal Palace,Brighton,1,1,2019-12-16,11806,2019,370774,0,0,0,0,0.011676118709146976,0.047913357615470886,0.036237236112356186,Max Meyer
0,0,0,15,Sub,Crystal Palace,Leicester,0,2,2019-11-03,11747,2019,362121,0,0,0,0,0,0,0,Max Meyer
0,0,0,1,Sub,Crystal Palace,Norwich,2,0,2019-09-28,11709,2019,354731,0,0,0,0,0,0.11741910129785538,0.11741910129785538,Max Meyer
0,0,0,68,ML,Sheffield United,Crystal Palace,1,0,2019-08-18,11660,2019,342474,0,0,0,0,0,0,0,Max Meyer
0,3,0.22769547998905182,90,ML,Crystal Palace,Everton,0,0,2019-08-10,11647,2019,341269,0,0,0,0,0.22769547998905182,0.14625144004821777,0,Max Meyer
