goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.3723582923412323,49,FW,West Ham,Aston Villa,1,1,2020-07-26,12013,2019,411451,0,0,0,0,0.3723582923412323,0.3723582923412323,0,Michail Antonio
1,4,1.069588541984558,80,FW,Manchester United,West Ham,1,1,2020-07-22,12007,2019,410799,0,0,0,0,0.30841970443725586,0.13832123577594757,0,Michail Antonio
1,2,0.462929368019104,90,FW,West Ham,Watford,3,1,2020-07-17,12001,2019,409583,0.08414974063634872,0,2,1,0.462929368019104,0.5470790863037109,0,Michail Antonio
4,9,2.939826011657715,81,FW,Norwich,West Ham,0,4,2020-07-11,11988,2019,407349,0.5823656916618347,0,3,4,2.939826011657715,2.851580858230591,0.1282384842634201,Michail Antonio
0,5,0.568448543548584,90,FW,West Ham,Burnley,0,1,2020-07-08,11982,2019,406525,0.5810031294822693,0,4,0,0.568448543548584,1.1706866025924683,0.021234942600131035,Michail Antonio
1,2,0.6515413522720337,90,FW,Newcastle United,West Ham,2,2,2020-07-05,11968,2019,405628,0.023923086002469063,0,1,1,0.6515413522720337,0.8538903594017029,0.17842592298984528,Michail Antonio
1,5,1.230170488357544,90,FW,West Ham,Chelsea,3,2,2020-07-01,11962,2019,404603,0.5867332220077515,1,2,1,1.230170488357544,1.707457423210144,0.4772869646549225,Michail Antonio
0,4,0.45606839656829834,90,FW,Tottenham,West Ham,2,0,2020-06-23,11944,2019,402209,0,0,0,0,0.45606839656829834,0.21568720042705536,0.07996387034654617,Michail Antonio
0,1,0.01618206687271595,90,FW,West Ham,Wolverhampton Wanderers,0,2,2020-06-20,11934,2019,401372,0,0,0,0,0.01618206687271595,0.3170608878135681,0.3170608878135681,Michail Antonio
0,3,1.162765383720398,90,FW,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387776,0,0,1,0,1.162765383720398,0.5900644063949585,0.15707971155643463,Michail Antonio
1,2,0.9456884860992432,90,FW,West Ham,Southampton,3,1,2020-02-29,11922,2019,387516,0.8640364408493042,1,4,1,0.9456884860992432,1.214569091796875,0,Michail Antonio
0,0,0,90,FW,Liverpool,West Ham,3,2,2020-02-24,11911,2019,387396,0.3799865245819092,0,2,0,0,0.4670991599559784,0.08711265027523041,Michail Antonio
0,2,0.07982827723026276,90,FW,Manchester City,West Ham,2,0,2020-02-19,11898,2019,387121,0,0,0,0,0.07982827723026276,0.03962749242782593,0,Michail Antonio
0,6,0.41843587160110474,75,ML,West Ham,Brighton,3,3,2020-02-01,11892,2019,386642,0,0,0,0,0.41843587160110474,0.3814396858215332,0.1120847687125206,Michail Antonio
0,2,0.23497475683689117,39,Sub,Leicester,West Ham,4,1,2020-01-22,11876,2019,386471,0,0,0,0,0.23497475683689117,0.10269354283809662,0,Michail Antonio
0,1,0.032236430794000626,32,Sub,West Ham,Leicester,1,2,2019-12-28,11842,2019,372820,0,0,0,0,0.032236430794000626,0.032236430794000626,0,Michail Antonio
0,4,0.23071500658988953,90,FW,Crystal Palace,West Ham,2,1,2019-12-26,11826,2019,372501,0.3482877314090729,1,1,0,0.23071500658988953,0.7034572958946228,0.1244545504450798,Michail Antonio
0,2,0.12484391033649445,90,FW,Southampton,West Ham,0,1,2019-12-14,11811,2019,369954,0.30192962288856506,0,3,0,0.12484391033649445,0.5787665247917175,0.30594903230667114,Michail Antonio
0,2,0.15776954591274261,90,FW,West Ham,Arsenal,1,3,2019-12-09,11802,2019,369419,0,0,0,0,0.15776954591274261,0.15776954591274261,0,Michail Antonio
0,3,0.9850250482559204,78,FW,Chelsea,West Ham,0,1,2019-11-30,11774,2019,366202,0,0,0,0,0.9850250482559204,0.5233323574066162,0,Michail Antonio
1,3,0.17171527445316315,42,Sub,West Ham,Tottenham,2,3,2019-11-23,11772,2019,364446,0.05701088160276413,0,1,1,0.17171527445316315,0.3141351640224457,0.11869049817323685,Michail Antonio
0,2,0.45443373918533325,31,Sub,Watford,West Ham,1,3,2019-08-24,11667,2019,344091,0.035016436129808426,0,1,0,0.45443373918533325,0.38270220160484314,0.018212784081697464,Michail Antonio
0,3,0.4840043783187866,43,Sub,Brighton,West Ham,1,1,2019-08-17,11655,2019,341866,0,0,0,0,0.4840043783187866,0.2206396758556366,0.1443605124950409,Michail Antonio
0,0,0,47,AML,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341189,0.07705286890268326,0,1,0,0,0.07705286890268326,0,Michail Antonio
