,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
37,0,3,0.19695945084095,22,Sub,Newcastle United,Liverpool,1,3,2020-07-26,12016,2019,411409,0.07344184815883636,0,1,0,0.19695945084095,0.21880483627319336,0,Mohamed Salah
38,0,3,0.25513672828674316,82,FWR,Liverpool,Chelsea,5,3,2020-07-22,12006,2019,410843,0.07344795018434525,1,1,0,0.25513672828674316,0.5851783752441406,0.5037288069725037,Mohamed Salah
39,0,4,0.8524229526519775,85,FWR,Arsenal,Liverpool,2,1,2020-07-15,11993,2019,408861,0,0,0,0,0.8524229526519775,0.934712827205658,0.08228984475135803,Mohamed Salah
40,0,6,1.1489335298538208,90,FWR,Liverpool,Burnley,1,1,2020-07-11,11986,2019,407423,0.3363424837589264,0,3,0,1.1489335298538208,1.1546698808670044,0.11228878796100616,Mohamed Salah
41,2,8,1.8734793663024902,90,FWR,Brighton,Liverpool,1,3,2020-07-08,11976,2019,406799,0.13501514494419098,1,2,2,1.8734793663024902,2.1900453567504883,0.20531274378299713,Mohamed Salah
42,0,1,0.06756497919559479,90,FWR,Liverpool,Aston Villa,2,0,2020-07-05,11966,2019,405762,0.44030916690826416,1,2,0,0.06756497919559479,0.5078741312026978,0,Mohamed Salah
43,0,4,0.21332748234272003,90,FWR,Manchester City,Liverpool,4,0,2020-07-02,11959,2019,404955,0.1126236841082573,0,2,0,0.21332748234272003,0.3840881586074829,0.05813699960708618,Mohamed Salah
44,1,5,0.5195972323417664,90,FWR,Liverpool,Crystal Palace,4,0,2020-06-24,11951,2019,402525,0.31479525566101074,1,2,1,0.5195972323417664,1.6077592372894287,0.7733667492866516,Mohamed Salah
45,1,2,0.13840050995349884,90,FWR,Liverpool,Bournemouth,2,1,2020-03-07,11928,2019,387625,0.6603663563728333,0,3,1,0.13840050995349884,0.8169744610786438,0.10795480757951736,Mohamed Salah
46,0,2,0.058906517922878265,90,FWR,Watford,Liverpool,3,0,2020-02-29,11921,2019,387555,0,0,0,0,0.058906517922878265,0.08387463539838791,0.05686516687273979,Mohamed Salah
47,1,5,0.250144898891449,90,FWR,Liverpool,West Ham,3,2,2020-02-24,11911,2019,387381,0.040016308426856995,0,1,1,0.250144898891449,0.17015723884105682,0,Mohamed Salah
48,0,4,0.4052668809890747,90,FWR,Norwich,Liverpool,0,1,2020-02-15,11899,2019,387008,0.03972183167934418,0,2,0,0.4052668809890747,0.4449887275695801,0,Mohamed Salah
49,2,4,1.4167767763137817,90,FWR,Liverpool,Southampton,4,0,2020-02-01,11887,2019,386749,0.9598408341407776,0,3,2,1.4167767763137817,2.0048842430114746,0.5412934422492981,Mohamed Salah
50,1,5,1.0248464345932007,90,FWR,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386572,0.6819501519203186,1,2,0,0.26367759704589844,1.1557588577270508,0.2720060646533966,Mohamed Salah
51,0,6,0.5431440472602844,87,FWR,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386546,0.05560074746608734,0,1,0,0.5431440472602844,0.6550807356834412,0.11193666607141495,Mohamed Salah
52,1,4,0.8020099401473999,90,FWR,Liverpool,Manchester United,2,0,2020-01-19,11865,2019,386259,0.48973187804222107,0,3,1,0.8020099401473999,1.416406273841858,0.14893682301044464,Mohamed Salah
53,0,1,0.09689494222402573,90,FWR,Tottenham,Liverpool,0,1,2020-01-11,11854,2019,385948,0.5795460343360901,1,3,0,0.09689494222402573,0.9622620344161987,0.39233115315437317,Mohamed Salah
54,1,5,0.802696704864502,90,FWR,Liverpool,Sheffield United,2,0,2020-01-02,11847,2019,385720,0.6749951839447021,0,3,1,0.802696704864502,2.2291314601898193,0.8743668794631958,Mohamed Salah
55,0,2,0.4667940139770508,90,FW,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29,11836,2019,372901,0.21213653683662415,0,3,0,0.4667940139770508,0.6789305806159973,0.08787675201892853,Mohamed Salah
56,0,4,0.3165876865386963,71,FWR,Leicester,Liverpool,0,4,2019-12-26,11828,2019,372637,0.632106602191925,0,1,0,0.3165876865386963,0.929621160030365,0.1476587951183319,Mohamed Salah
57,2,7,0.988244354724884,90,FW,Liverpool,Watford,2,0,2019-12-14,11808,2019,369557,0,0,0,2,0.988244354724884,0.988244354724884,0,Mohamed Salah
58,1,5,1.2504796981811523,90,FWR,Bournemouth,Liverpool,0,3,2019-12-07,11794,2019,368350,0.6355864405632019,1,4,1,1.2504796981811523,1.5777924060821533,0.34165263175964355,Mohamed Salah
