,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
28,1,4,1.062913179397583,73,FW,Everton,Bournemouth,1,3,2020-07-26,12019,2019,411330,0.32317861914634705,0,3,1,1.062913179397583,1.4159804582595825,0.0298886988312006,Moise Kean
29,0,1,0.013067398220300674,15,Sub,Everton,Aston Villa,1,1,2020-07-16,11997,2019,409096,0,0,0,0,0.013067398220300674,0.031606435775756836,0.01853903755545616,Moise Kean
30,0,0,0,24,Sub,Wolverhampton Wanderers,Everton,3,0,2020-07-12,11992,2019,407774,0,0,0,0,0,0,0,Moise Kean
31,0,0,0,17,Sub,Everton,Southampton,1,1,2020-07-09,11978,2019,407006,0,0,0,0,0,0,0,Moise Kean
32,0,1,0.053197748959064484,8,Sub,Tottenham,Everton,1,0,2020-07-06,11971,2019,406152,0,0,0,0,0.053197748959064484,0.053197748959064484,0,Moise Kean
33,0,0,0,9,Sub,Norwich,Everton,0,1,2020-06-24,11948,2019,402361,0,0,0,0,0,0,0,Moise Kean
34,0,0,0,1,Sub,Everton,Liverpool,0,0,2020-06-21,11940,2019,401764,0,0,0,0,0,0,0,Moise Kean
35,0,0,0,32,Sub,Chelsea,Everton,4,0,2020-03-08,11925,2019,387832,0,0,0,0,0,0,0,Moise Kean
36,0,1,0.036376480013132095,5,Sub,Everton,Manchester United,1,1,2020-03-01,11916,2019,387574,0,0,0,0,0.036376480013132095,0,0,Moise Kean
37,0,1,0.013094761408865452,3,Sub,Arsenal,Everton,3,2,2020-02-23,11903,2019,387371,0,0,0,0,0.013094761408865452,0.013094761408865452,0,Moise Kean
38,0,1,0.4241023659706116,21,Sub,Watford,Everton,2,3,2020-02-01,11891,2019,386686,0.6143091917037964,1,1,0,0.4241023659706116,1.0384114980697632,0,Moise Kean
39,1,3,0.44789671897888184,72,FW,Everton,Newcastle United,2,2,2020-01-21,11877,2019,386288,0,0,0,1,0.44789671897888184,1.1886050701141357,0.7683389186859131,Moise Kean
40,0,0,0,75,FW,West Ham,Everton,1,1,2020-01-18,11872,2019,386085,0.09000521898269653,0,1,0,0,0.09000521898269653,0,Moise Kean
41,0,1,0.07811228185892105,22,Sub,Manchester City,Everton,2,1,2020-01-01,11848,2019,385682,0,0,0,0,0.07811228185892105,0.07811228185892105,0,Moise Kean
42,0,5,0.7756993770599365,62,FW,Newcastle United,Everton,1,2,2019-12-28,11838,2019,372722,0.1147303581237793,0,1,0,0.7756993770599365,0.8199235200881958,0.1147303581237793,Moise Kean
43,0,0,0,12,Sub,Everton,Burnley,1,0,2019-12-26,11827,2019,372516,0.04494571313261986,0,1,0,0,0.04494571313261986,0,Moise Kean
44,0,0,0,8,Sub,Everton,Arsenal,0,0,2019-12-21,11816,2019,371243,0,0,0,0,0,0.017561443150043488,0.017561443150043488,Moise Kean
45,0,0,0,17,Sub,Manchester United,Everton,1,1,2019-12-15,11809,2019,370316,0,0,0,0,0,0,0,Moise Kean
46,0,1,0.2884741425514221,27,Sub,Liverpool,Everton,5,2,2019-12-04,11792,2019,367801,0,0,0,0,0.2884741425514221,0.2884741425514221,0,Moise Kean
47,0,2,0.1334982067346573,10,Sub,Leicester,Everton,2,1,2019-12-01,11775,2019,367055,0,0,0,0,0.1334982067346573,0.1334982067346573,0,Moise Kean
48,0,0,0,1,Sub,Everton,West Ham,2,0,2019-10-19,11727,2019,357540,0,0,0,0,0,0.02203493006527424,0.02203493006527424,Moise Kean
49,0,0,0,14,Sub,Burnley,Everton,1,0,2019-10-05,11714,2019,356189,0,0,0,0,0,0,0,Moise Kean
50,0,0,0,10,Sub,Everton,Manchester City,1,3,2019-09-28,11711,2019,354868,0,0,0,0,0,0,0,Moise Kean
51,0,5,0.5148123502731323,90,FW,Everton,Sheffield United,0,2,2019-09-21,11698,2019,352223,0.31570643186569214,0,1,0,0.5148123502731323,0.5168326497077942,0.019873611629009247,Moise Kean
52,0,0,0,18,Sub,Bournemouth,Everton,3,1,2019-09-15,11690,2019,349647,0,0,0,0,0,0.09487004578113556,0.09487004578113556,Moise Kean
53,0,2,0.15118980407714844,78,FW,Everton,Wolverhampton Wanderers,3,2,2019-09-01,11681,2019,347993,0.34796449542045593,1,1,0,0.15118980407714844,0.38430821895599365,0,Moise Kean
54,0,0,0,25,Sub,Aston Villa,Everton,2,0,2019-08-23,11663,2019,343754,0.486468642950058,0,1,0,0,0.486468642950058,0,Moise Kean
55,0,2,0.1478775292634964,16,Sub,Everton,Watford,1,0,2019-08-17,11656,2019,341878,0,0,0,0,0.1478775292634964,0.1478775292634964,0,Moise Kean
56,0,0,0,18,Sub,Crystal Palace,Everton,0,0,2019-08-10,11647,2019,341285,0,0,0,0,0,0,0,Moise Kean
