,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
25,0,0,0,82,DMC,Crystal Palace,Tottenham,1,1,2020-07-26,12020,2019,411310,0,0,0,0,0,0.06896735727787018,0.06896735727787018,Moussa Sissoko
26,0,0,0,90,MC,Tottenham,Leicester,3,0,2020-07-19,12010,2019,409789,0,0,0,0,0,0.08296632766723633,0.08296632766723633,Moussa Sissoko
27,0,0,0,90,DMC,Newcastle United,Tottenham,1,3,2020-07-15,12000,2019,408704,0.062265198677778244,0,1,0,0,0.07798236608505249,0.015717171132564545,Moussa Sissoko
28,0,0,0,90,MR,Tottenham,Arsenal,2,1,2020-07-12,11990,2019,407991,0,0,0,0,0,0.03261667490005493,0.03261667490005493,Moussa Sissoko
29,0,0,0,76,MC,Bournemouth,Tottenham,0,0,2020-07-09,11975,2019,407040,0,0,0,0,0,0.11838497966527939,0.11838497966527939,Moussa Sissoko
30,0,0,0,90,MC,Tottenham,Everton,1,0,2020-07-06,11971,2019,406130,0.01973334699869156,0,1,0,0,0.18004906177520752,0.18004906177520752,Moussa Sissoko
31,0,2,0.09293550252914429,74,DMC,Sheffield United,Tottenham,3,1,2020-07-02,11960,2019,404829,0,0,0,0,0.09293550252914429,0.06930550932884216,0.03854867443442345,Moussa Sissoko
32,0,0,0,90,DMC,Tottenham,West Ham,2,0,2020-06-23,11944,2019,402191,0.06147816404700279,0,3,0,0,0.21338370442390442,0.19448637962341309,Moussa Sissoko
33,0,0,0,90,DMC,Tottenham,Manchester United,1,1,2020-06-19,11936,2019,400814,0,0,0,0,0,0,0,Moussa Sissoko
34,0,0,0,90,AMR,Southampton,Tottenham,1,0,2020-01-01,11851,2019,385569,0,0,0,0,0,0.08320769667625427,0.08320769667625427,Moussa Sissoko
35,0,1,0.3977394700050354,90,MC,Tottenham,Brighton,2,1,2019-12-26,11831,2019,372400,0.14480094611644745,0,2,0,0.3977394700050354,0.14480094611644745,0,Moussa Sissoko
36,0,0,0,90,DMC,Tottenham,Chelsea,0,2,2019-12-22,11820,2019,372260,0.0934947282075882,0,1,0,0,0.0934947282075882,0.0934947282075882,Moussa Sissoko
37,0,0,0,90,DMC,Wolverhampton Wanderers,Tottenham,1,2,2019-12-15,11812,2019,370335,0.0796453207731247,0,1,0,0,0.18362565338611603,0.10398034006357193,Moussa Sissoko
38,1,2,0.7691186666488647,90,DMC,Tottenham,Burnley,5,0,2019-12-07,11800,2019,368361,0,0,0,1,0.7691186666488647,0.7691186666488647,0,Moussa Sissoko
39,0,0,0,88,DMC,Manchester United,Tottenham,2,1,2019-12-04,11788,2019,367737,0,0,0,0,0,0,0,Moussa Sissoko
40,1,3,0.7262941598892212,90,AMR,Tottenham,Bournemouth,3,2,2019-11-30,11779,2019,366241,0.2997804284095764,0,1,1,0.7262941598892212,2.0710601806640625,1.07366144657135,Moussa Sissoko
41,0,0,0,6,Sub,West Ham,Tottenham,2,3,2019-11-23,11772,2019,364459,0,0,0,0,0,0,0,Moussa Sissoko
42,0,0,0,90,DMC,Tottenham,Sheffield United,1,1,2019-11-09,11759,2019,363140,0.020763756707310677,0,1,0,0,0.6409626603126526,0.6409626603126526,Moussa Sissoko
43,0,0,0,90,DMC,Everton,Tottenham,1,1,2019-11-03,11748,2019,362352,0,0,0,0,0,0.021561991423368454,0.021561991423368454,Moussa Sissoko
44,0,0,0,90,MC,Liverpool,Tottenham,2,1,2019-10-27,11736,2019,360323,0,0,0,0,0,0.078400157392025,0.078400157392025,Moussa Sissoko
45,0,1,0.01823236048221588,90,MC,Tottenham,Watford,1,1,2019-10-19,11731,2019,357814,0.059898845851421356,0,1,0,0.01823236048221588,0.20903059840202332,0.13089939951896667,Moussa Sissoko
46,0,0,0,90,DR,Brighton,Tottenham,3,0,2019-10-05,11713,2019,355983,0,0,0,0,0,0.25049877166748047,0.25049877166748047,Moussa Sissoko
47,0,0,0,90,MC,Tottenham,Southampton,2,1,2019-09-28,11704,2019,354672,0,0,0,0,0,0.4934498965740204,0.4934498965740204,Moussa Sissoko
48,0,0,0,70,MC,Leicester,Tottenham,2,1,2019-09-21,11694,2019,352038,0,0,0,0,0,0.6622697710990906,0.6622697710990906,Moussa Sissoko
49,0,0,0,90,DMC,Tottenham,Crystal Palace,4,0,2019-09-14,11687,2019,349097,0,0,0,0,0,0.510166347026825,0.510166347026825,Moussa Sissoko
50,0,2,0.15369653701782227,90,DMC,Arsenal,Tottenham,2,2,2019-09-01,11682,2019,348112,0,0,0,0,0.15369653701782227,0.20397081971168518,0.07852301746606827,Moussa Sissoko
51,0,0,0,90,DMC,Tottenham,Newcastle United,0,1,2019-08-25,11672,2019,344707,0.7666656970977783,0,3,0,0,0.8733329176902771,0.5488092303276062,Moussa Sissoko
52,0,0,0,90,AMR,Manchester City,Tottenham,2,2,2019-08-17,11659,2019,342138,0,0,0,0,0,0.02465732768177986,0.02465732768177986,Moussa Sissoko
53,0,4,0.3812357187271118,90,MC,Tottenham,Aston Villa,3,1,2019-08-10,11649,2019,341348,0.08711989223957062,1,1,0,0.3812357187271118,0.8177260756492615,0.34937047958374023,Moussa Sissoko
