,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
20,0,0,0,90,DMC,Leicester,Manchester United,0,2,2020-07-26,12018,2019,411493,0,0,0,0,0,0.2036099135875702,0.2036099135875702,Nemanja Matic
21,0,0,0,90,DMC,Manchester United,West Ham,1,1,2020-07-22,12007,2019,410782,0.020940927788615227,0,1,0,0,0.3100772500038147,0.3100772500038147,Nemanja Matic
22,0,0,0,23,Sub,Crystal Palace,Manchester United,0,2,2020-07-16,11996,2019,409508,0,0,0,0,0,0.6112407445907593,0.6112407445907593,Nemanja Matic
23,0,0,0,90,DMC,Manchester United,Southampton,2,2,2020-07-13,11987,2019,408388,0,0,0,0,0,0.8028475046157837,0.8028475046157837,Nemanja Matic
24,0,0,0,71,DMC,Aston Villa,Manchester United,0,3,2020-07-09,11974,2019,407191,0.09691831469535828,0,1,0,0,0.8594285845756531,0.8594285845756531,Nemanja Matic
25,0,0,0,70,DMC,Manchester United,Bournemouth,5,2,2020-07-04,11967,2019,405128,0.10895568132400513,1,1,0,0,0.5005468130111694,0.3915911316871643,Nemanja Matic
26,0,0,0,90,DMC,Brighton,Manchester United,0,3,2020-06-30,11956,2019,404151,0,0,0,0,0,0.9292115569114685,0.9292115569114685,Nemanja Matic
27,0,0,0,90,DMC,Manchester United,Sheffield United,3,0,2020-06-24,11950,2019,402309,0.08666323870420456,0,1,0,0,1.3621045351028442,1.275441288948059,Nemanja Matic
28,0,0,0,9,Sub,Tottenham,Manchester United,1,1,2020-06-19,11936,2019,400835,0.019167525693774223,0,1,0,0,0.019167525693774223,0,Nemanja Matic
29,0,1,0.02414410375058651,90,MC,Manchester United,Manchester City,2,0,2020-03-08,11932,2019,387841,0.02133839577436447,0,1,0,0.02414410375058651,0.28434714674949646,0.23886463046073914,Nemanja Matic
30,0,2,0.053755901753902435,90,DMC,Everton,Manchester United,1,1,2020-03-01,11916,2019,387580,0.046081773936748505,1,2,0,0.053755901753902435,0.23922164738178253,0.1681295484304428,Nemanja Matic
31,0,0,0,90,DMC,Manchester United,Watford,3,0,2020-02-23,11910,2019,387295,0.31848856806755066,0,5,0,0,0.4364687204360962,0.14198198914527893,Nemanja Matic
32,0,0,0,90,MC,Chelsea,Manchester United,0,2,2020-02-17,11896,2019,387090,0,0,0,0,0,0.03806006908416748,0.03806006908416748,Nemanja Matic
33,0,0,0,90,DMC,Manchester United,Burnley,0,2,2020-01-22,11879,2019,386506,0.08239621669054031,0,1,0,0,0.8514565229415894,0.7690602540969849,Nemanja Matic
34,0,0,0,90,MC,Liverpool,Manchester United,2,0,2020-01-19,11865,2019,386271,0,0,0,0,0,0.3393491506576538,0.3393491506576538,Nemanja Matic
35,0,0,0,90,DMC,Manchester United,Norwich,4,0,2020-01-11,11862,2019,385826,0,0,0,0,0,0.9451732039451599,0.9451732039451599,Nemanja Matic
36,0,0,0,82,DMC,Arsenal,Manchester United,2,0,2020-01-01,11844,2019,385704,0.093700110912323,0,1,0,0,0.153455913066864,0.059755805879831314,Nemanja Matic
37,0,1,0.03039330616593361,90,DMC,Burnley,Manchester United,0,2,2019-12-28,11835,2019,372856,0,0,0,0,0.03039330616593361,0.06590799242258072,0.06590799242258072,Nemanja Matic
38,0,1,0.013069899752736092,72,DMC,West Ham,Manchester United,2,0,2019-09-22,11700,2019,352875,0,0,0,0,0.013069899752736092,0.013069899752736092,0,Nemanja Matic
39,0,0,0,69,DMC,Manchester United,Leicester,1,0,2019-09-14,11684,2019,349014,0,0,0,0,0,0.12298082560300827,0.12298082560300827,Nemanja Matic
40,0,2,0.11293959617614746,20,Sub,Southampton,Manchester United,1,1,2019-08-31,11673,2019,347228,0,0,0,0,0.11293959617614746,0.1897016018629074,0.07676200568675995,Nemanja Matic
