,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
32,0,0,0,90,GK,Burnley,Brighton,1,2,2020-07-26,12022,2019,411231,0,0,0,0,0,0,0,Nick Pope
33,0,0,0,90,GK,Norwich,Burnley,0,2,2020-07-18,12008,2019,409678,0,0,0,0,0,0.10968975722789764,0.10968975722789764,Nick Pope
34,0,0,0,90,GK,Burnley,Wolverhampton Wanderers,1,1,2020-07-15,11994,2019,408624,0,0,0,0,0,0.15688161551952362,0.15688161551952362,Nick Pope
35,0,0,0,90,GK,Liverpool,Burnley,1,1,2020-07-11,11986,2019,407429,0,0,0,0,0,0,0,Nick Pope
36,0,0,0,90,GK,West Ham,Burnley,0,1,2020-07-08,11982,2019,406528,0,0,0,0,0,0,0,Nick Pope
37,0,0,0,90,GK,Burnley,Sheffield United,1,1,2020-07-05,11963,2019,405544,0,0,0,0,0,0,0,Nick Pope
38,0,0,0,90,GK,Crystal Palace,Burnley,0,1,2020-06-29,11957,2019,403934,0,0,0,0,0,0,0,Nick Pope
39,0,0,0,90,GK,Burnley,Watford,1,0,2020-06-25,11943,2019,402671,0,0,0,0,0,0,0,Nick Pope
40,0,0,0,90,GK,Manchester City,Burnley,5,0,2020-06-22,11939,2019,401952,0,0,0,0,0,0,0,Nick Pope
41,0,0,0,90,GK,Burnley,Tottenham,1,1,2020-03-07,11924,2019,387780,0,0,0,0,0,0,0,Nick Pope
42,0,0,0,90,GK,Newcastle United,Burnley,0,0,2020-02-29,11918,2019,387467,0,0,0,0,0,0.04120101034641266,0.04120101034641266,Nick Pope
43,0,0,0,90,GK,Burnley,Bournemouth,3,0,2020-02-22,11907,2019,387206,0,0,0,0,0,0,0,Nick Pope
44,0,0,0,90,GK,Southampton,Burnley,1,2,2020-02-15,11901,2019,386974,0,0,0,0,0,0,0,Nick Pope
45,0,0,0,90,GK,Burnley,Arsenal,0,0,2020-02-02,11884,2019,386797,0,0,0,0,0,0.05681232735514641,0.05681232735514641,Nick Pope
46,0,0,0,90,GK,Manchester United,Burnley,0,2,2020-01-22,11879,2019,386514,0,0,0,0,0,0,0,Nick Pope
47,0,0,0,90,GK,Burnley,Leicester,2,1,2020-01-19,11866,2019,386226,0,0,0,0,0,0.05049627274274826,0.05049627274274826,Nick Pope
48,0,0,0,90,GK,Chelsea,Burnley,3,0,2020-01-11,11858,2019,385915,0,0,0,0,0,0,0,Nick Pope
49,0,0,0,90,GK,Burnley,Aston Villa,1,2,2020-01-01,11846,2019,385493,0,0,0,0,0,0.00999794527888298,0.00999794527888298,Nick Pope
50,0,0,0,90,GK,Burnley,Manchester United,0,2,2019-12-28,11835,2019,372836,0,0,0,0,0,0,0,Nick Pope
51,0,0,0,90,GK,Everton,Burnley,1,0,2019-12-26,11827,2019,372519,0,0,0,0,0,0,0,Nick Pope
52,0,0,0,90,GK,Bournemouth,Burnley,0,1,2019-12-21,11814,2019,371438,0,0,0,0,0,0,0,Nick Pope
53,0,0,0,90,GK,Burnley,Newcastle United,1,0,2019-12-14,11804,2019,369850,0,0,0,0,0,0,0,Nick Pope
54,0,0,0,90,GK,Tottenham,Burnley,5,0,2019-12-07,11800,2019,368370,0,0,0,0,0,0.6273744702339172,0.6273744702339172,Nick Pope
55,0,0,0,90,GK,Burnley,Manchester City,1,4,2019-12-03,11784,2019,367469,0,0,0,0,0,0,0,Nick Pope
56,0,0,0,90,GK,Burnley,Crystal Palace,0,2,2019-11-30,11773,2019,366150,0,0,0,0,0,0,0,Nick Pope
57,0,0,0,90,GK,Watford,Burnley,0,3,2019-11-23,11771,2019,364724,0.1383669078350067,0,1,0,0,0.47472721338272095,0.33636030554771423,Nick Pope
58,0,0,0,90,GK,Burnley,West Ham,3,0,2019-11-09,11753,2019,363079,0,0,0,0,0,0,0,Nick Pope
59,0,0,0,90,GK,Sheffield United,Burnley,3,0,2019-11-02,11750,2019,361650,0,0,0,0,0,0.011462018825113773,0.011462018825113773,Nick Pope
60,0,0,0,90,GK,Burnley,Chelsea,2,4,2019-10-26,11735,2019,359586,0,0,0,0,0,0,0,Nick Pope
61,0,0,0,90,GK,Leicester,Burnley,2,1,2019-10-19,11728,2019,357850,0,0,0,0,0,0,0,Nick Pope
62,0,0,0,90,GK,Burnley,Everton,1,0,2019-10-05,11714,2019,356163,0,0,0,0,0,0.02400495484471321,0.02400495484471321,Nick Pope
63,0,0,0,90,GK,Aston Villa,Burnley,2,2,2019-09-28,11706,2019,354568,0,0,0,0,0,0.08305046707391739,0.08305046707391739,Nick Pope
64,0,0,0,90,GK,Burnley,Norwich,2,0,2019-09-21,11696,2019,352241,0,0,0,0,0,0.05633480101823807,0.05633480101823807,Nick Pope
65,0,0,0,90,GK,Brighton,Burnley,1,1,2019-09-14,11685,2019,348995,0,0,0,0,0,0.020001012831926346,0.020001012831926346,Nick Pope
66,0,0,0,90,GK,Burnley,Liverpool,0,3,2019-08-31,11680,2019,347678,0,0,0,0,0,0.14121142029762268,0.14121142029762268,Nick Pope
67,0,0,0,90,GK,Wolverhampton Wanderers,Burnley,1,1,2019-08-25,11668,2019,344688,0,0,0,0,0,0.3249761760234833,0.3249761760234833,Nick Pope
68,0,0,0,90,GK,Arsenal,Burnley,2,1,2019-08-17,11653,2019,341772,0.03807369992136955,0,1,0,0,0.03807369992136955,0.03807369992136955,Nick Pope
69,0,0,0,90,GK,Burnley,Southampton,3,0,2019-08-10,11646,2019,341234,0.02326565608382225,0,1,0,0,0.02326565608382225,0,Nick Pope
