goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.07782580703496933,54,FW,Southampton,Sheffield United,3,1,2020-07-26,12015,2019,411437,0,0,0,0,0.07782580703496933,0.46111756563186646,0.38329175114631653,Oliver McBurnie
0,1,0.09634491056203842,62,FW,Sheffield United,Everton,0,1,2020-07-20,12009,2019,410373,0,0,0,0,0.09634491056203842,0.09634491056203842,0,Oliver McBurnie
0,0,0,90,FW,Leicester,Sheffield United,2,0,2020-07-16,11998,2019,409136,0,0,0,0,0,0,0,Oliver McBurnie
1,2,0.1940688192844391,65,FW,Sheffield United,Chelsea,3,0,2020-07-11,11989,2019,407513,0,0,0,1,0.1940688192844391,0.8883718848228455,0.6943030953407288,Oliver McBurnie
0,1,0.04587705805897713,52,FW,Sheffield United,Wolverhampton Wanderers,1,0,2020-07-08,11980,2019,406550,0,0,0,0,0.04587705805897713,0.04587705805897713,0,Oliver McBurnie
0,2,0.2031359225511551,73,FW,Burnley,Sheffield United,1,1,2020-07-05,11963,2019,405567,0.360893189907074,0,1,0,0.2031359225511551,0.6572501063346863,0.09322100132703781,Oliver McBurnie
1,2,0.6490447521209717,90,FW,Sheffield United,Tottenham,3,1,2020-07-02,11960,2019,404820,0.023052599281072617,0,1,1,0.6490447521209717,1.4046459197998047,0.7325485944747925,Oliver McBurnie
0,1,0.010330194607377052,41,Sub,Manchester United,Sheffield United,3,0,2020-06-24,11950,2019,402332,0,0,0,0,0.010330194607377052,0.010330194607377052,0,Oliver McBurnie
0,1,0.023611685261130333,86,FW,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401627,0,0,0,0,0.023611685261130333,0.10703372955322266,0.08342204242944717,Oliver McBurnie
0,1,0.071695476770401,81,FW,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400347,0.0845920518040657,0,1,0,0.071695476770401,0.0845920518040657,0,Oliver McBurnie
0,2,0.2416228950023651,90,FW,Sheffield United,Norwich,1,0,2020-03-07,11929,2019,387680,0,0,0,0,0.2416228950023651,0.2416228950023651,0,Oliver McBurnie
0,5,1.3297394514083862,90,FW,Sheffield United,Brighton,1,1,2020-02-22,11909,2019,387162,0,0,0,0,1.3297394514083862,0.8484596610069275,0,Oliver McBurnie
0,3,0.14587299525737762,90,FW,Sheffield United,Bournemouth,2,1,2020-02-09,11900,2019,386915,0.2057071477174759,0,2,0,0.14587299525737762,0.376615047454834,0.07799790054559708,Oliver McBurnie
0,1,0.013581542298197746,90,FW,Crystal Palace,Sheffield United,0,1,2020-02-01,11885,2019,386712,0.027177128940820694,0,1,0,0.013581542298197746,0.0758390799164772,0.04866195470094681,Oliver McBurnie
0,1,0.5861145853996277,90,FW,Sheffield United,Manchester City,0,1,2020-01-21,11875,2019,386372,0,0,0,0,0.5861145853996277,0.5861145853996277,0.5861145853996277,Oliver McBurnie
0,3,0.5506027340888977,90,FW,Arsenal,Sheffield United,1,1,2020-01-18,11863,2019,386166,0,0,0,0,0.5506027340888977,0.10951048135757446,0,Oliver McBurnie
1,2,0.7963220477104187,86,FW,Sheffield United,West Ham,1,0,2020-01-10,11855,2019,385750,0.0118871433660388,0,1,1,0.7963220477104187,0.47201842069625854,0.04052169993519783,Oliver McBurnie
0,1,0.5597128868103027,24,Sub,Liverpool,Sheffield United,2,0,2020-01-02,11847,2019,385739,0,0,0,0,0.5597128868103027,0.5597128868103027,0,Oliver McBurnie
0,0,0,14,Sub,Manchester City,Sheffield United,2,0,2019-12-29,11837,2019,372946,0,0,0,0,0,0,0,Oliver McBurnie
0,4,0.26488447189331055,68,FW,Sheffield United,Watford,1,1,2019-12-26,11830,2019,372571,0,0,0,0,0.26488447189331055,0.22975358366966248,0,Oliver McBurnie
1,1,0.42836323380470276,64,FW,Brighton,Sheffield United,0,1,2019-12-21,11815,2019,371476,0,0,0,1,0.42836323380470276,0.5484155416488647,0.12005231529474258,Oliver McBurnie
0,0,0,27,Sub,Sheffield United,Aston Villa,2,0,2019-12-14,11810,2019,369835,0,0,0,0,0,0,0,Oliver McBurnie
0,0,0,5,Sub,Norwich,Sheffield United,1,2,2019-12-08,11799,2019,369021,0,0,0,0,0,0,0,Oliver McBurnie
0,3,0.46471214294433594,90,FW,Sheffield United,Newcastle United,0,2,2019-12-05,11786,2019,367812,0,0,0,0,0.46471214294433594,0.6341989636421204,0.16948683559894562,Oliver McBurnie
0,1,0.14118830859661102,15,Sub,Wolverhampton Wanderers,Sheffield United,1,1,2019-12-01,11780,2019,366782,0,0,0,0,0.14118830859661102,0.14118830859661102,0,Oliver McBurnie
1,1,0.11455435305833817,21,Sub,Sheffield United,Manchester United,3,3,2019-11-24,11770,2019,365582,0,0,0,1,0.11455435305833817,0.11455435305833817,0,Oliver McBurnie
0,0,0,12,Sub,Sheffield United,Burnley,3,0,2019-11-02,11750,2019,361649,0,0,0,0,0,0,0,Oliver McBurnie
0,1,0.026668019592761993,3,Sub,Sheffield United,Arsenal,1,0,2019-10-21,11730,2019,358961,0,0,0,0,0.026668019592761993,0,0,Oliver McBurnie
0,1,0.015566275455057621,62,FW,Watford,Sheffield United,0,0,2019-10-05,11719,2019,356271,0.1047380194067955,0,1,0,0.015566275455057621,0.13607896864414215,0.031340956687927246,Oliver McBurnie
