goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,29,Sub,Manchester City,West Ham,2,0,2020-02-19,11898,2019,387123,0,0,0,0,0,0,0,Pablo Zabaleta
0,0,0,90,DR,Leicester,West Ham,4,1,2020-01-22,11876,2019,386460,0,0,0,0,0,0,0,Pablo Zabaleta
0,0,0,90,DR,West Ham,Everton,1,1,2020-01-18,11872,2019,386064,0.5264657139778137,0,2,0,0,1.0492486953735352,1.0492486953735352,Pablo Zabaleta
0,0,0,90,DMR,Sheffield United,West Ham,1,0,2020-01-10,11855,2019,385758,0,0,0,0,0,0,0,Pablo Zabaleta
0,0,0,90,DR,Crystal Palace,West Ham,2,1,2019-12-26,11826,2019,372492,0,0,0,0,0,0,0,Pablo Zabaleta
0,0,0,74,DR,West Ham,Newcastle United,2,3,2019-11-02,11752,2019,361609,0,0,0,0,0,0.12807589769363403,0.12807589769363403,Pablo Zabaleta
0,0,0,90,DR,West Ham,Sheffield United,1,1,2019-10-26,11742,2019,359392,0.07637394964694977,0,1,0,0,0.9994825124740601,0.9994825124740601,Pablo Zabaleta
0,0,0,4,Sub,West Ham,Crystal Palace,1,2,2019-10-05,11720,2019,356397,0,0,0,0,0,0,0,Pablo Zabaleta
0,0,0,9,Sub,West Ham,Manchester United,2,0,2019-09-22,11700,2019,352867,0,0,0,0,0,0,0,Pablo Zabaleta
0,0,0,19,Sub,Aston Villa,West Ham,0,0,2019-09-16,11692,2019,350202,0,0,0,0,0,0,0,Pablo Zabaleta
