,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
34,0,2,0.03602094575762749,62,AMR,Brighton,Newcastle United,0,0,2020-07-20,12005,2019,410340,0.10458511859178543,0,2,0,0.03602094575762749,0.013404292985796928,0,Pascal Groß
35,0,0,0,11,Sub,Southampton,Brighton,1,1,2020-07-16,12002,2019,409480,0,0,0,0,0,0,0,Pascal Groß
36,0,0,0,80,FW,Brighton,Manchester City,0,5,2020-07-11,11985,2019,407599,0.11321688443422318,0,2,0,0,0.08415813744068146,0,Pascal Groß
37,0,0,0,75,AMR,Brighton,Liverpool,1,3,2020-07-08,11976,2019,406784,0.047498881816864014,0,1,0,0,0.2812747359275818,0.2812747359275818,Pascal Groß
38,0,0,0,16,Sub,Norwich,Brighton,0,1,2020-07-04,11969,2019,405087,0.030936704948544502,0,1,0,0,0.030936704948544502,0,Pascal Groß
39,0,0,0,76,AMR,Brighton,Arsenal,2,1,2020-06-20,11941,2019,401273,0.03161260485649109,0,1,0,0,0.052297163754701614,0.020684557035565376,Pascal Groß
40,0,0,0,62,AMC,Brighton,Watford,1,1,2020-02-08,11895,2019,386886,0,0,0,0,0,0.025267839431762695,0.025267839431762695,Pascal Groß
41,1,2,0.14963331818580627,90,AMR,West Ham,Brighton,3,3,2020-02-01,11892,2019,386654,0.44936293363571167,0,4,1,0.14963331818580627,1.317130446434021,1.2281252145767212,Pascal Groß
42,0,2,0.0623316615819931,61,FW,Bournemouth,Brighton,3,1,2020-01-21,11878,2019,386358,0.04021565616130829,0,1,0,0.0623316615819931,0.48669445514678955,0.42436280846595764,Pascal Groß
43,0,0,0,7,Sub,Brighton,Aston Villa,1,1,2020-01-18,11867,2019,386181,0.023373259231448174,0,1,0,0,0,0,Pascal Groß
44,0,0,0,26,Sub,Everton,Brighton,1,0,2020-01-11,11860,2019,385902,0.1745389848947525,0,1,0,0,0,0,Pascal Groß
45,0,3,0.1286087930202484,90,AMC,Tottenham,Brighton,2,1,2019-12-26,11831,2019,372417,0.4859054386615753,1,3,0,0.1286087930202484,0.3838840425014496,0.33552086353302,Pascal Groß
46,0,0,0,47,AMC,Brighton,Sheffield United,0,1,2019-12-21,11815,2019,371460,0,0,0,0,0,0.11191338300704956,0.11191338300704956,Pascal Groß
47,0,1,0.014651988632977009,90,MC,Crystal Palace,Brighton,1,1,2019-12-16,11806,2019,370782,0.6007237434387207,1,4,0,0.014651988632977009,0.40310677886009216,0.38845476508140564,Pascal Groß
48,0,1,0.0693715363740921,69,FWR,Brighton,Wolverhampton Wanderers,2,2,2019-12-08,11795,2019,369222,0.07590224593877792,0,2,0,0.0693715363740921,0.15856873989105225,0.060184646397829056,Pascal Groß
49,0,1,0.1346110701560974,81,AMC,Arsenal,Brighton,1,2,2019-12-05,11783,2019,367852,0.37634435296058655,0,6,0,0.1346110701560974,0.2717766761779785,0.22718170285224915,Pascal Groß
50,0,1,0.042997248470783234,90,FWR,Liverpool,Brighton,2,1,2019-11-30,11776,2019,366228,0.09389092773199081,0,2,0,0.042997248470783234,0.2260652482509613,0.2260652482509613,Pascal Groß
51,0,1,0.0447397381067276,26,Sub,Manchester United,Brighton,3,1,2019-11-10,11761,2019,363818,0.4664337635040283,1,1,0,0.0447397381067276,0.0447397381067276,0.0447397381067276,Pascal Groß
52,0,1,0.08732500672340393,63,MR,Brighton,Norwich,2,0,2019-11-02,11746,2019,361501,0.057352203875780106,0,2,0,0.08732500672340393,0.15477314591407776,0.024175558239221573,Pascal Groß
53,1,1,0.08817363530397415,69,ML,Brighton,Everton,3,2,2019-10-26,11734,2019,359454,0,0,0,1,0.08817363530397415,0.06820744276046753,0.06820744276046753,Pascal Groß
54,0,3,0.054961420595645905,90,MR,Aston Villa,Brighton,2,1,2019-10-19,11723,2019,357771,0.5974296927452087,1,5,0,0.054961420595645905,0.7757670283317566,0.3457326292991638,Pascal Groß
55,0,3,0.21327103674411774,90,MR,Brighton,Tottenham,3,0,2019-10-05,11713,2019,355973,0.16423027217388153,0,3,0,0.21327103674411774,1.3436375856399536,1.0495688915252686,Pascal Groß
56,0,2,0.09527244418859482,90,FWR,Chelsea,Brighton,2,0,2019-09-28,11708,2019,354631,0.4139963388442993,0,2,0,0.09527244418859482,0.1480110138654709,0.11898884922266006,Pascal Groß
57,0,2,0.036862775683403015,82,FWR,Newcastle United,Brighton,0,0,2019-09-21,11699,2019,352458,0.3758242130279541,0,3,0,0.036862775683403015,0.809613049030304,0.4771483838558197,Pascal Groß
58,0,2,0.113460473716259,90,FWR,Brighton,Burnley,1,1,2019-09-14,11685,2019,348989,0.3660455048084259,0,6,0,0.113460473716259,0.4345204532146454,0,Pascal Groß
59,0,0,0,12,Sub,Manchester City,Brighton,4,0,2019-08-31,11678,2019,347535,0,0,0,0,0,0,0,Pascal Groß
60,0,0,0,9,Sub,Brighton,Southampton,0,2,2019-08-24,11666,2019,344047,0.021529123187065125,0,1,0,0,0,0,Pascal Groß
61,0,1,0.08380389958620071,68,FWR,Brighton,West Ham,1,1,2019-08-17,11655,2019,341847,0.843755841255188,0,5,0,0.08380389958620071,0.6281679272651672,0.5037216544151306,Pascal Groß
62,0,0,0,90,FWR,Watford,Brighton,0,3,2019-08-10,11648,2019,341309,0,0,0,0,0,0.05808527395129204,0.05808527395129204,Pascal Groß
