,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
26,0,0,0,90,DMC,Leicester,Manchester United,0,2,2020-07-26,12018,2019,411492,0.08249767124652863,0,1,0,0,0.16758248209953308,0.16758248209953308,Paul Pogba
27,0,1,0.015158459544181824,90,DMC,Manchester United,West Ham,1,1,2020-07-22,12007,2019,410781,0,0,0,0,0.015158459544181824,0.3100772500038147,0.3100772500038147,Paul Pogba
28,0,1,0.012619097717106342,90,DMC,Crystal Palace,Manchester United,0,2,2020-07-16,11996,2019,409502,0,0,0,0,0.012619097717106342,0.1171848475933075,0.10456575453281403,Paul Pogba
29,0,1,0.01762075163424015,66,DMC,Manchester United,Southampton,2,2,2020-07-13,11987,2019,408387,0.06704007834196091,0,1,0,0.01762075163424015,0.5233062505722046,0.4386454224586487,Paul Pogba
30,1,1,0.030591169372200966,90,DMC,Aston Villa,Manchester United,0,3,2020-07-09,11974,2019,407190,0.6645253896713257,0,3,1,0.030591169372200966,0.952314555644989,0.9110034704208374,Paul Pogba
31,0,2,0.0781865268945694,90,DMC,Manchester United,Bournemouth,5,2,2020-07-04,11967,2019,405127,0.4063747823238373,0,3,0,0.0781865268945694,0.9536274671554565,0.8343183398246765,Paul Pogba
32,0,1,0.0688159242272377,66,DMC,Brighton,Manchester United,0,3,2020-06-30,11956,2019,404150,0.1001189798116684,1,2,0,0.0688159242272377,0.20439504086971283,0.0609595961868763,Paul Pogba
33,0,0,0,83,DMC,Manchester United,Sheffield United,3,0,2020-06-24,11950,2019,402308,0.3349810540676117,0,4,0,0,1.3841838836669922,1.3621045351028442,Paul Pogba
34,0,1,0.027070116251707077,24,Sub,Tottenham,Manchester United,1,1,2020-06-19,11936,2019,400833,0,0,0,0,0.027070116251707077,0.3639523386955261,0.33688223361968994,Paul Pogba
35,0,3,0.5027220249176025,42,Sub,Manchester United,Newcastle United,4,1,2019-12-26,11829,2019,372598,0.10546637326478958,0,2,0,0.5027220249176025,0.6461712121963501,0.5361477732658386,Paul Pogba
36,0,2,0.29244568943977356,25,Sub,Watford,Manchester United,2,0,2019-12-22,11821,2019,372142,0.04699438810348511,0,1,0,0.29244568943977356,0.6821526288986206,0.35030126571655273,Paul Pogba
37,0,2,0.031968116760253906,90,DMC,Manchester United,Arsenal,1,1,2019-09-30,11712,2019,355779,0.18564391136169434,0,2,0,0.031968116760253906,0.30008411407470703,0.08247207850217819,Paul Pogba
38,0,0,0,90,DMC,Southampton,Manchester United,1,1,2019-08-31,11673,2019,347222,0.27527618408203125,0,4,0,0,1.041333794593811,0.8220943808555603,Paul Pogba
39,0,4,0.23903115093708038,90,DMC,Manchester United,Crystal Palace,1,2,2019-08-24,11669,2019,344097,0.06928182393312454,0,2,0,0.23903115093708038,0.24179597198963165,0.17749254405498505,Paul Pogba
40,0,2,0.7790278196334839,90,DMC,Wolverhampton Wanderers,Manchester United,1,1,2019-08-19,11662,2019,342749,0.017114661633968353,0,1,0,0.017858961597085,0.1924714893102646,0.1924714893102646,Paul Pogba
41,0,1,0.05561231076717377,90,DMC,Manchester United,Chelsea,4,0,2019-08-11,11652,2019,341624,0.7008764147758484,2,4,0,0.05561231076717377,0.6850294470787048,0.5444502830505371,Paul Pogba
