goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,90,DR,Burnley,Brighton,1,2,2020-07-26,12022,2019,411232,0.03886564448475838,0,1,0,0,0.3299182057380676,0.29105257987976074,Phil Bardsley
0,2,0.03438254073262215,90,DR,Norwich,Burnley,0,2,2020-07-18,12008,2019,409679,0.38740336894989014,0,1,0,0.03438254073262215,0.7217933535575867,0.3343900144100189,Phil Bardsley
0,0,0,90,DR,Burnley,Wolverhampton Wanderers,1,1,2020-07-15,11994,2019,408625,0.08592762053012848,0,1,0,0,0.15688161551952362,0.15688161551952362,Phil Bardsley
0,0,0,90,DR,Liverpool,Burnley,1,1,2020-07-11,11986,2019,407430,0.05141852796077728,0,1,0,0,0.05141852796077728,0.05141852796077728,Phil Bardsley
0,0,0,90,DR,West Ham,Burnley,0,1,2020-07-08,11982,2019,406529,0,0,0,0,0,0,0,Phil Bardsley
0,1,0.01395915076136589,90,DR,Burnley,Sheffield United,1,1,2020-07-05,11963,2019,405545,0,0,0,0,0.01395915076136589,0.04706110060214996,0.03310194984078407,Phil Bardsley
0,0,0,90,DR,Crystal Palace,Burnley,0,1,2020-06-29,11957,2019,403935,0,0,0,0,0,0.03393030911684036,0.03393030911684036,Phil Bardsley
0,1,0.12040168046951294,90,DR,Burnley,Tottenham,1,1,2020-03-07,11924,2019,387781,0,0,0,0,0.12040168046951294,0.18346679210662842,0.06306511163711548,Phil Bardsley
0,1,0.04120101034641266,90,DR,Newcastle United,Burnley,0,0,2020-02-29,11918,2019,387468,0,0,0,0,0.04120101034641266,0.04120101034641266,0,Phil Bardsley
0,0,0,90,DR,Burnley,Bournemouth,3,0,2020-02-22,11907,2019,387207,0.10867796093225479,1,1,0,0,0.5896534323692322,0.480975478887558,Phil Bardsley
0,1,0.012067223899066448,90,DR,Southampton,Burnley,1,2,2020-02-15,11901,2019,386975,0.44532328844070435,0,1,0,0.012067223899066448,0.5496436357498169,0.09225311130285263,Phil Bardsley
0,0,0,90,DR,Burnley,Leicester,2,1,2020-01-19,11866,2019,386227,0,0,0,0,0,0.05049627274274826,0.05049627274274826,Phil Bardsley
0,1,0.015120589174330235,90,DR,Burnley,Aston Villa,1,2,2020-01-01,11846,2019,385494,0.06105579435825348,0,1,0,0.015120589174330235,0.10752256959676743,0.09240197390317917,Phil Bardsley
0,1,0.012929906137287617,90,DR,Burnley,Manchester United,0,2,2019-12-28,11835,2019,372837,0.028775611892342567,0,1,0,0.012929906137287617,0.05134354159235954,0.05134354159235954,Phil Bardsley
0,0,0,90,DR,Everton,Burnley,1,0,2019-12-26,11827,2019,372520,0,0,0,0,0,0,0,Phil Bardsley
0,0,0,90,DR,Bournemouth,Burnley,0,1,2019-12-21,11814,2019,371439,0,0,0,0,0,0,0,Phil Bardsley
0,0,0,90,DR,Burnley,Newcastle United,1,0,2019-12-14,11804,2019,369851,0,0,0,0,0,0.07780341804027557,0.07780341804027557,Phil Bardsley
0,0,0,90,DR,Burnley,Manchester City,1,4,2019-12-03,11784,2019,367470,0,0,0,0,0,0,0,Phil Bardsley
0,0,0,90,DR,Burnley,Crystal Palace,0,2,2019-11-30,11773,2019,366151,0,0,0,0,0,0.019807906821370125,0.019807906821370125,Phil Bardsley
0,1,0.012749556452035904,90,DR,Watford,Burnley,0,3,2019-11-23,11771,2019,364725,0,0,0,0,0.012749556452035904,0.0348389595746994,0.022089403122663498,Phil Bardsley
0,2,0.02816571481525898,90,DR,Burnley,West Ham,3,0,2019-11-09,11753,2019,363080,0.3721204698085785,0,1,0,0.02816571481525898,0.3721204698085785,0,Phil Bardsley
