goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,3,0.1075674369931221,49,FWL,Manchester City,Norwich,5,0,2020-07-26,12017,2019,411360,0.19874021410942078,0,2,0,0.1075674369931221,0.7755061984062195,0.6168729662895203,Phil Foden
1,7,1.0514023303985596,90,FWR,Watford,Manchester City,0,4,2020-07-21,12011,2019,410469,0,0,0,1,1.0514023303985596,1.2636300325393677,0.27678781747817993,Phil Foden
0,2,0.2503778040409088,90,AML,Manchester City,Bournemouth,2,1,2020-07-15,11999,2019,408662,0.10791929066181183,0,1,0,0.2503778040409088,0.7027276158332825,0.5948083400726318,Phil Foden
0,0,0,24,Sub,Brighton,Manchester City,0,5,2020-07-11,11985,2019,407620,0,0,0,0,0,0,0,Phil Foden
0,4,0.736347496509552,63,FWL,Manchester City,Newcastle United,5,0,2020-07-08,11979,2019,406575,0.13787700235843658,0,1,0,0.736347496509552,1.844301700592041,0.9700772762298584,Phil Foden
0,0,0,28,Sub,Southampton,Manchester City,1,0,2020-07-05,11970,2019,406029,0,0,0,0,0,0.1101544126868248,0.1101544126868248,Phil Foden
1,4,0.6198388338088989,90,AMR,Manchester City,Liverpool,4,0,2020-07-02,11959,2019,404939,0.31245893239974976,1,2,1,0.6198388338088989,1.1118521690368652,0.7045621275901794,Phil Foden
2,3,0.18445906043052673,84,FWL,Manchester City,Burnley,5,0,2020-06-22,11939,2019,401947,0.08704026788473129,0,1,2,0.18445906043052673,0.3396865129470825,0.0862903743982315,Phil Foden
1,1,0.14364156126976013,22,Sub,Manchester City,Arsenal,3,0,2020-06-17,11917,2019,400550,0.09124604612588882,0,1,1,0.14364156126976013,0.9204817414283752,0.7768401503562927,Phil Foden
0,2,0.05189702287316322,90,FWR,Manchester United,Manchester City,2,0,2020-03-08,11932,2019,387857,0.055262573063373566,0,1,0,0.05189702287316322,0.0859847143292427,0,Phil Foden
0,0,0,4,Sub,Manchester City,West Ham,2,0,2020-02-19,11898,2019,387111,0,0,0,0,0,0,0,Phil Foden
0,1,0.0819249078631401,27,Sub,Aston Villa,Manchester City,1,6,2020-01-12,11856,2019,386009,0.09424981474876404,0,1,0,0.0819249078631401,0.29118096828460693,0.1969311386346817,Phil Foden
0,1,0.0429336316883564,85,AMC,Manchester City,Everton,2,1,2020-01-01,11848,2019,385667,0.15129664540290833,0,2,0,0.0429336316883564,0.7531396746635437,0.656627893447876,Phil Foden
0,1,0.04349232465028763,8,Sub,Manchester City,Sheffield United,2,0,2019-12-29,11837,2019,372932,0,0,0,0,0.04349232465028763,0.15593211352825165,0.11243978887796402,Phil Foden
0,0,0,1,Sub,Manchester City,Leicester,3,1,2019-12-21,11817,2019,371630,0,0,0,0,0,0,0,Phil Foden
0,1,0.023404644802212715,59,AML,Arsenal,Manchester City,0,3,2019-12-15,11803,2019,370563,0.09678258001804352,1,2,0,0.023404644802212715,0.19698099792003632,0.16785870492458344,Phil Foden
0,0,0,8,Sub,Burnley,Manchester City,1,4,2019-12-03,11784,2019,367496,0,0,0,0,0,0.04466173052787781,0.04466173052787781,Phil Foden
0,0,0,18,Sub,Newcastle United,Manchester City,2,2,2019-11-30,11777,2019,365982,0.028085721656680107,0,1,0,0,0.30876803398132324,0.30876803398132324,Phil Foden
0,2,0.07841901481151581,21,Sub,Manchester City,Chelsea,2,1,2019-11-23,11769,2019,364917,0,0,0,0,0.07841901481151581,0.05795716866850853,0,Phil Foden
0,0,0,4,Sub,Manchester City,Southampton,2,1,2019-11-02,11749,2019,361537,0,0,0,0,0,0,0,Phil Foden
0,2,0.14112360775470734,13,Sub,Manchester City,Aston Villa,3,0,2019-10-26,11737,2019,359181,0.19812129437923431,0,3,0,0.14112360775470734,0.4092191457748413,0.22509066760540009,Phil Foden
0,0,0,1,Sub,Crystal Palace,Manchester City,0,2,2019-10-19,11726,2019,358110,0,0,0,0,0,0,0,Phil Foden
0,0,0,9,Sub,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341207,0,0,0,0,0,0,0,Phil Foden
