goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,23,Sub,Everton,Bournemouth,1,3,2020-07-26,12019,2019,411347,0,0,0,0,0,0.0762220099568367,0.0762220099568367,Philip Billing
0,0,0,89,MC,Bournemouth,Southampton,0,2,2020-07-19,12004,2019,409760,0.09055493772029877,0,2,0,0,0.06686484068632126,0.011985364370048046,Philip Billing
0,1,0.05934353545308113,90,MR,Manchester City,Bournemouth,2,1,2020-07-15,11999,2019,408675,0,0,0,0,0.05934353545308113,0.07461491972208023,0.07461491972208023,Philip Billing
0,1,0.06915365904569626,39,Sub,Bournemouth,Leicester,4,1,2020-07-12,11984,2019,408208,0,0,0,0,0.06915365904569626,0,0,Philip Billing
0,0,0,21,Sub,Manchester United,Bournemouth,5,2,2020-07-04,11967,2019,405149,0,0,0,0,0,0,0,Philip Billing
0,1,0.047445204108953476,48,MC,Bournemouth,Newcastle United,1,4,2020-07-01,11955,2019,404380,0,0,0,0,0.047445204108953476,0.047445204108953476,0,Philip Billing
0,1,0.018878601491451263,54,MC,Wolverhampton Wanderers,Bournemouth,1,0,2020-06-24,11947,2019,402386,0,0,0,0,0.018878601491451263,0.018878601491451263,0,Philip Billing
0,0,0,90,MC,Liverpool,Bournemouth,2,1,2020-03-07,11928,2019,387637,0.32396596670150757,0,2,0,0,1.0803989171981812,0.7564328908920288,Philip Billing
0,2,0.3566029965877533,90,MC,Bournemouth,Chelsea,2,2,2020-02-29,11914,2019,387485,0.048827994614839554,0,1,0,0.3566029965877533,1.330962061882019,0.9255310297012329,Philip Billing
0,3,0.11866620182991028,90,MC,Burnley,Bournemouth,3,0,2020-02-22,11907,2019,387225,0,0,0,0,0.11866620182991028,0.10598188638687134,0,Philip Billing
0,1,0.09596341103315353,90,MC,Sheffield United,Bournemouth,2,1,2020-02-09,11900,2019,386924,0,0,0,0,0.09596341103315353,0.11155062168836594,0.015587209723889828,Philip Billing
1,2,0.4191979765892029,90,MC,Bournemouth,Aston Villa,2,1,2020-02-01,11883,2019,386722,0.16843852400779724,0,2,1,0.4191979765892029,1.33303701877594,1.1739377975463867,Philip Billing
0,1,0.40064647793769836,90,MC,Bournemouth,Brighton,3,1,2020-01-21,11878,2019,386342,0.13152135908603668,0,2,0,0.40064647793769836,0.13152135908603668,0.02519596368074417,Philip Billing
0,1,0.016378087922930717,90,MC,Norwich,Bournemouth,1,0,2020-01-18,11869,2019,386136,0,0,0,0,0.016378087922930717,0.016378087922930717,0,Philip Billing
0,2,0.043523382395505905,28,Sub,Bournemouth,Watford,0,3,2020-01-12,11857,2019,385965,0,0,0,0,0.043523382395505905,0.043523382395505905,0,Philip Billing
0,0,0,90,MC,Brighton,Bournemouth,2,0,2019-12-28,11834,2019,372691,0,0,0,0,0,0.023324130102992058,0.023324130102992058,Philip Billing
0,0,0,19,Sub,Bournemouth,Arsenal,1,1,2019-12-26,11824,2019,372433,0.011818751692771912,0,1,0,0,0,0,Philip Billing
0,0,0,89,MC,Bournemouth,Burnley,0,1,2019-12-21,11814,2019,371432,0,0,0,0,0,0,0,Philip Billing
0,0,0,90,MC,Chelsea,Bournemouth,0,1,2019-12-14,11805,2019,369762,0,0,0,0,0,0,0,Philip Billing
0,0,0,61,MC,Bournemouth,Liverpool,0,3,2019-12-07,11794,2019,368335,0,0,0,0,0,0.04447346180677414,0.04447346180677414,Philip Billing
0,1,0.0804503783583641,84,MC,Crystal Palace,Bournemouth,1,0,2019-12-03,11791,2019,367435,0,0,0,0,0.0804503783583641,0.10621827840805054,0.02576790191233158,Philip Billing
0,0,0,48,MC,Bournemouth,Wolverhampton Wanderers,1,2,2019-11-23,11765,2019,364662,0,0,0,0,0,0,0,Philip Billing
0,3,0.06895089894533157,90,MC,Newcastle United,Bournemouth,2,1,2019-11-09,11756,2019,363209,0.027509130537509918,0,1,0,0.06895089894533157,0.1984035223722458,0.14362257719039917,Philip Billing
0,0,0,90,MC,Bournemouth,Manchester United,1,0,2019-11-02,11745,2019,361255,0,0,0,0,0,0.12475757300853729,0.12475757300853729,Philip Billing
0,1,0.025229275226593018,90,MC,Watford,Bournemouth,0,0,2019-10-26,11741,2019,359440,0,0,0,0,0.025229275226593018,0.12577411532402039,0.10054484009742737,Philip Billing
0,2,0.08513619750738144,90,MC,Bournemouth,Norwich,0,0,2019-10-19,11724,2019,357924,0,0,0,0,0.08513619750738144,0.38327428698539734,0.3722447454929352,Philip Billing
0,1,0.015240431763231754,90,MC,Arsenal,Bournemouth,1,0,2019-10-06,11722,2019,356936,0,0,0,0,0.015240431763231754,0.015240431763231754,0.015240431763231754,Philip Billing
0,1,0.06154003366827965,90,MC,Bournemouth,West Ham,2,2,2019-09-28,11707,2019,354588,0,0,0,0,0.06154003366827965,0.1581364870071411,0.09659646451473236,Philip Billing
0,1,0.03659331053495407,90,MC,Southampton,Bournemouth,1,3,2019-09-20,11693,2019,351927,0.35806217789649963,1,1,0,0.03659331053495407,0.35806217789649963,0.35806217789649963,Philip Billing
0,3,0.1748572736978531,90,MC,Bournemouth,Everton,3,1,2019-09-15,11690,2019,349627,0.08746214210987091,0,1,0,0.1748572736978531,0.18372100591659546,0.02501874603331089,Philip Billing
0,1,0.015570884570479393,90,MC,Leicester,Bournemouth,3,1,2019-08-31,11677,2019,347503,0,0,0,0,0.015570884570479393,0.10726992040872574,0.0916990414261818,Philip Billing
0,0,0,90,MC,Bournemouth,Manchester City,1,3,2019-08-25,11671,2019,344488,0,0,0,0,0,0.45382580161094666,0.45382580161094666,Philip Billing
0,1,0.021935641765594482,49,MC,Aston Villa,Bournemouth,1,2,2019-08-17,11654,2019,341833,0,0,0,0,0.021935641765594482,0.18010807037353516,0.15817242860794067,Philip Billing
0,2,0.043391212821006775,90,MC,Bournemouth,Sheffield United,1,1,2019-08-10,11645,2019,341215,0.1862698346376419,0,2,0,0.043391212821006775,0.09898212552070618,0,Philip Billing
