goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,1,0.013450691476464272,90,FW,Chelsea,Wolverhampton Wanderers,2,0,2020-07-26,12021,2019,411285,0,0,0,0,0.013450691476464272,0.013450691476464272,0,Raúl Jiménez
0,3,0.1830201894044876,90,FW,Wolverhampton Wanderers,Crystal Palace,2,0,2020-07-20,12012,2019,410400,0,0,0,0,0.1830201894044876,0.30467095971107483,0.12165074795484543,Raúl Jiménez
1,3,0.268995076417923,86,FW,Burnley,Wolverhampton Wanderers,1,1,2020-07-15,11994,2019,408647,0,0,0,1,0.268995076417923,0.38602375984191895,0.11702868342399597,Raúl Jiménez
1,3,0.9407290816307068,81,FW,Wolverhampton Wanderers,Everton,3,0,2020-07-12,11992,2019,407756,0,0,0,0,0.17956021428108215,0.1432962268590927,0.03389188274741173,Raúl Jiménez
0,0,0,90,FW,Sheffield United,Wolverhampton Wanderers,1,0,2020-07-08,11980,2019,406562,0.13745135068893433,0,2,0,0,0.1752014458179474,0.03775009512901306,Raúl Jiménez
0,1,0.10676202178001404,90,FW,Wolverhampton Wanderers,Arsenal,0,2,2020-07-04,11972,2019,405313,0.3698776662349701,0,2,0,0.10676202178001404,0.6955985426902771,0.5127207040786743,Raúl Jiménez
0,3,0.10196726769208908,89,FW,Aston Villa,Wolverhampton Wanderers,0,1,2020-06-27,11954,2019,402930,0,0,0,0,0.10196726769208908,0.21085231006145477,0.15974397957324982,Raúl Jiménez
1,1,0.15008698403835297,90,FW,Wolverhampton Wanderers,Bournemouth,1,0,2020-06-24,11947,2019,402373,0,0,0,1,0.15008698403835297,0.16014307737350464,0.01005608681589365,Raúl Jiménez
1,4,0.8346948027610779,90,FW,West Ham,Wolverhampton Wanderers,0,2,2020-06-20,11934,2019,401385,0.07501433789730072,0,2,1,0.8346948027610779,0.8749098181724548,0,Raúl Jiménez
0,4,0.489917516708374,90,FW,Wolverhampton Wanderers,Brighton,0,0,2020-03-07,11931,2019,387734,0.11449617147445679,0,2,0,0.489917516708374,0.6044136881828308,0,Raúl Jiménez
1,5,0.6475956439971924,90,FW,Tottenham,Wolverhampton Wanderers,2,3,2020-03-01,11920,2019,387612,0.07101526111364365,0,1,1,0.6475956439971924,0.6556689143180847,0.03150344267487526,Raúl Jiménez
1,4,1.2600109577178955,74,FW,Wolverhampton Wanderers,Norwich,3,0,2020-02-23,11912,2019,387326,0.058815889060497284,0,1,1,1.2600109577178955,2.093243360519409,0.9531018733978271,Raúl Jiménez
0,5,0.7100350856781006,90,FW,Wolverhampton Wanderers,Leicester,0,0,2020-02-14,11902,2019,386942,0,0,0,0,0.7100350856781006,0.462531179189682,0.03182867169380188,Raúl Jiménez
0,1,0.099483922123909,90,FW,Manchester United,Wolverhampton Wanderers,0,0,2020-02-01,11888,2019,386792,0,0,0,0,0.099483922123909,0.31857961416244507,0.21909569203853607,Raúl Jiménez
1,4,0.7335705757141113,90,FW,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386534,0.7128899693489075,0,3,1,0.7335705757141113,1.4464606046676636,0.4692833423614502,Raúl Jiménez
2,5,1.8011053800582886,90,FW,Southampton,Wolverhampton Wanderers,2,3,2020-01-18,11870,2019,386113,0,0,0,1,1.0399365425109863,1.3071486949920654,0.29573488235473633,Raúl Jiménez
0,3,0.7086507678031921,90,FW,Wolverhampton Wanderers,Newcastle United,1,1,2020-01-11,11853,2019,385803,0,0,0,0,0.7086507678031921,0.7086507678031921,0,Raúl Jiménez
0,4,0.16357769072055817,90,FW,Watford,Wolverhampton Wanderers,2,1,2020-01-01,11852,2019,385543,0,0,0,0,0.16357769072055817,0.1957511305809021,0.1032617837190628,Raúl Jiménez
0,1,0.06673496216535568,13,Sub,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29,11836,2019,372916,0.041300300508737564,0,1,0,0.06673496216535568,0.10803525894880295,0,Raúl Jiménez
