goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,90,DC,Chelsea,Wolverhampton Wanderers,2,0,2020-07-26,12021,2019,411278,0,0,0,0,0,0,0,Romain Saiss
0,1,0.5794121623039246,90,DC,Burnley,Wolverhampton Wanderers,1,1,2020-07-15,11994,2019,408640,0,0,0,0,0.5794121623039246,0.08602645248174667,0.08602645248174667,Romain Saiss
0,0,0,90,DC,Wolverhampton Wanderers,Everton,3,0,2020-07-12,11992,2019,407749,0.049271151423454285,0,1,0,0,0.1353907585144043,0.08611960709095001,Romain Saiss
0,0,0,90,DC,Sheffield United,Wolverhampton Wanderers,1,0,2020-07-08,11980,2019,406555,0,0,0,0,0,0,0,Romain Saiss
0,1,0.07052376121282578,90,DC,Wolverhampton Wanderers,Arsenal,0,2,2020-07-04,11972,2019,405306,0,0,0,0,0.07052376121282578,0.4069455862045288,0.4069455862045288,Romain Saiss
0,0,0,90,DC,Aston Villa,Wolverhampton Wanderers,0,1,2020-06-27,11954,2019,402923,0,0,0,0,0,0.15974397957324982,0.15974397957324982,Romain Saiss
0,0,0,90,DC,Wolverhampton Wanderers,Bournemouth,1,0,2020-06-24,11947,2019,402366,0.12945803999900818,0,1,0,0,0.12945803999900818,0,Romain Saiss
0,1,0.008880426175892353,90,DC,West Ham,Wolverhampton Wanderers,0,2,2020-06-20,11934,2019,401378,0,0,0,0,0.008880426175892353,0.8952470421791077,0.8863666653633118,Romain Saiss
0,0,0,90,DC,Wolverhampton Wanderers,Brighton,0,0,2020-03-07,11931,2019,387727,0,0,0,0,0,0.2430676519870758,0.2430676519870758,Romain Saiss
0,1,0.0450429804623127,90,DC,Tottenham,Wolverhampton Wanderers,2,3,2020-03-01,11920,2019,387605,0,0,0,0,0.0450429804623127,0.03150344267487526,0.03150344267487526,Romain Saiss
0,1,0.05836191028356552,90,DC,Wolverhampton Wanderers,Norwich,3,0,2020-02-23,11912,2019,387319,0.6893314123153687,1,1,0,0.05836191028356552,0.7959426045417786,0.7959426045417786,Romain Saiss
0,1,0.09801681339740753,90,DC,Wolverhampton Wanderers,Leicester,0,0,2020-02-14,11902,2019,386934,0,0,0,0,0.09801681339740753,0.04867246001958847,0.04867246001958847,Romain Saiss
0,4,0.5365163087844849,90,DC,Manchester United,Wolverhampton Wanderers,0,0,2020-02-01,11888,2019,386785,0,0,0,0,0.5365163087844849,0.05603310838341713,0.05603310838341713,Romain Saiss
0,0,0,90,DC,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386527,0.08086957782506943,0,2,0,0,0.9516717791557312,0.9223840832710266,Romain Saiss
0,0,0,90,DC,Southampton,Wolverhampton Wanderers,2,3,2020-01-18,11870,2019,386106,0,0,0,0,0,0,0,Romain Saiss
0,0,0,90,DC,Wolverhampton Wanderers,Newcastle United,1,1,2020-01-11,11853,2019,385796,0,0,0,0,0,0.5981384515762329,0.5981384515762329,Romain Saiss
0,0,0,90,DC,Watford,Wolverhampton Wanderers,2,1,2020-01-01,11852,2019,385535,0,0,0,0,0,0.45202434062957764,0.45202434062957764,Romain Saiss
0,2,0.0603022538125515,27,Sub,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29,11836,2019,372917,0.06673496216535568,0,1,0,0.0603022538125515,0.0763348713517189,0.03503457084298134,Romain Saiss
0,2,0.5997752547264099,90,DC,Wolverhampton Wanderers,Manchester City,3,2,2019-12-27,11832,2019,372645,0.013024682179093361,0,1,0,0.5997752547264099,0.8288525938987732,0.8138090372085571,Romain Saiss
1,1,0.3806208074092865,90,DC,Norwich,Wolverhampton Wanderers,1,2,2019-12-21,11819,2019,371522,0,0,0,1,0.3806208074092865,0.5884769558906555,0.5884769558906555,Romain Saiss
0,1,0.019604235887527466,90,DC,Wolverhampton Wanderers,Tottenham,1,2,2019-12-15,11812,2019,370321,0.02726631797850132,0,1,0,0.019604235887527466,0.25247126817703247,0.2252049297094345,Romain Saiss
0,1,0.032015763223171234,90,DC,Brighton,Wolverhampton Wanderers,2,2,2019-12-08,11795,2019,369229,0,0,0,0,0.032015763223171234,0.6303266286849976,0.6303266286849976,Romain Saiss
0,2,0.09570898115634918,90,DC,Wolverhampton Wanderers,West Ham,2,0,2019-12-04,11787,2019,367638,0.11273708194494247,0,2,0,0.09570898115634918,0.3031207323074341,0.28066712617874146,Romain Saiss
0,1,0.014838442206382751,90,DC,Bournemouth,Wolverhampton Wanderers,1,2,2019-11-23,11765,2019,364672,0,0,0,0,0.014838442206382751,0.18208281695842743,0.16724437475204468,Romain Saiss
0,0,0,90,DC,Wolverhampton Wanderers,Aston Villa,2,1,2019-11-10,11760,2019,363879,0,0,0,0,0,0.7541582584381104,0.7541582584381104,Romain Saiss
0,0,0,90,DC,Arsenal,Wolverhampton Wanderers,1,1,2019-11-02,11743,2019,361485,0,0,0,0,0,0.7015621066093445,0.7015621066093445,Romain Saiss
0,0,0,90,DC,Newcastle United,Wolverhampton Wanderers,1,1,2019-10-27,11738,2019,360156,0.0637778490781784,0,2,0,0,0.25517386198043823,0.21825242042541504,Romain Saiss
0,0,0,12,DC,Manchester City,Wolverhampton Wanderers,0,2,2019-10-06,11716,2019,356847,0,0,0,0,0,0,0,Romain Saiss
