goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,2,0.044460803270339966,64,MC,Chelsea,Wolverhampton Wanderers,2,0,2020-07-26,12021,2019,411283,0.06052368879318237,0,1,0,0.044460803270339966,0.0739743784070015,0.013450691476464272,Rúben Neves
0,0,0,90,MC,Wolverhampton Wanderers,Crystal Palace,2,0,2020-07-20,12012,2019,410397,0.04115850478410721,0,2,0,0,0.3170658051967621,0.2966969609260559,Rúben Neves
0,2,0.037032727152109146,90,MC,Burnley,Wolverhampton Wanderers,1,1,2020-07-15,11994,2019,408644,0.08447499573230743,0,1,0,0.037032727152109146,0.24177029728889465,0.12026257067918777,Rúben Neves
0,2,0.04142384231090546,90,MC,Wolverhampton Wanderers,Everton,3,0,2020-07-12,11992,2019,407754,0.9276160597801208,1,3,0,0.04142384231090546,1.0287086963653564,0.10109264403581619,Rúben Neves
0,4,0.1636897623538971,90,MC,Sheffield United,Wolverhampton Wanderers,1,0,2020-07-08,11980,2019,406559,0,0,0,0,0.1636897623538971,0.23660476505756378,0.1632189005613327,Rúben Neves
0,2,0.037334855645895004,90,MC,Wolverhampton Wanderers,Arsenal,0,2,2020-07-04,11972,2019,405311,0.025831101462244987,0,1,0,0.037334855645895004,0.7888338565826416,0.7447139620780945,Rúben Neves
0,0,0,90,MC,Aston Villa,Wolverhampton Wanderers,0,1,2020-06-27,11954,2019,402928,0.03940596058964729,0,1,0,0,0.09561982750892639,0.09561982750892639,Rúben Neves
0,3,0.07218907028436661,90,MC,Wolverhampton Wanderers,Bournemouth,1,0,2020-06-24,11947,2019,402370,0,0,0,0,0.07218907028436661,0.03413954749703407,0,Rúben Neves
0,0,0,90,MC,West Ham,Wolverhampton Wanderers,0,2,2020-06-20,11934,2019,401383,0,0,0,0,0,0.19189831614494324,0.19189831614494324,Rúben Neves
0,3,0.11879181861877441,66,MC,Wolverhampton Wanderers,Brighton,0,0,2020-03-07,11931,2019,387732,0.07956109941005707,0,1,0,0.11879181861877441,0.21288743615150452,0.014534513466060162,Rúben Neves
0,0,0,90,MC,Tottenham,Wolverhampton Wanderers,2,3,2020-03-01,11920,2019,387609,0.04350005090236664,0,2,0,0,0.3016003370285034,0.258100301027298,Rúben Neves
0,3,0.21817626059055328,90,MC,Wolverhampton Wanderers,Norwich,3,0,2020-02-23,11912,2019,387324,0,0,0,0,0.21817626059055328,0.8519423604011536,0.8336476683616638,Rúben Neves
0,1,0.05855191871523857,84,MC,Wolverhampton Wanderers,Leicester,0,0,2020-02-14,11902,2019,386939,0,0,0,0,0.05855191871523857,0.33098241686820984,0.33098241686820984,Rúben Neves
0,1,0.04896115884184837,90,MC,Manchester United,Wolverhampton Wanderers,0,0,2020-02-01,11888,2019,386789,0,0,0,0,0.04896115884184837,0.4999929666519165,0.4999929666519165,Rúben Neves
0,0,0,90,MC,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,2019,386530,0.23532521724700928,0,1,0,0,0.7841636538505554,0.7841636538505554,Rúben Neves
0,0,0,90,MC,Southampton,Wolverhampton Wanderers,2,3,2020-01-18,11870,2019,386110,0,0,0,0,0,0,0,Rúben Neves
0,3,0.046205732971429825,90,MC,Wolverhampton Wanderers,Newcastle United,1,1,2020-01-11,11853,2019,385800,0,0,0,0,0.046205732971429825,0.9154778122901917,0.9044243097305298,Rúben Neves
0,3,0.06256511062383652,32,Sub,Watford,Wolverhampton Wanderers,2,1,2020-01-01,11852,2019,385545,0,0,0,0,0.06256511062383652,0.42319974303245544,0.3937087953090668,Rúben Neves
0,1,0.05377800017595291,63,MC,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29,11836,2019,372912,0,0,0,0,0.05377800017595291,0,0,Rúben Neves
0,2,0.031222419813275337,90,MC,Wolverhampton Wanderers,Manchester City,3,2,2019-12-27,11832,2019,372649,0.09898634999990463,1,3,0,0.031222419813275337,0.3418786823749542,0.28861936926841736,Rúben Neves
0,1,0.012073306366801262,90,MC,Norwich,Wolverhampton Wanderers,1,2,2019-12-21,11819,2019,371526,0.06987641006708145,0,1,0,0.012073306366801262,0.690227210521698,0.678153932094574,Rúben Neves
0,2,0.05378701165318489,90,MC,Wolverhampton Wanderers,Tottenham,1,2,2019-12-15,11812,2019,370325,0.09358023852109909,0,2,0,0.05378701165318489,0.21710361540317535,0.06973636895418167,Rúben Neves
0,1,0.02161181904375553,90,MC,Brighton,Wolverhampton Wanderers,2,2,2019-12-08,11795,2019,369234,0.09884016960859299,0,2,0,0.02161181904375553,0.12045198678970337,0.09884016960859299,Rúben Neves
0,0,0,90,MC,Wolverhampton Wanderers,West Ham,2,0,2019-12-04,11787,2019,367642,0,0,0,0,0,0.5760276317596436,0.5760276317596436,Rúben Neves
0,3,0.06061902269721031,90,MC,Wolverhampton Wanderers,Sheffield United,1,1,2019-12-01,11780,2019,366765,0,0,0,0,0.06061902269721031,0.17816117405891418,0.13786128163337708,Rúben Neves
0,5,0.08618538826704025,90,MC,Bournemouth,Wolverhampton Wanderers,1,2,2019-11-23,11765,2019,364676,0.09947167336940765,0,1,0,0.08618538826704025,0.3137489855289459,0.17114265263080597,Rúben Neves
1,2,0.12093964219093323,90,MC,Wolverhampton Wanderers,Aston Villa,2,1,2019-11-10,11760,2019,363883,0.27511340379714966,0,3,1,0.12093964219093323,0.8727481961250305,0.597407877445221,Rúben Neves
0,4,0.06604958325624466,90,MC,Arsenal,Wolverhampton Wanderers,1,1,2019-11-02,11743,2019,361489,0.027161186560988426,0,1,0,0.06604958325624466,0.3185262084007263,0.2759596109390259,Rúben Neves
0,1,0.011833686381578445,90,MC,Newcastle United,Wolverhampton Wanderers,1,1,2019-10-27,11738,2019,360161,0,0,0,0,0.011833686381578445,1.1552530527114868,1.1434193849563599,Rúben Neves
0,0,0,51,MC,Wolverhampton Wanderers,Southampton,1,1,2019-10-19,11732,2019,357871,0,0,0,0,0,0,0,Rúben Neves
0,0,0,90,MC,Manchester City,Wolverhampton Wanderers,0,2,2019-10-06,11716,2019,356852,0,0,0,0,0,0.6889715194702148,0.6889715194702148,Rúben Neves
0,0,0,1,Sub,Wolverhampton Wanderers,Watford,2,0,2019-09-28,11705,2019,354705,0,0,0,0,0,0,0,Rúben Neves
