goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,28,Sub,Arsenal,Watford,3,2,2020-07-26,12014,2019,411212,0.05641248822212219,0,1,0,0,0.20286265015602112,0.20286265015602112,Sead Kolasinac
0,0,0,90,DC,Aston Villa,Arsenal,1,0,2020-07-21,12003,2019,410523,0,0,0,0,0,0.035457540303468704,0.035457540303468704,Sead Kolasinac
0,0,0,3,Sub,Arsenal,Liverpool,2,1,2020-07-15,11993,2019,408848,0,0,0,0,0,0.3071109354496002,0.3071109354496002,Sead Kolasinac
0,1,0.06827846169471741,86,DC,Tottenham,Arsenal,2,1,2020-07-12,11990,2019,408001,0,0,0,0,0.06827846169471741,0.07319391518831253,0.07319391518831253,Sead Kolasinac
0,0,0,90,DC,Arsenal,Leicester,1,1,2020-07-07,11973,2019,406364,0,0,0,0,0,0.5951851010322571,0.5951851010322571,Sead Kolasinac
0,0,0,90,DC,Wolverhampton Wanderers,Arsenal,0,2,2020-07-04,11972,2019,405319,0,0,0,0,0,0,0,Sead Kolasinac
0,0,0,90,DC,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404406,0,0,0,0,0,0.4339054822921753,0.4339054822921753,Sead Kolasinac
0,0,0,17,Sub,Southampton,Arsenal,0,2,2020-06-25,11952,2019,402667,0,0,0,0,0,0,0,Sead Kolasinac
0,0,0,90,DL,Brighton,Arsenal,2,1,2020-06-20,11941,2019,401286,0,0,0,0,0,0.1448042243719101,0.1448042243719101,Sead Kolasinac
0,0,0,17,DL,Arsenal,Everton,3,2,2020-02-23,11903,2019,387349,0,0,0,0,0,0.045410990715026855,0.045410990715026855,Sead Kolasinac
0,0,0,90,DL,Crystal Palace,Arsenal,1,1,2020-01-11,11859,2019,385784,0,0,0,0,0,0.4340868890285492,0.4340868890285492,Sead Kolasinac
0,0,0,70,DL,Arsenal,Manchester United,2,0,2020-01-01,11844,2019,385688,0,0,0,0,0,0,0,Sead Kolasinac
0,0,0,39,DL,Arsenal,Manchester City,0,3,2019-12-15,11803,2019,370544,0,0,0,0,0,0,0,Sead Kolasinac
0,0,0,62,Sub,West Ham,Arsenal,1,3,2019-12-09,11802,2019,369434,0.31282058358192444,1,1,0,0,0.8824334740638733,0.8824334740638733,Sead Kolasinac
0,0,0,73,DL,Arsenal,Brighton,1,2,2019-12-05,11783,2019,367834,0,0,0,0,0,0.4697771668434143,0.4697771668434143,Sead Kolasinac
0,0,0,90,DL,Norwich,Arsenal,2,2,2019-12-01,11781,2019,366799,0.017041902989149094,0,1,0,0,0.12960711121559143,0.11256520450115204,Sead Kolasinac
0,1,0.03012360818684101,90,ML,Leicester,Arsenal,2,0,2019-11-09,11762,2019,363320,0,0,0,0,0.03012360818684101,0.16292345523834229,0.13279984891414642,Sead Kolasinac
0,0,0,2,Sub,Arsenal,Wolverhampton Wanderers,1,1,2019-11-02,11743,2019,361480,0,0,0,0,0,0,0,Sead Kolasinac
0,0,0,12,Sub,Arsenal,Crystal Palace,2,2,2019-10-27,11733,2019,360289,0,0,0,0,0,0,0,Sead Kolasinac
0,1,0.014122107066214085,90,DL,Sheffield United,Arsenal,1,0,2019-10-21,11730,2019,358966,0.6281102895736694,0,2,0,0.014122107066214085,0.7103713750839233,0.06813902407884598,Sead Kolasinac
0,0,0,90,DL,Arsenal,Bournemouth,1,0,2019-10-06,11722,2019,356919,0,0,0,0,0,0.14852581918239594,0.14852581918239594,Sead Kolasinac
0,0,0,90,DL,Manchester United,Arsenal,1,1,2019-09-30,11712,2019,355791,0,0,0,0,0,0.8644086718559265,0.8644086718559265,Sead Kolasinac
0,0,0,90,DL,Arsenal,Aston Villa,3,2,2019-09-22,11702,2019,353084,0.09260573238134384,0,1,0,0,0.6098358035087585,0.5172300934791565,Sead Kolasinac
0,0,0,90,DL,Watford,Arsenal,2,2,2019-09-15,11691,2019,349863,0.12232022732496262,1,2,0,0,0.8032801747322083,0.7034085392951965,Sead Kolasinac
0,1,0.14246419072151184,90,DL,Arsenal,Tottenham,2,2,2019-09-01,11682,2019,348098,0.10499250143766403,0,2,0,0.14246419072151184,0.931710958480835,0.8267184495925903,Sead Kolasinac
0,0,0,18,Sub,Arsenal,Burnley,2,1,2019-08-17,11653,2019,341769,0,0,0,0,0,0.04320763051509857,0.04320763051509857,Sead Kolasinac
