,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.3665228486061096,90,DR,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387753,0,0,0,0,0.3665228486061096,0.3904663026332855,0.3904663026332855,Sokratis
1,0,0,0,90,DC,Crystal Palace,Arsenal,1,1,2020-01-11,11859,2019,385783,0,0,0,0,0,0.4340868890285492,0.4340868890285492,Sokratis
2,1,1,0.7903546690940857,90,DC,Arsenal,Manchester United,2,0,2020-01-01,11844,2019,385687,0,0,0,1,0.7903546690940857,0,0,Sokratis
3,0,0,0,78,DC,Bournemouth,Arsenal,1,1,2019-12-26,11824,2019,372438,0,0,0,0,0,0.35547518730163574,0.35547518730163574,Sokratis
4,0,0,0,90,DC,Arsenal,Manchester City,0,3,2019-12-15,11803,2019,370542,0,0,0,0,0,0.09853454679250717,0.09853454679250717,Sokratis
5,0,0,0,90,DC,West Ham,Arsenal,1,3,2019-12-09,11802,2019,369425,0,0,0,0,0,0.9143176674842834,0.9143176674842834,Sokratis
6,0,0,0,90,DC,Arsenal,Brighton,1,2,2019-12-05,11783,2019,367833,0,0,0,0,0,0.16458143293857574,0.16458143293857574,Sokratis
7,0,2,0.10874859988689423,90,DC,Arsenal,Southampton,2,2,2019-11-23,11763,2019,364822,0,0,0,0,0.10874859988689423,0.07526819407939911,0.07526819407939911,Sokratis
8,0,1,0.017750682309269905,90,DC,Arsenal,Wolverhampton Wanderers,1,1,2019-11-02,11743,2019,361472,0,0,0,0,0.017750682309269905,0.07201562821865082,0.07201562821865082,Sokratis
9,1,1,0.08006667345762253,90,DC,Arsenal,Crystal Palace,2,2,2019-10-27,11733,2019,360281,0,0,0,1,0.08006667345762253,0.13858620822429657,0.13858620822429657,Sokratis
10,0,0,0,90,DC,Sheffield United,Arsenal,1,0,2019-10-21,11730,2019,358965,0,0,0,0,0,0.014122107066214085,0.014122107066214085,Sokratis
11,0,0,0,90,DC,Arsenal,Bournemouth,1,0,2019-10-06,11722,2019,356918,0,0,0,0,0,0.05464360490441322,0.05464360490441322,Sokratis
12,0,0,0,90,DC,Manchester United,Arsenal,1,1,2019-09-30,11712,2019,355790,0,0,0,0,0,0.05944904685020447,0.05944904685020447,Sokratis
13,0,1,0.087061308324337,90,DC,Arsenal,Aston Villa,3,2,2019-09-22,11702,2019,353083,0.3942606747150421,0,1,0,0.087061308324337,0.14850886166095734,0.14850886166095734,Sokratis
14,0,0,0,90,DC,Watford,Arsenal,2,2,2019-09-15,11691,2019,349862,0,0,0,0,0,0.6279090046882629,0.6279090046882629,Sokratis
15,0,0,0,90,DC,Arsenal,Tottenham,2,2,2019-09-01,11682,2019,348097,0,0,0,0,0,0.0972638726234436,0.0972638726234436,Sokratis
16,0,0,0,90,DC,Liverpool,Arsenal,3,1,2019-08-24,11670,2019,344248,0,0,0,0,0,0,0,Sokratis
17,0,0,0,90,DC,Arsenal,Burnley,2,1,2019-08-17,11653,2019,341761,0.3587149679660797,0,1,0,0,0.3585618734359741,0.3585618734359741,Sokratis
18,0,0,0,90,DC,Newcastle United,Arsenal,0,1,2019-08-11,11650,2019,341526,0,0,0,0,0,0.3383611738681793,0.3383611738681793,Sokratis
