,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,90,DC,Everton,Bournemouth,1,3,2020-07-26,12019,2019,411339,0,0,0,0,0,0,0,Steve Cook
1,0,1,0.11275115609169006,90,DC,Bournemouth,Southampton,0,2,2020-07-19,12004,2019,409756,0,0,0,0,0.11275115609169006,0,0,Steve Cook
2,0,0,0,90,DC,Manchester City,Bournemouth,2,1,2020-07-15,11999,2019,408671,0,0,0,0,0,0.34846192598342896,0.34846192598342896,Steve Cook
3,0,1,0.05979439616203308,51,Sub,Bournemouth,Leicester,4,1,2020-07-12,11984,2019,408210,0,0,0,0,0.05979439616203308,0,0,Steve Cook
4,0,0,0,82,DC,Bournemouth,Newcastle United,1,4,2020-07-01,11955,2019,404376,0,0,0,0,0,0.06730600446462631,0.06730600446462631,Steve Cook
5,0,0,0,90,DC,Wolverhampton Wanderers,Bournemouth,1,0,2020-06-24,11947,2019,402382,0,0,0,0,0,0,0,Steve Cook
6,0,1,0.013139059767127037,90,DC,Bournemouth,Crystal Palace,0,2,2020-06-20,11942,2019,401451,0.011403249576687813,0,1,0,0.013139059767127037,0.09167953580617905,0.08027628809213638,Steve Cook
7,0,0,0,18,DC,Liverpool,Bournemouth,2,1,2020-03-07,11928,2019,387633,0,0,0,0,0,0.7564328908920288,0.7564328908920288,Steve Cook
8,0,0,0,90,DC,Bournemouth,Chelsea,2,2,2020-02-29,11914,2019,387482,0,0,0,0,0,0.051167313009500504,0.051167313009500504,Steve Cook
9,0,0,0,90,DC,Burnley,Bournemouth,3,0,2020-02-22,11907,2019,387222,0,0,0,0,0,0.05701126903295517,0.05701126903295517,Steve Cook
10,0,0,0,30,DC,Norwich,Bournemouth,1,0,2020-01-18,11869,2019,386133,0,0,0,0,0,0,0,Steve Cook
11,0,0,0,90,DC,Bournemouth,Watford,0,3,2020-01-12,11857,2019,385957,0,0,0,0,0,0.11401756852865219,0.11401756852865219,Steve Cook
12,0,0,0,90,DC,West Ham,Bournemouth,4,0,2020-01-01,11843,2019,385618,0,0,0,0,0,0.6212195158004761,0.6212195158004761,Steve Cook
13,0,1,0.027214068919420242,90,DC,Brighton,Bournemouth,2,0,2019-12-28,11834,2019,372687,0,0,0,0,0.027214068919420242,0,0,Steve Cook
14,0,0,0,90,DC,Bournemouth,Arsenal,1,1,2019-12-26,11824,2019,372424,0,0,0,0,0,0.03322042152285576,0.03322042152285576,Steve Cook
15,0,1,0.03364422172307968,90,DC,Tottenham,Bournemouth,3,2,2019-11-30,11779,2019,366251,0,0,0,0,0.03364422172307968,0.02424677088856697,0.02424677088856697,Steve Cook
16,1,2,0.10487444698810577,90,DC,Bournemouth,Wolverhampton Wanderers,1,2,2019-11-23,11765,2019,364659,0.5165528655052185,0,1,1,0.10487444698810577,0,0,Steve Cook
17,0,1,0.04780324175953865,90,DC,Newcastle United,Bournemouth,2,1,2019-11-09,11756,2019,363206,0,0,0,0,0.04780324175953865,0.1897307187318802,0.1897307187318802,Steve Cook
18,0,0,0,90,DC,Bournemouth,Manchester United,1,0,2019-11-02,11745,2019,361251,0,0,0,0,0,0.9483189582824707,0.9483189582824707,Steve Cook
19,0,2,0.1010214313864708,90,DC,Watford,Bournemouth,0,0,2019-10-26,11741,2019,359436,0,0,0,0,0.1010214313864708,0.11827370524406433,0.11827370524406433,Steve Cook
20,0,0,0,90,DC,Bournemouth,Norwich,0,0,2019-10-19,11724,2019,357921,0,0,0,0,0,0.05190058425068855,0.05190058425068855,Steve Cook
21,0,1,0.06235279515385628,90,DC,Arsenal,Bournemouth,1,0,2019-10-06,11722,2019,356932,0,0,0,0,0.06235279515385628,0.03140885382890701,0.03140885382890701,Steve Cook
22,0,0,0,90,DC,Bournemouth,West Ham,2,2,2019-09-28,11707,2019,354584,0,0,0,0,0,0.1581364870071411,0.1581364870071411,Steve Cook
23,0,0,0,90,DC,Southampton,Bournemouth,1,3,2019-09-20,11693,2019,351923,0,0,0,0,0,0,0,Steve Cook
24,0,0,0,90,DC,Bournemouth,Everton,3,1,2019-09-15,11690,2019,349624,0.05363057926297188,0,1,0,0,0.036917999386787415,0.036917999386787415,Steve Cook
25,0,0,0,90,DC,Leicester,Bournemouth,3,1,2019-08-31,11677,2019,347498,0,0,0,0,0,0.10986096411943436,0.10986096411943436,Steve Cook
26,0,0,0,90,DC,Bournemouth,Manchester City,1,3,2019-08-25,11671,2019,344483,0.11443237960338593,0,1,0,0,0.11443237960338593,0,Steve Cook
27,0,0,0,90,DC,Aston Villa,Bournemouth,1,2,2019-08-17,11654,2019,341829,0,0,0,0,0,0,0,Steve Cook
28,0,1,0.05648605525493622,90,DC,Bournemouth,Sheffield United,1,1,2019-08-10,11645,2019,341210,0,0,0,0,0.05648605525493622,0,0,Steve Cook
