goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,73,DMC,Everton,Bournemouth,1,3,2020-07-26,12019,2019,411326,0,0,0,0,0,1.0529489517211914,1.0529489517211914,Tom Davies
0,0,0,90,MC,Sheffield United,Everton,0,1,2020-07-20,12009,2019,410385,0,0,0,0,0,0.08899813890457153,0.08899813890457153,Tom Davies
0,1,0.016651740297675133,75,MC,Everton,Aston Villa,1,1,2020-07-16,11997,2019,409091,0,0,0,0,0.016651740297675133,0.21421881020069122,0.19756707549095154,Tom Davies
0,0,0,90,MC,Wolverhampton Wanderers,Everton,3,0,2020-07-12,11992,2019,407768,0,0,0,0,0,0.04529514163732529,0.04529514163732529,Tom Davies
0,0,0,90,MC,Everton,Southampton,1,1,2020-07-09,11978,2019,406999,0,0,0,0,0,0,0,Tom Davies
0,1,0.018498266115784645,82,MR,Tottenham,Everton,1,0,2020-07-06,11971,2019,406143,0.01616143062710762,0,1,0,0.018498266115784645,0.01616143062710762,0,Tom Davies
0,0,0,30,Sub,Everton,Leicester,2,1,2020-07-01,11958,2019,404327,0,0,0,0,0,0,0,Tom Davies
0,0,0,48,MC,Norwich,Everton,0,1,2020-06-24,11948,2019,402356,0,0,0,0,0,0.017911698669195175,0.017911698669195175,Tom Davies
0,1,0.13014279305934906,90,MC,Everton,Liverpool,0,0,2020-06-21,11940,2019,401758,0,0,0,0,0.13014279305934906,0.16210590302944183,0.031963102519512177,Tom Davies
0,0,0,58,MC,Chelsea,Everton,4,0,2020-03-08,11925,2019,387828,0,0,0,0,0,0,0,Tom Davies
0,1,0.04344746842980385,90,MC,Everton,Manchester United,1,1,2020-03-01,11916,2019,387568,0.11165337264537811,0,1,0,0.04344746842980385,0.9775643348693848,0.8659109473228455,Tom Davies
0,0,0,22,Sub,Everton,Crystal Palace,3,1,2020-02-08,11897,2019,386863,0.07361423224210739,0,1,0,0,0.23888687789440155,0.16527263820171356,Tom Davies
0,0,0,6,Sub,Everton,Newcastle United,2,2,2020-01-21,11877,2019,386292,0,0,0,0,0,0,0,Tom Davies
0,2,0.15209074318408966,90,MC,West Ham,Everton,1,1,2020-01-18,11872,2019,386083,0,0,0,0,0.15209074318408966,0.5757931470870972,0.5757931470870972,Tom Davies
0,0,0,90,MC,Everton,Brighton,1,0,2020-01-11,11860,2019,385883,0.12435834854841232,0,1,0,0,0.5982866287231445,0.473928302526474,Tom Davies
0,1,0.015302874147891998,90,MC,Manchester City,Everton,2,1,2020-01-01,11848,2019,385679,0,0,0,0,0.015302874147891998,0,0,Tom Davies
0,1,0.08388882875442505,90,MC,Newcastle United,Everton,1,2,2019-12-28,11838,2019,372720,0.07190120220184326,0,1,0,0.08388882875442505,0.5454578995704651,0.5454578995704651,Tom Davies
0,0,0,3,Sub,Everton,Burnley,1,0,2019-12-26,11827,2019,372518,0,0,0,0,0,0.04494571313261986,0.04494571313261986,Tom Davies
0,1,0.017561443150043488,90,MR,Everton,Arsenal,0,0,2019-12-21,11816,2019,371237,0.13679039478302002,0,1,0,0.017561443150043488,0.1543518304824829,0,Tom Davies
0,0,0,90,MC,Manchester United,Everton,1,1,2019-12-15,11809,2019,370312,0,0,0,0,0,0.05768487975001335,0.05768487975001335,Tom Davies
0,1,0.09402912110090256,17,Sub,Everton,Chelsea,3,1,2019-12-07,11796,2019,368120,0,0,0,0,0.09402912110090256,0.09402912110090256,0,Tom Davies
0,1,0.014619158580899239,75,MC,Liverpool,Everton,5,2,2019-12-04,11792,2019,367796,0,0,0,0,0.014619158580899239,0.07870303839445114,0.06408388167619705,Tom Davies
0,0,0,90,MC,Leicester,Everton,2,1,2019-12-01,11775,2019,367050,0,0,0,0,0,0.07867531478404999,0.07867531478404999,Tom Davies
0,2,0.06311455368995667,90,DMC,Everton,Norwich,0,2,2019-11-23,11768,2019,364798,0,0,0,0,0.06311455368995667,0.0852818489074707,0.07234031707048416,Tom Davies
1,3,0.3961924910545349,90,DMC,Southampton,Everton,1,2,2019-11-09,11758,2019,363181,0,0,0,1,0.3961924910545349,0.5726394653320312,0.5583237409591675,Tom Davies
0,0,0,85,MC,Everton,Tottenham,1,1,2019-11-03,11748,2019,362341,0,0,0,0,0,0.08938168734312057,0.08938168734312057,Tom Davies
0,0,0,90,DMC,Brighton,Everton,3,2,2019-10-26,11734,2019,359466,0,0,0,0,0,0.3200042247772217,0.3200042247772217,Tom Davies
0,1,0.5947082042694092,90,DMC,Everton,West Ham,2,0,2019-10-19,11727,2019,357534,0,0,0,0,0.5947082042694092,0.18684116005897522,0.18684116005897522,Tom Davies
0,0,0,3,Sub,Everton,Manchester City,1,3,2019-09-28,11711,2019,354870,0,0,0,0,0,0,0,Tom Davies
0,0,0,8,Sub,Crystal Palace,Everton,0,0,2019-08-10,11647,2019,341286,0,0,0,0,0,0,0,Tom Davies
