goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,49,DR,Southampton,Arsenal,0,2,2020-06-25,11952,2019,402642,0,0,0,0,0,0,0,Yan Valery
0,0,0,90,DR,Norwich,Southampton,0,3,2020-06-19,11937,2019,400730,0,0,0,0,0,0.2901374399662018,0.2901374399662018,Yan Valery
0,1,0.0458286888897419,90,DR,Southampton,Newcastle United,0,1,2020-03-07,11930,2019,387699,0,0,0,0,0.0458286888897419,0.15483452379703522,0.10900583863258362,Yan Valery
0,0,0,12,Sub,Southampton,Watford,2,1,2019-11-30,11778,2019,366382,0,0,0,0,0,1.5096592903137207,1.5096592903137207,Yan Valery
0,0,0,76,DR,Manchester City,Southampton,2,1,2019-11-02,11749,2019,361539,0,0,0,0,0,0,0,Yan Valery
0,1,0.07692313939332962,72,DMR,Southampton,Leicester,0,9,2019-10-25,11740,2019,359089,0,0,0,0,0.07692313939332962,0.07692313939332962,0,Yan Valery
0,0,0,81,DMR,Wolverhampton Wanderers,Southampton,1,1,2019-10-19,11732,2019,357881,0,0,0,0,0,0.022495390847325325,0.022495390847325325,Yan Valery
0,0,0,90,DR,Southampton,Chelsea,1,4,2019-10-06,11718,2019,356860,0,0,0,0,0,0,0,Yan Valery
0,0,0,56,DR,Brighton,Southampton,0,2,2019-08-24,11666,2019,344051,0,0,0,0,0,0,0,Yan Valery
0,1,0.13340546190738678,90,DMR,Southampton,Liverpool,1,2,2019-08-17,11658,2019,341789,0.5636340975761414,0,1,0,0.13340546190738678,0.9560097455978394,0.8226042985916138,Yan Valery
0,0,0,90,DMR,Burnley,Southampton,3,0,2019-08-10,11646,2019,341251,0.5794821977615356,0,1,0,0,0.5794821977615356,0,Yan Valery
