name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
Aaron Connolly,FWD,Brighton,78,129,15,2,True,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,-1,2.0,12.0,34.0,4.8,53,-1589,32454,979,2568
Aaron Cresswell,DEF,West Ham,435,131,5,1,False,2020-12-21T20:00:00Z,3,0,14,90,0,0,0,3,0,0,0,0,0,0,0,14,10.0,20.6,8.0,3.9,52,5430,891542,37935,32505
Aaron Mooy,MID,Brighton,60,129,15,0,True,2020-12-20T12:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4,897,1,5
Aaron Ramsdale,GK,Sheffield Utd,483,129,3,2,False,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,1,0,3,0,12,20.2,0.0,0.0,2.0,47,-6437,173530,1604,8041
Aaron Wan-Bissaka,DEF,Man Utd,313,134,10,1,True,2020-12-20T16:30:00Z,6,2,14,90,0,0,0,2,0,0,0,0,0,0,0,11,34.8,0.4,0.0,3.5,54,-11740,650952,11590,23330
Abdoulaye Doucouré,MID,Everton,512,133,1,2,True,2020-12-19T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,12,9.6,3.0,0.0,1.3,53,-1091,79540,3113,4204
Aboubakar Kamara,MID,Fulham,190,135,14,0,False,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-24,3703,58,82
Adama Traoré,MID,Wolves,465,130,4,1,False,2020-12-21T17:30:00Z,2,1,14,30,0,0,0,0,0,0,0,0,0,0,0,9,15.4,44.9,0.0,6.0,61,-10732,452687,4815,15547
Adam Forshaw,MID,Leeds,199,134,13,0,False,2020-12-20T16:30:00Z,6,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-3,580,8,11
Adam Lallana,MID,Brighton,54,129,15,2,True,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,14,12.4,28.4,14.0,5.5,62,1063,24628,1526,463
