season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2006/07,40142,39,39,4,91,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2007/08,40142,40,38,6,141,0,1,0,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2008/09,40142,50,48,33,534,3,1,0,11,0,0,0,2,0,0,1,0,0.0,0.0,0.0,0.0
2010/11,40142,50,62,135,2071,13,6,7,34,0,0,0,5,0,0,21,0,0.0,0.0,0.0,0.0
2011/12,40142,100,91,84,2074,4,3,8,26,0,0,0,5,0,0,8,0,0.0,0.0,0.0,0.0
2012/13,40142,85,83,94,1953,7,5,7,29,0,0,0,6,0,0,9,0,0.0,0.0,0.0,0.0
2013/14,40142,75,71,52,1090,2,5,2,18,0,0,0,0,1,0,5,37,0.0,0.0,0.0,0.0
2014/15,40142,70,63,56,1024,5,2,3,11,0,0,0,2,0,0,7,169,0.0,0.0,0.0,0.0
2015/16,40142,65,65,90,1440,9,2,4,23,0,0,0,2,0,0,11,315,0.0,0.0,0.0,0.0
2016/17,40142,65,59,69,1312,7,2,3,27,0,0,0,3,0,0,6,256,351.8,220.8,620.0,119.2
2017/18,40142,60,57,36,742,3,1,3,13,0,0,0,5,1,0,6,106,145.4,110.2,344.0,58.8
2018/19,40142,55,54,12,454,0,0,0,7,0,0,0,2,0,0,0,10,41.8,51.4,169.0,25.8
2019/20,40142,55,54,34,617,0,4,2,10,0,0,0,1,0,0,0,87,136.6,162.0,211.0,51.1
2020/21,40142,55,51,30,380,1,1,1,8,0,0,0,1,0,0,3,78,64.0,37.1,187.0,27.7
