element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
100,14,9,5,False,2020-09-20T18:00:00Z,4,2,2,90,0,1,0,4,0,0,0,0,0,0,0,19,23.2,29.8,0.0,5.3,60,-5200,54426,2269,7469
100,20,16,2,True,2020-09-26T19:00:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,0,0,12,13.2,10.4,4.0,2.8,60,-1726,54695,7182,8908
100,36,14,1,False,2020-10-03T19:00:00Z,3,1,4,90,0,0,0,3,0,0,0,1,0,0,0,10,9.8,36.1,4.0,5.0,60,-4439,50828,2731,7170
100,48,18,3,False,2020-10-19T16:30:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,15,21.6,34.0,7.0,6.3,59,-7657,43568,1140,8797
100,52,17,2,True,2020-10-26T20:00:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,10,10.0,12.8,0.0,2.3,59,-4340,39658,521,4861
100,60,5,2,True,2020-10-31T15:00:00Z,0,3,7,90,0,0,0,3,0,0,0,0,0,0,0,11,8.8,2.3,0.0,1.1,59,-3195,36800,493,3688
100,70,3,3,False,2020-11-06T17:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,14,14.4,26.6,1.0,4.2,58,-2212,34994,886,3098
100,80,6,3,True,2020-11-23T17:30:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,0,0,8,6.0,27.0,24.0,5.7,58,-2258,32890,549,2807
100,95,12,2,False,2020-11-28T15:00:00Z,5,0,10,90,0,0,0,5,0,0,0,0,0,0,0,13,7.2,6.8,7.0,2.1,58,-1270,31802,416,1686
100,101,7,2,True,2020-12-05T12:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,15,23.6,33.6,3.0,6.0,58,-1270,30669,715,1985
100,109,1,3,False,2020-12-13T19:15:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,0,8,11.2,16.3,0.0,2.8,57,-1164,29719,463,1627
100,120,2,3,False,2020-12-17T18:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,7,6.8,5.5,0.0,1.2,57,-561,29256,333,894
100,130,20,3,True,2020-12-21T17:30:00Z,2,1,14,86,0,0,1,0,0,0,0,0,0,0,0,9,10.6,15.2,0.0,2.6,57,-417,28937,448,865
100,142,10,0,False,2020-12-27T12:00:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-1726,27227,278,2004
100,150,15,0,True,2020-12-29T18:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-996,26282,95,1091
100,379,13,1,True,2021-01-12T20:15:00Z,0,1,18,25,0,0,0,1,0,0,0,0,0,0,0,2,2.6,0.9,0.0,0.4,57,-1159,23787,115,1274
100,187,19,1,False,2021-01-16T15:00:00Z,1,0,19,45,0,0,0,0,0,0,0,0,0,0,0,8,10.6,5.1,8.0,2.4,57,-27,24161,403,430
100,177,11,3,False,2021-01-21T20:00:00Z,0,1,19,90,0,0,1,0,0,0,0,0,0,0,0,12,20.8,18.3,8.0,4.7,57,-27,24161,403,430
100,190,2,13,True,2021-01-27T18:00:00Z,3,2,20,90,1,1,0,2,0,0,0,0,0,0,3,38,57.0,33.5,10.0,10.1,57,-305,23945,304,609
100,201,5,2,False,2021-01-31T12:00:00Z,2,0,21,90,0,0,0,2,0,0,0,0,0,0,0,8,5.6,1.1,0.0,0.7,57,270,24326,697,427
100,210,12,2,True,2021-02-03T18:00:00Z,0,2,22,90,0,0,0,2,0,0,0,0,0,0,0,9,7.4,1.7,2.0,1.1,57,57,24451,520,463
100,220,3,2,True,2021-02-06T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,15,20.4,42.6,38.0,10.1,57,2580,27170,3436,856
100,232,6,6,False,2021-02-13T15:00:00Z,0,3,24,90,0,1,1,0,0,0,0,0,0,0,0,23,30.2,31.1,0.0,6.1,57,14921,46231,17675,2754
