element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
648,207,8,4,True,2021-01-30T15:00:00Z,2,2,21,45,0,1,0,1,0,0,0,0,0,0,0,17,21.2,24.3,0.0,4.6,60,0,0,0,0
648,214,15,5,False,2021-02-02T18:00:00Z,2,1,22,67,0,1,0,1,0,0,0,0,0,0,0,6,2.6,1.7,33.0,3.7,60,8464,9155,9144,680
648,227,17,2,False,2021-02-07T12:00:00Z,2,0,23,90,0,0,0,2,0,0,0,0,0,0,0,0,7.0,1.0,23.0,3.1,60,1675,11336,4182,2507
648,237,13,5,True,2021-02-14T14:00:00Z,1,1,24,90,1,0,0,1,0,0,0,1,0,0,0,16,33.4,0.3,60.0,9.4,60,744,12272,4055,3311
648,242,4,2,False,2021-02-20T15:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,5,3.4,22.4,8.0,3.4,60,19860,33054,23057,3197
648,258,3,2,True,2021-02-27T15:00:00Z,1,0,26,82,0,0,1,0,0,0,0,0,0,0,0,5,0.0,1.8,8.0,0.8,60,27540,62672,35898,8358
648,287,7,2,True,2021-03-04T18:00:00Z,0,1,26,90,0,0,0,1,0,0,0,0,0,0,0,-7,2.2,2.9,42.0,4.7,60,27540,62672,35898,8358
648,267,14,2,True,2021-03-07T12:00:00Z,0,0,27,83,0,0,1,0,0,0,0,0,0,0,0,-4,3.6,4.3,44.0,5.2,60,-4389,57017,6292,10681
648,270,6,2,False,2021-03-13T15:00:00Z,1,0,28,90,0,0,0,1,0,0,0,0,0,0,0,7,9.6,26.0,19.0,5.5,60,-9979,47264,3181,13160
648,291,5,9,False,2021-04-03T11:30:00Z,2,5,30,90,1,1,0,2,0,0,0,1,0,0,1,35,39.2,14.8,25.0,7.9,60,-6161,26943,1266,7427
648,307,16,5,True,2021-04-12T17:00:00Z,3,0,31,75,0,1,1,0,0,0,0,0,0,0,0,14,16.0,11.8,8.0,3.6,60,3394,30588,6210,2816
648,314,9,2,False,2021-04-22T19:00:00Z,3,0,32,60,0,0,0,3,0,0,0,0,0,0,0,6,0.6,1.0,4.0,0.6,60,-97,30576,3744,3841
648,320,2,5,False,2021-04-25T18:00:00Z,2,2,33,90,0,1,0,2,0,0,0,0,0,0,0,8,3.8,6.6,6.0,1.6,60,-281,30383,2332,2613
648,338,20,8,True,2021-05-03T17:00:00Z,1,1,34,90,1,0,0,1,0,0,0,0,0,0,2,27,37.4,11.8,57.0,10.6,60,192,30726,2948,2756
648,339,1,1,False,2021-05-09T18:00:00Z,3,1,35,55,0,0,0,2,0,0,0,0,0,0,0,-4,0.0,0.1,9.0,0.5,60,-3156,27507,2004,5160
648,353,11,0,True,2021-05-16T15:30:00Z,1,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-1399,26357,1241,2640
648,368,19,1,True,2021-05-19T19:15:00Z,1,3,37,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,60,-1791,24611,596,2387
648,372,10,0,False,2021-05-23T15:00:00Z,3,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-1922,22656,929,2851
