,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,0,59,MC,Manchester City,Everton,5,0,2021-05-23,14811,2020,473412,0.007382675539702177,0,1,0,0,0.09748530387878418,0.09010262787342072,Abdoulaye Doucouré
1,0,0,0,90,MC,Everton,Wolverhampton Wanderers,1,0,2021-05-19,14799,2020,472494,0,0,0,0,0,0.15515002608299255,0.15515002608299255,Abdoulaye Doucouré
2,0,0,0,80,MC,Everton,Sheffield United,0,1,2021-05-16,14787,2020,471879,0,0,0,0,0,0.4294101893901825,0.4294101893901825,Abdoulaye Doucouré
3,0,3,0.23642566800117493,90,MC,Aston Villa,Everton,0,0,2021-05-13,14616,2020,470516,0.1520272046327591,0,1,0,0.23642566800117493,0.5090166330337524,0.12056373059749603,Abdoulaye Doucouré
4,0,0,0,65,MC,West Bromwich Albion,Everton,0,1,2021-03-04,14723,2020,454210,0.018441177904605865,0,1,0,0,0.1502845585346222,0.13184337317943573,Abdoulaye Doucouré
5,0,0,0,90,MC,Everton,Southampton,1,0,2021-03-01,14686,2020,453445,0,0,0,0,0,0.6845400929450989,0.6845400929450989,Abdoulaye Doucouré
6,0,1,0.0330696776509285,90,MC,Liverpool,Everton,0,2,2021-02-20,14680,2020,450898,0.057950735092163086,0,1,0,0.0330696776509285,0.4116359055042267,0.3536851704120636,Abdoulaye Doucouré
7,0,0,0,90,MC,Everton,Manchester City,1,3,2021-02-17,14593,2020,450258,0,0,0,0,0,0,0,Abdoulaye Doucouré
8,0,0,0,90,MC,Everton,Fulham,0,2,2021-02-14,14669,2020,449906,0,0,0,0,0,0.11297649890184402,0.11297649890184402,Abdoulaye Doucouré
9,1,1,0.6114954352378845,82,MC,Manchester United,Everton,3,3,2021-02-06,14660,2020,447944,0.08262842893600464,1,1,1,0.6114954352378845,0.6941238641738892,0,Abdoulaye Doucouré
10,0,0,0,90,DMC,Leeds,Everton,1,2,2021-02-03,14648,2020,447023,0.6106812357902527,0,2,0,0,0.6106812357902527,0.05536303296685219,Abdoulaye Doucouré
11,0,0,0,90,DMC,Everton,Newcastle United,0,2,2021-01-30,14644,2020,445385,0.15231339633464813,0,2,0,0,0.16889216005802155,0.01657877489924431,Abdoulaye Doucouré
12,0,0,0,90,MC,Wolverhampton Wanderers,Everton,1,2,2021-01-12,14612,2020,441894,0,0,0,0,0,0.206522136926651,0.206522136926651,Abdoulaye Doucouré
13,0,2,0.03736460953950882,90,DMC,Everton,West Ham,0,1,2021-01-01,14595,2020,438846,0,0,0,0,0.03736460953950882,0.08841720968484879,0.08841720968484879,Abdoulaye Doucouré
14,0,0,0,90,DMC,Sheffield United,Everton,0,1,2020-12-26,14582,2020,438175,0.11083870381116867,1,1,0,0,0.17394129931926727,0.063102588057518,Abdoulaye Doucouré
15,0,0,0,90,DMC,Everton,Arsenal,2,1,2020-12-19,14569,2020,436185,0,0,0,0,0,0.05148295685648918,0.05148295685648918,Abdoulaye Doucouré
16,0,1,0.022356737405061722,90,MC,Leicester,Everton,0,2,2020-12-16,14559,2020,434687,0,0,0,0,0.022356737405061722,0.13247281312942505,0.13247281312942505,Abdoulaye Doucouré
17,0,0,0,90,MC,Everton,Chelsea,1,0,2020-12-12,14546,2020,433293,0,0,0,0,0,0.05877305567264557,0.05877305567264557,Abdoulaye Doucouré
18,0,0,0,84,MC,Burnley,Everton,1,1,2020-12-05,14537,2020,431063,0.06490018963813782,0,2,0,0,0.14346876740455627,0.14346876740455627,Abdoulaye Doucouré
19,0,1,0.3488890826702118,90,MC,Everton,Leeds,0,1,2020-11-28,14531,2020,429854,0,0,0,0,0.3488890826702118,0.41749730706214905,0.06860822439193726,Abdoulaye Doucouré
20,1,1,0.5784505605697632,90,MC,Fulham,Everton,2,3,2020-11-22,14517,2020,428373,0.056663528084754944,0,1,1,0.5784505605697632,1.5546761751174927,0.9762256145477295,Abdoulaye Doucouré
21,0,3,0.19664645195007324,90,MC,Everton,Manchester United,1,3,2020-11-07,14509,2020,426040,0,0,0,0,0.19664645195007324,0.24022024869918823,0.04357380419969559,Abdoulaye Doucouré
22,0,2,0.14000357687473297,90,MC,Newcastle United,Everton,2,1,2020-11-01,14501,2020,425202,0,0,0,0,0.14000357687473297,0.2589159905910492,0.1929916888475418,Abdoulaye Doucouré
23,0,1,0.014168237335979939,59,MC,Southampton,Everton,2,0,2020-10-25,14492,2020,423561,0,0,0,0,0.014168237335979939,0.06971462070941925,0.06971462070941925,Abdoulaye Doucouré
24,0,1,0.013977247290313244,81,MC,Everton,Liverpool,2,2,2020-10-17,14477,2020,420856,0.11680063605308533,0,1,0,0.013977247290313244,0.15744547545909882,0.1434682309627533,Abdoulaye Doucouré
25,0,0,0,90,MC,Everton,Brighton,4,2,2020-10-03,14468,2020,419521,0.7526630163192749,1,3,0,0,0.8288142681121826,0.6390629410743713,Abdoulaye Doucouré
26,0,1,0.13667574524879456,90,MC,Crystal Palace,Everton,1,2,2020-09-26,14107,2020,417390,0,0,0,0,0.13667574524879456,0.628084123134613,0.4914083480834961,Abdoulaye Doucouré
27,0,0,0,68,MC,Everton,West Bromwich Albion,5,2,2020-09-19,14096,2020,415575,0,0,0,0,0,1.0073870420455933,1.0073870420455933,Abdoulaye Doucouré
28,0,0,0,90,MC,Tottenham,Everton,0,1,2020-09-13,14093,2020,415139,0.20570805668830872,0,4,0,0,0.41117775440216064,0.2971990406513214,Abdoulaye Doucouré
