goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,0,44,Sub,Arsenal,Brighton,2,0,2021-05-23,14805,2020,473530,0,0,0,0,0,0,0,Adam Lallana
0,0,0,36,Sub,Brighton,Manchester City,3,2,2021-05-18,14795,2020,472360,0,0,0,0,0,0.2861728072166443,0.2861728072166443,Adam Lallana
0,0,0,22,Sub,Brighton,West Ham,1,1,2021-05-15,14785,2020,471074,0,0,0,0,0,0.3343082368373871,0.3343082368373871,Adam Lallana
0,2,0.0972534790635109,90,MC,Sheffield United,Brighton,1,0,2021-04-24,14762,2020,465671,0.057057544589042664,0,1,0,0.0972534790635109,1.385939598083496,1.2886861562728882,Adam Lallana
0,2,0.15355920791625977,28,Sub,Chelsea,Brighton,0,0,2021-04-20,14747,2020,464181,0.019189244136214256,0,1,0,0.15355920791625977,0.17274844646453857,0,Adam Lallana
0,4,0.18991370499134064,90,MC,Brighton,Everton,0,0,2021-04-12,14735,2020,462478,0.13756713271141052,0,3,0,0.18991370499134064,0.3698374330997467,0.12223615497350693,Adam Lallana
0,0,0,90,MC,Manchester United,Brighton,2,1,2021-04-04,14731,2020,460515,0,0,0,0,0,0,0,Adam Lallana
0,0,0,90,MC,Brighton,Newcastle United,3,0,2021-03-20,14715,2020,458327,0.05544530227780342,0,1,0,0,0.7672234177589417,0.7672234177589417,Adam Lallana
0,0,0,90,MC,Southampton,Brighton,1,2,2021-03-14,14713,2020,456761,0,0,0,0,0,0.41229650378227234,0.41229650378227234,Adam Lallana
1,4,0.5565866231918335,90,FW,Brighton,Leicester,1,2,2021-03-06,14696,2020,454910,0,0,0,1,0.5565866231918335,0.5392966866493225,0,Adam Lallana
0,0,0,40,Sub,West Bromwich Albion,Brighton,1,0,2021-02-27,14692,2020,452282,0,0,0,0,0,0.059820350259542465,0.059820350259542465,Adam Lallana
0,2,0.2086624801158905,21,Sub,Brighton,Crystal Palace,1,2,2021-02-22,14677,2020,451699,0,0,0,0,0.2086624801158905,0.3060458302497864,0.09738336503505707,Adam Lallana
0,1,0.016437191516160965,27,Sub,Brighton,Aston Villa,0,0,2021-02-13,14666,2020,449290,0.8669565916061401,0,4,0,0.016437191516160965,0.9733489751815796,0.1534290313720703,Adam Lallana
0,0,0,14,Sub,Burnley,Brighton,1,1,2021-02-06,14656,2020,447660,0,0,0,0,0,0,0,Adam Lallana
0,0,0,22,Sub,Liverpool,Brighton,0,1,2021-02-03,14654,2020,447212,0.016594428569078445,0,1,0,0,0.048389460891485214,0.03179503604769707,Adam Lallana
0,0,0,10,Sub,Brighton,Tottenham,1,0,2021-01-31,14636,2020,446542,0,0,0,0,0,0.6426138281822205,0.6426138281822205,Adam Lallana
0,0,0,17,Sub,Brighton,Wolverhampton Wanderers,3,3,2021-01-02,14601,2020,439236,0,0,0,0,0,0.05759107694029808,0.05759107694029808,Adam Lallana
0,0,0,47,MC,West Ham,Brighton,2,2,2020-12-27,14583,2020,438259,0.027469763532280922,0,2,0,0,0.1079440638422966,0.0903698056936264,Adam Lallana
0,1,0.02091963402926922,90,MC,Brighton,Sheffield United,1,1,2020-12-20,14565,2020,436423,0.11996708065271378,0,2,0,0.02091963402926922,0.32086509466171265,0.1799783706665039,Adam Lallana
0,0,0,88,AMC,Fulham,Brighton,0,0,2020-12-16,14557,2020,435415,0,0,0,0,0,0,0,Adam Lallana
0,0,0,8,Sub,Brighton,Liverpool,1,1,2020-11-28,14528,2020,429359,0,0,0,0,0,0,0,Adam Lallana
0,1,0.1367541253566742,47,AMC,Aston Villa,Brighton,1,2,2020-11-21,14515,2020,427932,0.27189308404922485,1,1,0,0.1367541253566742,0.40864723920822144,0,Adam Lallana
0,3,0.1465262472629547,90,MC,Brighton,Burnley,0,0,2020-11-06,14506,2020,425844,0.47958245873451233,0,3,0,0.1465262472629547,0.7915001511573792,0.2193738967180252,Adam Lallana
0,0,0,90,AMC,Tottenham,Brighton,2,1,2020-11-01,14503,2020,425532,0.05160249397158623,0,1,0,0,0.05160249397158623,0,Adam Lallana
0,1,0.05518500134348869,62,AMC,Brighton,West Bromwich Albion,1,1,2020-10-26,14487,2020,423967,0.42600175738334656,0,2,0,0.05518500134348869,0.48118674755096436,0,Adam Lallana
0,1,0.032508209347724915,79,AMC,Crystal Palace,Brighton,1,1,2020-10-18,14476,2020,421923,0,0,0,0,0.032508209347724915,0.1257341355085373,0.09322592616081238,Adam Lallana
0,0,0,22,Sub,Everton,Brighton,4,2,2020-10-03,14468,2020,419543,0.02007070556282997,0,1,0,0,0.02007070556282997,0,Adam Lallana
0,0,0,77,MC,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417135,0,0,0,0,0,0.3668575882911682,0.3668575882911682,Adam Lallana
0,0,0,7,Sub,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416346,0,0,0,0,0,0.2696140706539154,0.2696140706539154,Adam Lallana
0,0,0,44,MC,Brighton,Chelsea,1,3,2020-09-14,14095,2020,415365,0.0793599784374237,0,2,0,0,0.4203151762485504,0.40132924914360046,Adam Lallana
