goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,2,0.0808919370174408,26,FW,Wolverhampton Wanderers,Manchester United,1,2,2021-05-23,14814,2020,473484,0.04358998313546181,0,1,0,0.0808919370174408,0.1019514724612236,0,Adama Traoré
0,2,0.07538733631372452,90,FW,Everton,Wolverhampton Wanderers,1,0,2021-05-19,14799,2020,472510,0,0,0,0,0.07538733631372452,0.048263322561979294,0,Adama Traoré
0,1,0.07017365097999573,90,AMR,Tottenham,Wolverhampton Wanderers,2,0,2021-05-16,14793,2020,471464,0.18316170573234558,0,3,0,0.07017365097999573,0.44506508111953735,0.19172972440719604,Adama Traoré
1,3,0.18569737672805786,28,Sub,Wolverhampton Wanderers,Brighton,2,1,2021-05-09,14784,2020,469094,0.4069635272026062,0,1,1,0.18569737672805786,0.5926609039306641,0,Adama Traoré
0,3,0.11049047112464905,90,AML,West Bromwich Albion,Wolverhampton Wanderers,1,1,2021-05-03,14774,2020,467987,0.08245545625686646,0,2,0,0.11049047112464905,0.26018592715263367,0.165805846452713,Adama Traoré
0,1,0.04343026876449585,90,FW,Wolverhampton Wanderers,Burnley,0,4,2021-04-25,14764,2020,465778,0.05281917750835419,0,3,0,0.04343026876449585,0.09624944627285004,0,Adama Traoré
0,3,0.19562149047851562,90,AMC,Wolverhampton Wanderers,Sheffield United,1,0,2021-04-17,14754,2020,463110,0.24832186102867126,1,4,0,0.19562149047851562,0.4439433515071869,0,Adama Traoré
1,2,0.08216749131679535,90,AML,Fulham,Wolverhampton Wanderers,0,1,2021-04-09,14738,2020,460842,0,0,0,1,0.08216749131679535,0.08216749131679535,0,Adama Traoré
0,2,0.08074428141117096,90,AML,Wolverhampton Wanderers,West Ham,2,3,2021-04-05,14734,2020,460678,0.3048255145549774,1,1,0,0.08074428141117096,0.8744156956672668,0.4888458847999573,Adama Traoré
0,1,0.02163556031882763,90,AMC,Wolverhampton Wanderers,Liverpool,0,1,2021-03-15,14714,2020,457428,0.14901815354824066,0,2,0,0.02163556031882763,0.17065371572971344,0,Adama Traoré
0,0,0,90,FWL,Aston Villa,Wolverhampton Wanderers,0,0,2021-03-06,14695,2020,454772,0.00994910765439272,0,1,0,0,0.00994910765439272,0,Adama Traoré
0,3,0.184580460190773,90,FW,Manchester City,Wolverhampton Wanderers,4,1,2021-03-02,14720,2020,453571,0,0,0,0,0.184580460190773,0.184580460190773,0,Adama Traoré
0,3,0.07509350031614304,90,AMC,Newcastle United,Wolverhampton Wanderers,1,1,2021-02-27,14688,2020,452608,0.4501306116580963,0,4,0,0.07509350031614304,0.5252240896224976,0.37652587890625,Adama Traoré
0,3,0.06344807893037796,90,FWL,Wolverhampton Wanderers,Leeds,1,0,2021-02-19,14684,2020,450382,0.012227309867739677,0,1,0,0.06344807893037796,0.12928509712219238,0.06583701819181442,Adama Traoré
0,1,0.030096758157014847,90,FWR,Southampton,Wolverhampton Wanderers,1,2,2021-02-14,14672,2020,449455,0.025393733754754066,0,1,0,0.030096758157014847,0.08044398576021194,0.024953491985797882,Adama Traoré
0,1,0.1157573014497757,90,FWR,Wolverhampton Wanderers,Leicester,0,0,2021-02-07,14664,2020,448325,0.503237247467041,0,3,0,0.1157573014497757,0.5861082077026367,0.02067304402589798,Adama Traoré
0,0,0,90,AMR,Wolverhampton Wanderers,Arsenal,2,1,2021-02-02,14650,2020,446690,0.12745292484760284,0,1,0,0,0.6535619497299194,0.5261090397834778,Adama Traoré
0,0,0,24,Sub,Crystal Palace,Wolverhampton Wanderers,1,0,2021-01-30,14638,2020,445703,0,0,0,0,0,0,0,Adama Traoré
0,0,0,90,FW,Chelsea,Wolverhampton Wanderers,0,0,2021-01-27,14630,2020,445086,0.017599383369088173,0,1,0,0,0,0,Adama Traoré
0,2,0.0763685554265976,90,FWR,Wolverhampton Wanderers,West Bromwich Albion,2,3,2021-01-16,14624,2020,442080,0.1907460242509842,0,3,0,0.0763685554265976,0.2671145796775818,0.03144527226686478,Adama Traoré
0,0,0,90,AMR,Brighton,Wolverhampton Wanderers,3,3,2021-01-02,14601,2020,439244,0.7356741428375244,0,2,0,0,0.7905293703079224,0.19095616042613983,Adama Traoré
0,1,0.03705775365233421,90,FW,Manchester United,Wolverhampton Wanderers,1,0,2020-12-29,14592,2020,438569,0.06186084449291229,0,2,0,0.03705775365233421,0.0989186018705368,0,Adama Traoré
