,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name
0,0,1,0.05255630239844322,65,AMC,Fulham,Newcastle United,0,2,2021-05-23,14807,2020,473288,0.06261870265007019,0,2,0,0.05255630239844322,0.1264786273241043,0.011303634382784367,Ademola Lookman
1,0,1,0.06317993998527527,90,AMC,Manchester United,Fulham,1,1,2021-05-18,14800,2020,472313,0.31687450408935547,0,1,0,0.06317993998527527,0.38005444407463074,0.06317993998527527,Ademola Lookman
2,0,1,0.09283921122550964,26,Sub,Southampton,Fulham,3,1,2021-05-15,14792,2020,471000,0,0,0,0,0.09283921122550964,0.18654261529445648,0.09370341151952744,Ademola Lookman
3,0,4,0.1580313891172409,90,AML,Fulham,Burnley,0,2,2021-05-10,14777,2020,469815,0.06494469940662384,0,1,0,0.1580313891172409,0.36549997329711914,0.1425238698720932,Ademola Lookman
4,0,1,0.023402586579322815,90,AML,Chelsea,Fulham,2,0,2021-05-01,14767,2020,467117,0.09071389585733414,0,3,0,0.023402586579322815,0,0,Ademola Lookman
5,0,0,0,70,ML,Arsenal,Fulham,1,1,2021-04-18,14745,2020,463337,0.017271213233470917,0,1,0,0,0.017271213233470917,0,Ademola Lookman
6,0,0,0,51,AML,Aston Villa,Fulham,3,1,2021-04-04,14726,2020,460402,0.029272809624671936,0,1,0,0,0.029272809624671936,0.029272809624671936,Ademola Lookman
7,0,4,0.2927303910255432,90,AML,Fulham,Leeds,1,2,2021-03-19,14718,2020,457855,0.5898679494857788,1,5,0,0.2927303910255432,0.35161393880844116,0,Ademola Lookman
8,0,0,0,90,FWR,Fulham,Manchester City,0,3,2021-03-13,14708,2020,456633,0,0,0,0,0,0,0,Ademola Lookman
9,0,2,0.19266870617866516,84,ML,Liverpool,Fulham,0,1,2021-03-07,14699,2020,455154,0.10966156423091888,0,1,0,0.19266870617866516,0.382645845413208,0.14285004138946533,Ademola Lookman
10,0,2,0.10430378466844559,90,AML,Fulham,Tottenham,0,1,2021-03-04,14757,2020,454173,0.049664780497550964,0,2,0,0.10430378466844559,1.008148193359375,0.8739450573921204,Ademola Lookman
11,0,1,0.05409783124923706,90,AML,Crystal Palace,Fulham,0,0,2021-02-28,14687,2020,452690,0.21619291603565216,0,4,0,0.05409783124923706,0.14234553277492523,0.08824769407510757,Ademola Lookman
